===2023-06-02 00:39:46===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: True
    binary_race: True
    save_iter: -1
data_number=[39,52,68,89,117,154,201,264,346,453,154,202,]
client_nums=[10,2,]
len_dataset=[2980,596,]
label set of clients: [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ]
domain number = -1
============ Train epoch 0 ============
 Site-White_0                  | Train Loss: 0.6674 | Train Acc: 0.7179
 Site-White_1                  | Train Loss: 0.6748 | Train Acc: 0.6538
 Site-White_2                  | Train Loss: 0.6717 | Train Acc: 0.6618
 Site-White_3                  | Train Loss: 0.6581 | Train Acc: 0.7079
 Site-White_4                  | Train Loss: 0.6492 | Train Acc: 0.7350
 Site-White_5                  | Train Loss: 0.6662 | Train Acc: 0.6623
 Site-White_6                  | Train Loss: 0.6709 | Train Acc: 0.6219
 Site-White_7                  | Train Loss: 0.6630 | Train Acc: 0.6667
 Site-White_8                  | Train Loss: 0.6630 | Train Acc: 0.6734
 Site-White_9                  | Train Loss: 0.6711 | Train Acc: 0.6225
 Site-Black_0                  | Train Loss: 0.6836 | Train Acc: 0.5260
 Site-Black_1                  | Train Loss: 0.6743 | Train Acc: 0.5347
 Site-White_0                       | Val  Loss: 0.6702 | Val  Acc: 0.6923
 Site-White_1                       | Val  Loss: 0.6509 | Val  Acc: 0.7059
 Site-White_2                       | Val  Loss: 0.6699 | Val  Acc: 0.7333
 Site-White_3                       | Val  Loss: 0.6617 | Val  Acc: 0.6949
 Site-White_4                       | Val  Loss: 0.6714 | Val  Acc: 0.6026
 Site-White_5                       | Val  Loss: 0.6713 | Val  Acc: 0.6471
 Site-White_6                       | Val  Loss: 0.6640 | Val  Acc: 0.6045
 Site-White_7                       | Val  Loss: 0.6606 | Val  Acc: 0.6818
 Site-White_8                       | Val  Loss: 0.6693 | Val  Acc: 0.6304
 Site-White_9                       | Val  Loss: 0.6624 | Val  Acc: 0.6755
 Site-Black_0                       | Val  Loss: 0.6819 | Val  Acc: 0.5437
 Site-Black_1                       | Val  Loss: 0.6689 | Val  Acc: 0.5746
Average Valid Accuracy: 0.6489
 Best site-White_0                   | Epoch:0 | Val Acc: 0.6923
 Best site-White_1                   | Epoch:0 | Val Acc: 0.7059
 Best site-White_2                   | Epoch:0 | Val Acc: 0.7333
 Best site-White_3                   | Epoch:0 | Val Acc: 0.6949
 Best site-White_4                   | Epoch:0 | Val Acc: 0.6026
 Best site-White_5                   | Epoch:0 | Val Acc: 0.6471
 Best site-White_6                   | Epoch:0 | Val Acc: 0.6045
 Best site-White_7                   | Epoch:0 | Val Acc: 0.6818
 Best site-White_8                   | Epoch:0 | Val Acc: 0.6304
 Best site-White_9                   | Epoch:0 | Val Acc: 0.6755
 Best site-Black_0                   | Epoch:0 | Val Acc: 0.5437
 Best site-Black_1                   | Epoch:0 | Val Acc: 0.5746
 Saving the gmap checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/fedavg...
============ Train epoch 1 ============
 Site-White_0                  | Train Loss: 0.6574 | Train Acc: 0.7436
 Site-White_1                  | Train Loss: 0.6551 | Train Acc: 0.7500
 Site-White_2                  | Train Loss: 0.6672 | Train Acc: 0.6471
 Site-White_3                  | Train Loss: 0.6468 | Train Acc: 0.7191
 Site-White_4                  | Train Loss: 0.6445 | Train Acc: 0.7436
 Site-White_5                  | Train Loss: 0.6531 | Train Acc: 0.7338
 Site-White_6                  | Train Loss: 0.6515 | Train Acc: 0.7313
 Site-White_7                  | Train Loss: 0.6457 | Train Acc: 0.7538
 Site-White_8                  | Train Loss: 0.6495 | Train Acc: 0.7254
 Site-White_9                  | Train Loss: 0.6532 | Train Acc: 0.7086
 Site-Black_0                  | Train Loss: 0.6704 | Train Acc: 0.6039
 Site-Black_1                  | Train Loss: 0.6581 | Train Acc: 0.6337
 Site-White_0                       | Val  Loss: 0.6601 | Val  Acc: 0.7308
 Site-White_1                       | Val  Loss: 0.6222 | Val  Acc: 0.9118
 Site-White_2                       | Val  Loss: 0.6466 | Val  Acc: 0.8444
 Site-White_3                       | Val  Loss: 0.6504 | Val  Acc: 0.7797
 Site-White_4                       | Val  Loss: 0.6642 | Val  Acc: 0.7179
 Site-White_5                       | Val  Loss: 0.6443 | Val  Acc: 0.7843
 Site-White_6                       | Val  Loss: 0.6424 | Val  Acc: 0.7687
 Site-White_7                       | Val  Loss: 0.6490 | Val  Acc: 0.7670
 Site-White_8                       | Val  Loss: 0.6500 | Val  Acc: 0.7174
 Site-White_9                       | Val  Loss: 0.6436 | Val  Acc: 0.7616
 Site-Black_0                       | Val  Loss: 0.6632 | Val  Acc: 0.5825
 Site-Black_1                       | Val  Loss: 0.6636 | Val  Acc: 0.6343
Average Valid Accuracy: 0.7500
 Best site-White_0                   | Epoch:1 | Val Acc: 0.7308
 Best site-White_1                   | Epoch:1 | Val Acc: 0.9118
 Best site-White_2                   | Epoch:1 | Val Acc: 0.8444
 Best site-White_3                   | Epoch:1 | Val Acc: 0.7797
 Best site-White_4                   | Epoch:1 | Val Acc: 0.7179
 Best site-White_5                   | Epoch:1 | Val Acc: 0.7843
 Best site-White_6                   | Epoch:1 | Val Acc: 0.7687
 Best site-White_7                   | Epoch:1 | Val Acc: 0.7670
