===2023-06-15 14:06:03===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[128,168,220,288,378,144,188,247,323,138,181,238,110,145,174,227,307,234,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1341,1024,781,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.2002 | Train Acc: 0.0781
 Site-White_utk                     | Train Loss: 2.2070 | Train Acc: 0.1012
 Site-White_utk                     | Train Loss: 2.2100 | Train Acc: 0.0727
 Site-White_utk                     | Train Loss: 2.1974 | Train Acc: 0.1215
 Site-White_utk                     | Train Loss: 2.2046 | Train Acc: 0.0899
 Site-East_Asian                    | Train Loss: 2.1702 | Train Acc: 0.1319
 Site-East_Asian                    | Train Loss: 2.1693 | Train Acc: 0.1277
 Site-East_Asian                    | Train Loss: 2.1751 | Train Acc: 0.1377
 Site-East_Asian                    | Train Loss: 2.1682 | Train Acc: 0.1269
 Site-Indian_utk                    | Train Loss: 2.2032 | Train Acc: 0.0870
 Site-Indian_utk                    | Train Loss: 2.2078 | Train Acc: 0.0994
 Site-Indian_utk                    | Train Loss: 2.2005 | Train Acc: 0.0672
 Site-Black_utk                     | Train Loss: 2.1991 | Train Acc: 0.1091
 Site-Black_utk                     | Train Loss: 2.1977 | Train Acc: 0.1103
 Site-Southeast_Asian               | Train Loss: 2.1874 | Train Acc: 0.1034
 Site-Southeast_Asian               | Train Loss: 2.1805 | Train Acc: 0.1498
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.1735 | Train Acc: 0.1629
 Site-White_ffhq                    | Train Loss: 2.2246 | Train Acc: 0.0556
Average Train Accuracy: 0.1074
 Site-White_utk                     | Val  Loss: 2.2084 | Val  Acc: 0.1059
 Site-White_utk                     | Val  Loss: 2.2052 | Val  Acc: 0.0982
 Site-White_utk                     | Val  Loss: 2.1830 | Val  Acc: 0.1224
 Site-White_utk                     | Val  Loss: 2.1996 | Val  Acc: 0.1042
 Site-White_utk                     | Val  Loss: 2.2091 | Val  Acc: 0.0635
 Site-East_Asian                    | Val  Loss: 2.1604 | Val  Acc: 0.1979
 Site-East_Asian                    | Val  Loss: 2.1730 | Val  Acc: 0.1520
 Site-East_Asian                    | Val  Loss: 2.1723 | Val  Acc: 0.1220
 Site-East_Asian                    | Val  Loss: 2.1721 | Val  Acc: 0.1019
 Site-Indian_utk                    | Val  Loss: 2.2035 | Val  Acc: 0.0652
 Site-Indian_utk                    | Val  Loss: 2.1919 | Val  Acc: 0.0826
 Site-Indian_utk                    | Val  Loss: 2.2105 | Val  Acc: 0.1013
 Site-Black_utk                     | Val  Loss: 2.1871 | Val  Acc: 0.0946
 Site-Black_utk                     | Val  Loss: 2.2084 | Val  Acc: 0.1146
 Site-Southeast_Asian               | Val  Loss: 2.1910 | Val  Acc: 0.1552
 Site-Southeast_Asian               | Val  Loss: 2.1874 | Val  Acc: 0.1457
 Site-Latino_Hispanic_ffhq          | Val  Loss: 2.1804 | Val  Acc: 0.2059
 Site-White_ffhq                    | Val  Loss: 2.2238 | Val  Acc: 0.0577
