===2023-05-25 11:03:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
data_number=[193,254,332,436,571,217,284,373,488,258,338,443,343,450,262,343,462,352,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White                    | Train Loss: 1.9460 | Train Acc: 0.3679
 Site-White                    | Train Loss: 1.8522 | Train Acc: 0.3425
 Site-White                    | Train Loss: 1.9296 | Train Acc: 0.3554
 Site-White                    | Train Loss: 1.8086 | Train Acc: 0.3463
 Site-White                    | Train Loss: 1.8292 | Train Acc: 0.3468
 Site-Latino_Hispanic          | Train Loss: 2.0317 | Train Acc: 0.2627
 Site-Latino_Hispanic          | Train Loss: 1.9225 | Train Acc: 0.2746
 Site-Latino_Hispanic          | Train Loss: 2.0056 | Train Acc: 0.2547
 Site-Latino_Hispanic          | Train Loss: 1.9589 | Train Acc: 0.2746
 Site-Black                    | Train Loss: 1.9686 | Train Acc: 0.2403
 Site-Black                    | Train Loss: 2.0739 | Train Acc: 0.2396
 Site-Black                    | Train Loss: 2.0509 | Train Acc: 0.2393
 Site-East_Asian               | Train Loss: 1.8176 | Train Acc: 0.3703
 Site-East_Asian               | Train Loss: 1.6982 | Train Acc: 0.3844
 Site-Indian                   | Train Loss: 2.0134 | Train Acc: 0.2481
 Site-Indian                   | Train Loss: 2.1038 | Train Acc: 0.2420
 Site-Southeast_Asian          | Train Loss: 2.0727 | Train Acc: 0.3139
 Site-Middle_Eastern           | Train Loss: 2.0128 | Train Acc: 0.2557
 Site-White                         | Val  Loss: 2.2371 | Val  Acc: 0.3101
 Site-White                         | Val  Loss: 1.7923 | Val  Acc: 0.3550
 Site-White                         | Val  Loss: 1.8065 | Val  Acc: 0.3439
 Site-White                         | Val  Loss: 1.8684 | Val  Acc: 0.3276
 Site-White                         | Val  Loss: 1.8309 | Val  Acc: 0.3553
 Site-Latino_Hispanic               | Val  Loss: 2.0296 | Val  Acc: 0.2500
 Site-Latino_Hispanic               | Val  Loss: 1.9513 | Val  Acc: 0.2381
 Site-Latino_Hispanic               | Val  Loss: 1.9644 | Val  Acc: 0.2944
 Site-Latino_Hispanic               | Val  Loss: 1.8977 | Val  Acc: 0.2708
 Site-Black                         | Val  Loss: 2.0798 | Val  Acc: 0.2326
 Site-Black                         | Val  Loss: 2.0092 | Val  Acc: 0.2444
 Site-Black                         | Val  Loss: 2.0628 | Val  Acc: 0.2339
 Site-East_Asian                    | Val  Loss: 1.8394 | Val  Acc: 0.3712
