===2023-06-08 14:14:36===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[193,254,332,436,571,217,284,373,488,258,338,443,343,450,262,343,462,352,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
domain number = 7
============ Train epoch 0 ============
cnt=[4, 3, 3, 2, 2, 3, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 2.1640 | Train Acc: 0.2435
 Site-White                    | Train Loss: 2.1636 | Train Acc: 0.2520
 Site-White                    | Train Loss: 2.1687 | Train Acc: 0.2590
 Site-White                    | Train Loss: 2.1632 | Train Acc: 0.2385
 Site-White                    | Train Loss: 2.1742 | Train Acc: 0.2154
 Site-Latino_Hispanic          | Train Loss: 2.1857 | Train Acc: 0.1659
 Site-Latino_Hispanic          | Train Loss: 2.1742 | Train Acc: 0.2183
 Site-Latino_Hispanic          | Train Loss: 2.1822 | Train Acc: 0.2091
 Site-Latino_Hispanic          | Train Loss: 2.1823 | Train Acc: 0.2029
 Site-Black                    | Train Loss: 2.1555 | Train Acc: 0.2016
 Site-Black                    | Train Loss: 2.1756 | Train Acc: 0.1864
 Site-Black                    | Train Loss: 2.1691 | Train Acc: 0.2054
 Site-East_Asian               | Train Loss: 2.1771 | Train Acc: 0.1924
 Site-East_Asian               | Train Loss: 2.1531 | Train Acc: 0.1889
 Site-Indian                   | Train Loss: 2.1777 | Train Acc: 0.2252
 Site-Indian                   | Train Loss: 2.1727 | Train Acc: 0.2099
 Site-Southeast_Asian          | Train Loss: 2.1727 | Train Acc: 0.1991
 Site-Middle_Eastern           | Train Loss: 2.1827 | Train Acc: 0.1818
 Site-White                         | Val  Loss: 2.1260 | Val  Acc: 0.2403
 Site-White                         | Val  Loss: 2.1511 | Val  Acc: 0.3018
 Site-White                         | Val  Loss: 2.1576 | Val  Acc: 0.2760
 Site-White                         | Val  Loss: 2.1576 | Val  Acc: 0.2655
 Site-White                         | Val  Loss: 2.1639 | Val  Acc: 0.2842
 Site-Latino_Hispanic               | Val  Loss: 2.1875 | Val  Acc: 0.2083
 Site-Latino_Hispanic               | Val  Loss: 2.1851 | Val  Acc: 0.1799
 Site-Latino_Hispanic               | Val  Loss: 2.1772 | Val  Acc: 0.2258
 Site-Latino_Hispanic               | Val  Loss: 2.1818 | Val  Acc: 0.2185
 Site-Black                         | Val  Loss: 2.1720 | Val  Acc: 0.1802
 Site-Black                         | Val  Loss: 2.1709 | Val  Acc: 0.1689
 Site-Black                         | Val  Loss: 2.1736 | Val  Acc: 0.1763
 Site-East_Asian                    | Val  Loss: 2.1682 | Val  Acc: 0.1572
 Site-East_Asian                    | Val  Loss: 2.1686 | Val  Acc: 0.1739
 Site-Indian                        | Val  Loss: 2.1804 | Val  Acc: 0.1897
 Site-Indian                        | Val  Loss: 2.1792 | Val  Acc: 0.1834
 Site-Southeast_Asian               | Val  Loss: 2.1699 | Val  Acc: 0.2143
 Site-Middle_Eastern                | Val  Loss: 2.1739 | Val  Acc: 0.2308
Average Valid Accuracy: 0.2153
 Best site-White                         | Epoch:0 | Val Acc: 0.2403
 Best site-White                         | Epoch:0 | Val Acc: 0.3018
 Best site-White                         | Epoch:0 | Val Acc: 0.2760
 Best site-White                         | Epoch:0 | Val Acc: 0.2655
 Best site-White                         | Epoch:0 | Val Acc: 0.2842
 Best site-Latino_Hispanic               | Epoch:0 | Val Acc: 0.2083
 Best site-Latino_Hispanic               | Epoch:0 | Val Acc: 0.1799
 Best site-Latino_Hispanic               | Epoch:0 | Val Acc: 0.2258
 Best site-Latino_Hispanic               | Epoch:0 | Val Acc: 0.2185
 Best site-Black                         | Epoch:0 | Val Acc: 0.1802
 Best site-Black                         | Epoch:0 | Val Acc: 0.1689
 Best site-Black                         | Epoch:0 | Val Acc: 0.1763
 Best site-East_Asian                    | Epoch:0 | Val Acc: 0.1572
 Best site-East_Asian                    | Epoch:0 | Val Acc: 0.1739
 Best site-Indian                        | Epoch:0 | Val Acc: 0.1897
 Best site-Indian                        | Epoch:0 | Val Acc: 0.1834
 Best site-Southeast_Asian               | Epoch:0 | Val Acc: 0.2143
 Best site-Middle_Eastern                | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_7/ablation...
============ Train epoch 1 ============
cnt=[1, 2, 2, 5, 3, 1, 4, ]
power_decay: 0.9, powerI: 0.9050, powerC: 0.0950
sum of wi : 1.0000
 Site-White                    | Train Loss: 2.1594 | Train Acc: 0.3368
 Site-White                    | Train Loss: 2.1109 | Train Acc: 0.3307
 Site-White                    | Train Loss: 2.1144 | Train Acc: 0.3313
 Site-White                    | Train Loss: 2.1098 | Train Acc: 0.3440
 Site-White                    | Train Loss: 2.1226 | Train Acc: 0.3222
 Site-Latino_Hispanic          | Train Loss: 2.1394 | Train Acc: 0.2765
 Site-Latino_Hispanic          | Train Loss: 2.1267 | Train Acc: 0.2782
 Site-Latino_Hispanic          | Train Loss: 2.1410 | Train Acc: 0.2493
 Site-Latino_Hispanic          | Train Loss: 2.1376 | Train Acc: 0.2746
 Site-Black                    | Train Loss: 2.1729 | Train Acc: 0.2403
 Site-Black                    | Train Loss: 2.1354 | Train Acc: 0.2426
 Site-Black                    | Train Loss: 2.1340 | Train Acc: 0.2415
 Site-East_Asian               | Train Loss: 2.1220 | Train Acc: 0.3440
 Site-East_Asian               | Train Loss: 2.1012 | Train Acc: 0.3511
 Site-Indian                   | Train Loss: 2.1268 | Train Acc: 0.2634
 Site-Indian                   | Train Loss: 2.1431 | Train Acc: 0.2507
 Site-Southeast_Asian          | Train Loss: 2.1455 | Train Acc: 0.2922
 Site-Middle_Eastern           | Train Loss: 2.1412 | Train Acc: 0.2585
 Site-White                         | Val  Loss: 2.1026 | Val  Acc: 0.2868
 Site-White                         | Val  Loss: 2.1045 | Val  Acc: 0.3550
 Site-White                         | Val  Loss: 2.1088 | Val  Acc: 0.3303
 Site-White                         | Val  Loss: 2.1186 | Val  Acc: 0.3207
 Site-White                         | Val  Loss: 2.1165 | Val  Acc: 0.3395
 Site-Latino_Hispanic               | Val  Loss: 2.1589 | Val  Acc: 0.2500
 Site-Latino_Hispanic               | Val  Loss: 2.1430 | Val  Acc: 0.2593
 Site-Latino_Hispanic               | Val  Loss: 2.1311 | Val  Acc: 0.2782
 Site-Latino_Hispanic               | Val  Loss: 2.1371 | Val  Acc: 0.2708
 Site-Black                         | Val  Loss: 2.1404 | Val  Acc: 0.2326
 Site-Black                         | Val  Loss: 2.1412 | Val  Acc: 0.2222
 Site-Black                         | Val  Loss: 2.1390 | Val  Acc: 0.2475
 Site-East_Asian                    | Val  Loss: 2.1179 | Val  Acc: 0.3493
 Site-East_Asian                    | Val  Loss: 2.1160 | Val  Acc: 0.3545
 Site-Indian                        | Val  Loss: 2.1474 | Val  Acc: 0.2414
 Site-Indian                        | Val  Loss: 2.1428 | Val  Acc: 0.2140
 Site-Southeast_Asian               | Val  Loss: 2.1364 | Val  Acc: 0.2987
 Site-Middle_Eastern                | Val  Loss: 2.1417 | Val  Acc: 0.2521
Average Valid Accuracy: 0.2835
 Best site-White                         | Epoch:1 | Val Acc: 0.2868
 Best site-White                         | Epoch:1 | Val Acc: 0.3550
 Best site-White                         | Epoch:1 | Val Acc: 0.3303
 Best site-White                         | Epoch:1 | Val Acc: 0.3207
 Best site-White                         | Epoch:1 | Val Acc: 0.3395
 Best site-Latino_Hispanic               | Epoch:1 | Val Acc: 0.2500
 Best site-Latino_Hispanic               | Epoch:1 | Val Acc: 0.2593
 Best site-Latino_Hispanic               | Epoch:1 | Val Acc: 0.2782
 Best site-Latino_Hispanic               | Epoch:1 | Val Acc: 0.2708
 Best site-Black                         | Epoch:1 | Val Acc: 0.2326
 Best site-Black                         | Epoch:1 | Val Acc: 0.2222
 Best site-Black                         | Epoch:1 | Val Acc: 0.2475
 Best site-East_Asian                    | Epoch:1 | Val Acc: 0.3493
 Best site-East_Asian                    | Epoch:1 | Val Acc: 0.3545
 Best site-Indian                        | Epoch:1 | Val Acc: 0.2414
 Best site-Indian                        | Epoch:1 | Val Acc: 0.2140
 Best site-Southeast_Asian               | Epoch:1 | Val Acc: 0.2987
 Best site-Middle_Eastern                | Epoch:1 | Val Acc: 0.2521
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_7/ablation...
============ Train epoch 2 ============
cnt=[1, 1, 3, 5, 3, 2, 3, ]
power_decay: 0.9, powerI: 0.8645, powerC: 0.1355
sum of wi : 1.0000
 Site-White                    | Train Loss: 2.0670 | Train Acc: 0.3472
 Site-White                    | Train Loss: 2.0761 | Train Acc: 0.3307
 Site-White                    | Train Loss: 2.0827 | Train Acc: 0.3434
 Site-White                    | Train Loss: 2.0650 | Train Acc: 0.3601
 Site-White                    | Train Loss: 2.0798 | Train Acc: 0.3275
 Site-Latino_Hispanic          | Train Loss: 2.1124 | Train Acc: 0.2535
 Site-Latino_Hispanic          | Train Loss: 2.0987 | Train Acc: 0.2817
 Site-Latino_Hispanic          | Train Loss: 2.1142 | Train Acc: 0.2601
 Site-Latino_Hispanic          | Train Loss: 2.1062 | Train Acc: 0.2643
 Site-Black                    | Train Loss: 2.1046 | Train Acc: 0.2442
 Site-Black                    | Train Loss: 2.1166 | Train Acc: 0.2249
 Site-Black                    | Train Loss: 2.1115 | Train Acc: 0.2370
 Site-East_Asian               | Train Loss: 2.0715 | Train Acc: 0.3673
 Site-East_Asian               | Train Loss: 2.0729 | Train Acc: 0.3933
 Site-Indian                   | Train Loss: 2.1307 | Train Acc: 0.2405
 Site-Indian                   | Train Loss: 2.1089 | Train Acc: 0.2362
 Site-Southeast_Asian          | Train Loss: 2.0996 | Train Acc: 0.2965
 Site-Middle_Eastern           | Train Loss: 2.1137 | Train Acc: 0.2642
 Site-White                         | Val  Loss: 2.0788 | Val  Acc: 0.3256
 Site-White                         | Val  Loss: 2.0633 | Val  Acc: 0.3728
 Site-White                         | Val  Loss: 2.0636 | Val  Acc: 0.3484
 Site-White                         | Val  Loss: 2.0791 | Val  Acc: 0.3414
 Site-White                         | Val  Loss: 2.0754 | Val  Acc: 0.3474
 Site-Latino_Hispanic               | Val  Loss: 2.1286 | Val  Acc: 0.2708
 Site-Latino_Hispanic               | Val  Loss: 2.1104 | Val  Acc: 0.2593
 Site-Latino_Hispanic               | Val  Loss: 2.1018 | Val  Acc: 0.2984
 Site-Latino_Hispanic               | Val  Loss: 2.1112 | Val  Acc: 0.2831
 Site-Black                         | Val  Loss: 2.1174 | Val  Acc: 0.2151
 Site-Black                         | Val  Loss: 2.1176 | Val  Acc: 0.2311
 Site-Black                         | Val  Loss: 2.1117 | Val  Acc: 0.2508
 Site-East_Asian                    | Val  Loss: 2.0739 | Val  Acc: 0.3799
 Site-East_Asian                    | Val  Loss: 2.0692 | Val  Acc: 0.3779
 Site-Indian                        | Val  Loss: 2.1134 | Val  Acc: 0.2529
 Site-Indian                        | Val  Loss: 2.1208 | Val  Acc: 0.2227
 Site-Southeast_Asian               | Val  Loss: 2.1066 | Val  Acc: 0.3117
 Site-Middle_Eastern                | Val  Loss: 2.1024 | Val  Acc: 0.2393
Average Valid Accuracy: 0.2960
 Best site-White                         | Epoch:2 | Val Acc: 0.3256
 Best site-White                         | Epoch:2 | Val Acc: 0.3728
 Best site-White                         | Epoch:2 | Val Acc: 0.3484
 Best site-White                         | Epoch:2 | Val Acc: 0.3414
 Best site-White                         | Epoch:2 | Val Acc: 0.3474
 Best site-Latino_Hispanic               | Epoch:2 | Val Acc: 0.2708
 Best site-Latino_Hispanic               | Epoch:2 | Val Acc: 0.2593
 Best site-Latino_Hispanic               | Epoch:2 | Val Acc: 0.2984
 Best site-Latino_Hispanic               | Epoch:2 | Val Acc: 0.2831
 Best site-Black                         | Epoch:2 | Val Acc: 0.2151
 Best site-Black                         | Epoch:2 | Val Acc: 0.2311
 Best site-Black                         | Epoch:2 | Val Acc: 0.2508
 Best site-East_Asian                    | Epoch:2 | Val Acc: 0.3799
 Best site-East_Asian                    | Epoch:2 | Val Acc: 0.3779
 Best site-Indian                        | Epoch:2 | Val Acc: 0.2529
 Best site-Indian                        | Epoch:2 | Val Acc: 0.2227
 Best site-Southeast_Asian               | Epoch:2 | Val Acc: 0.3117
 Best site-Middle_Eastern                | Epoch:2 | Val Acc: 0.2393
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_7/ablation...
============ Train epoch 3 ============
cnt=[5, 3, 1, 5, 2, 1, 1, ]
power_decay: 0.9, powerI: 0.8280, powerC: 0.1720
sum of wi : 1.0000
 Site-White                    | Train Loss: 2.0661 | Train Acc: 0.3575
 Site-White                    | Train Loss: 2.0333 | Train Acc: 0.3425
 Site-White                    | Train Loss: 2.0435 | Train Acc: 0.3434
 Site-White                    | Train Loss: 2.0315 | Train Acc: 0.3601
 Site-White                    | Train Loss: 2.0381 | Train Acc: 0.3398
 Site-Latino_Hispanic          | Train Loss: 2.0803 | Train Acc: 0.2535
 Site-Latino_Hispanic          | Train Loss: 2.0647 | Train Acc: 0.2746
 Site-Latino_Hispanic          | Train Loss: 2.0796 | Train Acc: 0.2735
 Site-Latino_Hispanic          | Train Loss: 2.0739 | Train Acc: 0.2684
 Site-Black                    | Train Loss: 2.1044 | Train Acc: 0.2403
 Site-Black                    | Train Loss: 2.0887 | Train Acc: 0.2337
 Site-Black                    | Train Loss: 2.0876 | Train Acc: 0.2370
 Site-East_Asian               | Train Loss: 2.0336 | Train Acc: 0.3790
 Site-East_Asian               | Train Loss: 2.0566 | Train Acc: 0.4044
 Site-Indian                   | Train Loss: 2.0788 | Train Acc: 0.2328
 Site-Indian                   | Train Loss: 2.0865 | Train Acc: 0.2303
 Site-Southeast_Asian          | Train Loss: 2.0688 | Train Acc: 0.3009
 Site-Middle_Eastern           | Train Loss: 2.0811 | Train Acc: 0.2557
 Site-White                         | Val  Loss: 2.0658 | Val  Acc: 0.3101
 Site-White                         | Val  Loss: 2.0246 | Val  Acc: 0.3846
 Site-White                         | Val  Loss: 2.0252 | Val  Acc: 0.3484
 Site-White                         | Val  Loss: 2.0396 | Val  Acc: 0.3276
 Site-White                         | Val  Loss: 2.0365 | Val  Acc: 0.3579
 Site-Latino_Hispanic               | Val  Loss: 2.1037 | Val  Acc: 0.2639
 Site-Latino_Hispanic               | Val  Loss: 2.0793 | Val  Acc: 0.2646
 Site-Latino_Hispanic               | Val  Loss: 2.0658 | Val  Acc: 0.2984
 Site-Latino_Hispanic               | Val  Loss: 2.0851 | Val  Acc: 0.2831
 Site-Black                         | Val  Loss: 2.0946 | Val  Acc: 0.2267
 Site-Black                         | Val  Loss: 2.0923 | Val  Acc: 0.2356
 Site-Black                         | Val  Loss: 2.0885 | Val  Acc: 0.2542
 Site-East_Asian                    | Val  Loss: 2.0269 | Val  Acc: 0.3886
 Site-East_Asian                    | Val  Loss: 2.0241 | Val  Acc: 0.3746
 Site-Indian                        | Val  Loss: 2.0925 | Val  Acc: 0.2414
 Site-Indian                        | Val  Loss: 2.1040 | Val  Acc: 0.2227
 Site-Southeast_Asian               | Val  Loss: 2.0926 | Val  Acc: 0.2890
 Site-Middle_Eastern                | Val  Loss: 2.0815 | Val  Acc: 0.2479
Average Valid Accuracy: 0.2955
============ Train epoch 4 ============
cnt=[5, 3, 2, 1, 2, 4, 1, ]
power_decay: 0.9, powerI: 0.7952, powerC: 0.2048
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.9564 | Train Acc: 0.3627
 Site-White                    | Train Loss: 2.0027 | Train Acc: 0.3386
 Site-White                    | Train Loss: 2.0080 | Train Acc: 0.3343
 Site-White                    | Train Loss: 1.9991 | Train Acc: 0.3601
 Site-White                    | Train Loss: 2.0101 | Train Acc: 0.3415
 Site-Latino_Hispanic          | Train Loss: 2.0559 | Train Acc: 0.2535
