===2023-06-09 04:11:11===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[193,254,332,436,571,193,253,332,435,205,268,352,243,318,165,216,259,176,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[2, 1, 3, 2, 5, 4, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
 Site-White                    | Train Loss: 2.0108 | Train Acc: 0.3523
 Site-White                    | Train Loss: 1.8493 | Train Acc: 0.3425
 Site-White                    | Train Loss: 1.8283 | Train Acc: 0.3404
 Site-White                    | Train Loss: 1.8299 | Train Acc: 0.3532
 Site-White                    | Train Loss: 1.8522 | Train Acc: 0.3485
 Site-Latino_Hispanic          | Train Loss: 1.7395 | Train Acc: 0.2642
 Site-Latino_Hispanic          | Train Loss: 1.9680 | Train Acc: 0.2688
 Site-Latino_Hispanic          | Train Loss: 1.9406 | Train Acc: 0.2530
 Site-Latino_Hispanic          | Train Loss: 1.9619 | Train Acc: 0.2690
 Site-Black                    | Train Loss: 2.0089 | Train Acc: 0.2537
 Site-Black                    | Train Loss: 2.0353 | Train Acc: 0.2313
 Site-Black                    | Train Loss: 2.0022 | Train Acc: 0.2557
 Site-East_Asian               | Train Loss: 1.8279 | Train Acc: 0.3786
 Site-East_Asian               | Train Loss: 1.8037 | Train Acc: 0.3868
 Site-Indian                   | Train Loss: 2.1385 | Train Acc: 0.2121
 Site-Indian                   | Train Loss: 2.1499 | Train Acc: 0.2361
 Site-Southeast_Asian          | Train Loss: 2.1401 | Train Acc: 0.2973
 Site-Middle_Eastern           | Train Loss: 2.0334 | Train Acc: 0.2500
 Site-White                     (5) | Val  Loss: 2.3360 | Val  Acc: 0.3333
 Site-White                     (5) | Val  Loss: 1.8005 | Val  Acc: 0.3669
 Site-White                     (1) | Val  Loss: 1.8097 | Val  Acc: 0.3529
 Site-White                     (5) | Val  Loss: 1.8794 | Val  Acc: 0.3448
 Site-White                     (5) | Val  Loss: 1.8381 | Val  Acc: 0.3500
 Site-Latino_Hispanic           (0) | Val  Loss: 1.6136 | Val  Acc: 0.2558
 Site-Latino_Hispanic           (4) | Val  Loss: 2.0238 | Val  Acc: 0.2604
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9594 | Val  Acc: 0.2805
 Site-Latino_Hispanic           (0) | Val  Loss: 1.9717 | Val  Acc: 0.2724
 Site-Black                     (2) | Val  Loss: 1.8855 | Val  Acc: 0.2574
 Site-Black                     (2) | Val  Loss: 2.0171 | Val  Acc: 0.2458
 Site-Black                     (2) | Val  Loss: 2.0452 | Val  Acc: 0.2479
 Site-East_Asian                (3) | Val  Loss: 1.7774 | Val  Acc: 0.4037
 Site-East_Asian                (3) | Val  Loss: 1.8665 | Val  Acc: 0.3774
 Site-Indian                    (4) | Val  Loss: 2.1241 | Val  Acc: 0.2385
 Site-Indian                    (4) | Val  Loss: 2.1373 | Val  Acc: 0.2708
 Site-Southeast_Asian           (4) | Val  Loss: 2.0469 | Val  Acc: 0.3179
 Site-Middle_Eastern            (6) | Val  Loss: 1.9713 | Val  Acc: 0.2735
Average Valid Accuracy: 0.3028
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.3333
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.3669
 Best site-White                    (1)  | Epoch:0 | Val Acc: 0.3529
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.3448
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.3500
 Best site-Latino_Hispanic          (0)  | Epoch:0 | Val Acc: 0.2558
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2604
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2805
 Best site-Latino_Hispanic          (0)  | Epoch:0 | Val Acc: 0.2724
 Best site-Black                    (2)  | Epoch:0 | Val Acc: 0.2574
 Best site-Black                    (2)  | Epoch:0 | Val Acc: 0.2458
 Best site-Black                    (2)  | Epoch:0 | Val Acc: 0.2479
 Best site-East_Asian               (3)  | Epoch:0 | Val Acc: 0.4037
