===2023-06-07 17:53:22===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0.9
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[193,254,332,436,571,217,284,373,488,258,338,443,343,450,262,343,462,352,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
===2023-06-07 17:56:02===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 2
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0.9
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[38,50,66,87,114,43,56,74,97,51,67,88,68,89,52,68,92,70,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
===2023-06-07 17:56:20===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 2
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0.9
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[19,25,33,43,56,21,28,37,48,25,33,44,34,44,25,34,46,35,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[1, 5, 1, 1, 8, 1, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
enlarge weight of clients:[]
 Site-White                    | Train Loss: 1.9369 | Train Acc: 0.3158
 Site-White                    | Train Loss: 2.0488 | Train Acc: 0.2400
 Site-White                    | Train Loss: 1.9169 | Train Acc: 0.3939
 Site-White                    | Train Loss: 2.0047 | Train Acc: 0.2558
 Site-White                    | Train Loss: 1.9295 | Train Acc: 0.3750
 Site-Latino_Hispanic          | Train Loss: 1.9413 | Train Acc: 0.2381
 Site-Latino_Hispanic          | Train Loss: 2.0694 | Train Acc: 0.2143
 Site-Latino_Hispanic          | Train Loss: 2.0536 | Train Acc: 0.2162
 Site-Latino_Hispanic          | Train Loss: 2.0348 | Train Acc: 0.2917
 Site-Black                    | Train Loss: 1.9616 | Train Acc: 0.4000
 Site-Black                    | Train Loss: 1.9264 | Train Acc: 0.2121
 Site-Black                    | Train Loss: 2.1283 | Train Acc: 0.1818
 Site-East_Asian               | Train Loss: 1.9993 | Train Acc: 0.3824
 Site-East_Asian               | Train Loss: 1.9033 | Train Acc: 0.4318
 Site-Indian                   | Train Loss: 2.0495 | Train Acc: 0.2400
 Site-Indian                   | Train Loss: 1.9216 | Train Acc: 0.2353
 Site-Southeast_Asian          | Train Loss: 2.0654 | Train Acc: 0.3043
 Site-Middle_Eastern           | Train Loss: 2.0137 | Train Acc: 0.2286
 Site-White                     (4) | Val  Loss: 1.8656 | Val  Acc: 0.5833
 Site-White                     (4) | Val  Loss: 2.0851 | Val  Acc: 0.1875
 Site-White                     (4) | Val  Loss: 1.9559 | Val  Acc: 0.2727
 Site-White                     (4) | Val  Loss: 1.9615 | Val  Acc: 0.3448
 Site-White                     (4) | Val  Loss: 2.0436 | Val  Acc: 0.3158
 Site-Latino_Hispanic           (0) | Val  Loss: 2.0192 | Val  Acc: 0.4286
