===2023-05-14 05:45:20===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[17,25,37,54,80,118,173,255,374,551,38,57,84,123,181,267,393,62,91,135,198,291,114,168,247,145,214,244,166,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2812,1912,1300,884,601,408,277,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.7870 | Train Acc: 0.2941
 Site-White           | Train Loss: 2.1224 | Train Acc: 0.2800
 Site-White           | Train Loss: 1.9459 | Train Acc: 0.2703
 Site-White           | Train Loss: 1.8656 | Train Acc: 0.3148
 Site-White           | Train Loss: 1.8228 | Train Acc: 0.2500
 Site-White           | Train Loss: 1.8649 | Train Acc: 0.3305
 Site-White           | Train Loss: 1.8963 | Train Acc: 0.2948
 Site-White           | Train Loss: 1.8985 | Train Acc: 0.3216
 Site-White           | Train Loss: 1.9066 | Train Acc: 0.3316
 Site-White           | Train Loss: 1.9126 | Train Acc: 0.3194
 Site-Latino_Hispanic | Train Loss: 1.8330 | Train Acc: 0.2895
 Site-Latino_Hispanic | Train Loss: 2.2278 | Train Acc: 0.1930
 Site-Latino_Hispanic | Train Loss: 2.0045 | Train Acc: 0.2381
 Site-Latino_Hispanic | Train Loss: 1.9697 | Train Acc: 0.2358
 Site-Latino_Hispanic | Train Loss: 2.0579 | Train Acc: 0.2431
 Site-Latino_Hispanic | Train Loss: 1.9098 | Train Acc: 0.2509
 Site-Latino_Hispanic | Train Loss: 2.0224 | Train Acc: 0.2494
 Site-Black           | Train Loss: 1.9193 | Train Acc: 0.3226
 Site-Black           | Train Loss: 2.0668 | Train Acc: 0.2198
 Site-Black           | Train Loss: 1.9454 | Train Acc: 0.2963
 Site-Black           | Train Loss: 2.0149 | Train Acc: 0.2576
 Site-Black           | Train Loss: 2.0002 | Train Acc: 0.2405
 Site-East_Asian      | Train Loss: 1.8741 | Train Acc: 0.3596
 Site-East_Asian      | Train Loss: 1.9556 | Train Acc: 0.3214
 Site-East_Asian      | Train Loss: 1.8792 | Train Acc: 0.3441
 Site-Indian          | Train Loss: 2.1571 | Train Acc: 0.2345
 Site-Indian          | Train Loss: 2.1816 | Train Acc: 0.2056
 Site-Southeast_Asian | Train Loss: 2.1237 | Train Acc: 0.2869
 Site-Middle_Eastern  | Train Loss: 1.8982 | Train Acc: 0.3072
 Site-White           | Val  Loss: 1.2714 | Val  Acc: 0.5455
 Site-White           | Val  Loss: 1.9787 | Val  Acc: 0.3125
 Site-White           | Val  Loss: 2.1296 | Val  Acc: 0.2083
 Site-White           | Val  Loss: 1.9223 | Val  Acc: 0.2778
 Site-White           | Val  Loss: 1.9541 | Val  Acc: 0.3019
 Site-White           | Val  Loss: 1.8028 | Val  Acc: 0.2821
 Site-White           | Val  Loss: 1.9092 | Val  Acc: 0.3130
 Site-White           | Val  Loss: 1.9030 | Val  Acc: 0.3314
 Site-White           | Val  Loss: 1.9117 | Val  Acc: 0.3133
 Site-White           | Val  Loss: 1.9231 | Val  Acc: 0.3106
 Site-Latino_Hispanic | Val  Loss: 2.5321 | Val  Acc: 0.1200
 Site-Latino_Hispanic | Val  Loss: 1.9113 | Val  Acc: 0.3158
 Site-Latino_Hispanic | Val  Loss: 1.8293 | Val  Acc: 0.2679
 Site-Latino_Hispanic | Val  Loss: 1.9190 | Val  Acc: 0.2317
