===2023-05-14 11:03:48===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[17,25,37,54,80,118,173,255,374,551,38,57,84,123,181,267,393,62,91,135,198,291,114,168,247,145,214,244,166,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2812,1912,1300,884,601,408,277,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.5507 | Train Acc: 0.4118
 Site-White           | Train Loss: 1.7807 | Train Acc: 0.3200
 Site-White           | Train Loss: 1.6624 | Train Acc: 0.2703
 Site-White           | Train Loss: 1.6158 | Train Acc: 0.3519
 Site-White           | Train Loss: 1.6244 | Train Acc: 0.3875
 Site-White           | Train Loss: 1.6441 | Train Acc: 0.3305
 Site-White           | Train Loss: 1.6525 | Train Acc: 0.3353
 Site-White           | Train Loss: 1.6646 | Train Acc: 0.3176
 Site-White           | Train Loss: 1.6457 | Train Acc: 0.3583
 Site-White           | Train Loss: 1.6721 | Train Acc: 0.3358
 Site-Latino_Hispanic | Train Loss: 1.6327 | Train Acc: 0.3684
 Site-Latino_Hispanic | Train Loss: 1.8368 | Train Acc: 0.3158
 Site-Latino_Hispanic | Train Loss: 1.7216 | Train Acc: 0.3452
 Site-Latino_Hispanic | Train Loss: 1.6929 | Train Acc: 0.3008
 Site-Latino_Hispanic | Train Loss: 1.7433 | Train Acc: 0.2873
 Site-Latino_Hispanic | Train Loss: 1.5997 | Train Acc: 0.2959
 Site-Latino_Hispanic | Train Loss: 1.7423 | Train Acc: 0.3104
 Site-Black           | Train Loss: 1.6943 | Train Acc: 0.4032
 Site-Black           | Train Loss: 1.7501 | Train Acc: 0.2637
 Site-Black           | Train Loss: 1.7053 | Train Acc: 0.3037
 Site-Black           | Train Loss: 1.6048 | Train Acc: 0.3485
 Site-Black           | Train Loss: 1.7292 | Train Acc: 0.3093
 Site-East_Asian      | Train Loss: 1.5752 | Train Acc: 0.4474
 Site-East_Asian      | Train Loss: 1.6191 | Train Acc: 0.3929
 Site-East_Asian      | Train Loss: 1.5677 | Train Acc: 0.4534
 Site-Indian          | Train Loss: 1.8790 | Train Acc: 0.2690
 Site-Indian          | Train Loss: 1.8442 | Train Acc: 0.2710
 Site-Southeast_Asian | Train Loss: 1.8042 | Train Acc: 0.3525
 Site-Middle_Eastern  | Train Loss: 1.6394 | Train Acc: 0.4398
 Site-White           | Val  Loss: 1.0653 | Val  Acc: 0.4545
 Site-White           | Val  Loss: 1.6864 | Val  Acc: 0.3750
 Site-White           | Val  Loss: 1.8091 | Val  Acc: 0.2500
 Site-White           | Val  Loss: 1.7028 | Val  Acc: 0.3056
