===2023-06-01 10:00:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Male               | Train Loss: 2.1674 | Train Acc: 0.1667
 Site-White_Female             | Train Loss: 2.1715 | Train Acc: 0.1852
 Site-White_Male               | Train Loss: 2.1966 | Train Acc: 0.1000
 Site-White_Female             | Train Loss: 2.1442 | Train Acc: 0.2586
 Site-White_Male               | Train Loss: 2.1851 | Train Acc: 0.1609
 Site-White_Female             | Train Loss: 2.1669 | Train Acc: 0.1654
 Site-White_Male               | Train Loss: 2.1844 | Train Acc: 0.1436
 Site-White_Female             | Train Loss: 2.1733 | Train Acc: 0.1848
 Site-White_Male               | Train Loss: 2.1711 | Train Acc: 0.1724
 Site-White_Female             | Train Loss: 2.1685 | Train Acc: 0.1697
 Site-Latino_Hispanic_Male     | Train Loss: 2.1480 | Train Acc: 0.1429
 Site-Latino_Hispanic_Female   | Train Loss: 2.1740 | Train Acc: 0.1311
 Site-Latino_Hispanic_Male     | Train Loss: 2.1716 | Train Acc: 0.0769
 Site-Latino_Hispanic_Female   | Train Loss: 2.1740 | Train Acc: 0.1493
 Site-Latino_Hispanic_Male     | Train Loss: 2.1634 | Train Acc: 0.2030
 Site-Latino_Hispanic_Female   | Train Loss: 2.1570 | Train Acc: 0.1690
 Site-Latino_Hispanic_Male     | Train Loss: 2.1645 | Train Acc: 0.1531
 Site-Black_Female             | Train Loss: 2.1796 | Train Acc: 0.1642
 Site-Black_Male               | Train Loss: 2.1744 | Train Acc: 0.1212
 Site-Black_Female             | Train Loss: 2.1680 | Train Acc: 0.1507
 Site-Black_Male               | Train Loss: 2.1701 | Train Acc: 0.1349
 Site-Black_Female             | Train Loss: 2.1690 | Train Acc: 0.1899
 Site-East_Asian_Male          | Train Loss: 2.1642 | Train Acc: 0.1371
 Site-East_Asian_Female        | Train Loss: 2.1740 | Train Acc: 0.1154
 Site-East_Asian_Male          | Train Loss: 2.1748 | Train Acc: 0.1604
 Site-Indian_Female            | Train Loss: 2.1795 | Train Acc: 0.1519
 Site-Indian_Male              | Train Loss: 2.1779 | Train Acc: 0.1595
 Site-Southeast_Asian_Female   | Train Loss: 2.1775 | Train Acc: 0.1316
 Site-Middle_Eastern_Male      | Train Loss: 2.1918 | Train Acc: 0.1436
 Site-White_Male                    | Val  Loss: 2.1753 | Val  Acc: 0.2500
 Site-White_Female                  | Val  Loss: 2.1748 | Val  Acc: 0.2778
 Site-White_Male                    | Val  Loss: 2.1775 | Val  Acc: 0.0769
 Site-White_Female                  | Val  Loss: 2.1615 | Val  Acc: 0.2308
 Site-White_Male                    | Val  Loss: 2.1835 | Val  Acc: 0.1552
 Site-White_Female                  | Val  Loss: 2.1619 | Val  Acc: 0.1882
 Site-White_Male                    | Val  Loss: 2.1779 | Val  Acc: 0.1760
 Site-White_Female                  | Val  Loss: 2.1614 | Val  Acc: 0.2011
 Site-White_Male                    | Val  Loss: 2.1713 | Val  Acc: 0.1513
 Site-White_Female                  | Val  Loss: 2.1618 | Val  Acc: 0.2041
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1840 | Val  Acc: 0.0714
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1574 | Val  Acc: 0.2195
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1536 | Val  Acc: 0.1500
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1539 | Val  Acc: 0.1798
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1559 | Val  Acc: 0.1374
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1866 | Val  Acc: 0.1503
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1603 | Val  Acc: 0.1691
 Site-Black_Female                  | Val  Loss: 2.1764 | Val  Acc: 0.1778
 Site-Black_Male                    | Val  Loss: 2.2046 | Val  Acc: 0.1212
 Site-Black_Female                  | Val  Loss: 2.1773 | Val  Acc: 0.1443
 Site-Black_Male                    | Val  Loss: 2.1547 | Val  Acc: 0.1259
 Site-Black_Female                  | Val  Loss: 2.1842 | Val  Acc: 0.1232
 Site-East_Asian_Male               | Val  Loss: 2.1620 | Val  Acc: 0.1220
 Site-East_Asian_Female             | Val  Loss: 2.1637 | Val  Acc: 0.1240
 Site-East_Asian_Male               | Val  Loss: 2.1702 | Val  Acc: 0.1461
 Site-Indian_Female                 | Val  Loss: 2.1742 | Val  Acc: 0.1333
 Site-Indian_Male                   | Val  Loss: 2.1776 | Val  Acc: 0.1484
 Site-Southeast_Asian_Female        | Val  Loss: 2.1685 | Val  Acc: 0.1412
 Site-Middle_Eastern_Male           | Val  Loss: 2.1807 | Val  Acc: 0.1750
Average Valid Accuracy: 0.1611
 Best site-White_Male                | Epoch:0 | Val Acc: 0.2500
 Best site-White_Female              | Epoch:0 | Val Acc: 0.2778
 Best site-White_Male                | Epoch:0 | Val Acc: 0.0769
 Best site-White_Female              | Epoch:0 | Val Acc: 0.2308
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1552
 Best site-White_Female              | Epoch:0 | Val Acc: 0.1882
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1760
 Best site-White_Female              | Epoch:0 | Val Acc: 0.2011
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1513
 Best site-White_Female              | Epoch:0 | Val Acc: 0.2041
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.0714
 Best site-Latino_Hispanic_Female    | Epoch:0 | Val Acc: 0.2195
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.1500
 Best site-Latino_Hispanic_Female    | Epoch:0 | Val Acc: 0.1798
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.1374
 Best site-Latino_Hispanic_Female    | Epoch:0 | Val Acc: 0.1503
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.1691
 Best site-Black_Female              | Epoch:0 | Val Acc: 0.1778
 Best site-Black_Male                | Epoch:0 | Val Acc: 0.1212
 Best site-Black_Female              | Epoch:0 | Val Acc: 0.1443
 Best site-Black_Male                | Epoch:0 | Val Acc: 0.1259
 Best site-Black_Female              | Epoch:0 | Val Acc: 0.1232
 Best site-East_Asian_Male           | Epoch:0 | Val Acc: 0.1220
 Best site-East_Asian_Female         | Epoch:0 | Val Acc: 0.1240
 Best site-East_Asian_Male           | Epoch:0 | Val Acc: 0.1461
 Best site-Indian_Female             | Epoch:0 | Val Acc: 0.1333
 Best site-Indian_Male               | Epoch:0 | Val Acc: 0.1484
 Best site-Southeast_Asian_Female    | Epoch:0 | Val Acc: 0.1412
 Best site-Middle_Eastern_Male       | Epoch:0 | Val Acc: 0.1750
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_gender_cluster_-1/fedavg...
============ Train epoch 1 ============
 Site-White_Male               | Train Loss: 2.1320 | Train Acc: 0.1667
 Site-White_Female             | Train Loss: 2.1540 | Train Acc: 0.1481
 Site-White_Male               | Train Loss: 2.1594 | Train Acc: 0.1750
 Site-White_Female             | Train Loss: 2.1086 | Train Acc: 0.2586
 Site-White_Male               | Train Loss: 2.1590 | Train Acc: 0.2069
 Site-White_Female             | Train Loss: 2.1324 | Train Acc: 0.2598
 Site-White_Male               | Train Loss: 2.1559 | Train Acc: 0.2021
 Site-White_Female             | Train Loss: 2.1411 | Train Acc: 0.2391
 Site-White_Male               | Train Loss: 2.1483 | Train Acc: 0.2241
 Site-White_Female             | Train Loss: 2.1290 | Train Acc: 0.2489
 Site-Latino_Hispanic_Male     | Train Loss: 2.1090 | Train Acc: 0.3095
 Site-Latino_Hispanic_Female   | Train Loss: 2.1564 | Train Acc: 0.1475
 Site-Latino_Hispanic_Male     | Train Loss: 2.1442 | Train Acc: 0.1319
 Site-Latino_Hispanic_Female   | Train Loss: 2.1444 | Train Acc: 0.2164
 Site-Latino_Hispanic_Male     | Train Loss: 2.1499 | Train Acc: 0.2132
 Site-Latino_Hispanic_Female   | Train Loss: 2.1318 | Train Acc: 0.1862
 Site-Latino_Hispanic_Male     | Train Loss: 2.1399 | Train Acc: 0.2033
 Site-Black_Female             | Train Loss: 2.1642 | Train Acc: 0.1791
 Site-Black_Male               | Train Loss: 2.1667 | Train Acc: 0.1414
 Site-Black_Female             | Train Loss: 2.1428 | Train Acc: 0.1918
 Site-Black_Male               | Train Loss: 2.1660 | Train Acc: 0.1535
 Site-Black_Female             | Train Loss: 2.1495 | Train Acc: 0.2057
 Site-East_Asian_Male          | Train Loss: 2.1314 | Train Acc: 0.2016
 Site-East_Asian_Female        | Train Loss: 2.1291 | Train Acc: 0.2198
 Site-East_Asian_Male          | Train Loss: 2.1488 | Train Acc: 0.2015
 Site-Indian_Female            | Train Loss: 2.1627 | Train Acc: 0.1582
 Site-Indian_Male              | Train Loss: 2.1588 | Train Acc: 0.1724
 Site-Southeast_Asian_Female   | Train Loss: 2.1627 | Train Acc: 0.1729
 Site-Middle_Eastern_Male      | Train Loss: 2.1806 | Train Acc: 0.1823
 Site-White_Male                    | Val  Loss: 2.1723 | Val  Acc: 0.1667
 Site-White_Female                  | Val  Loss: 2.1537 | Val  Acc: 0.2222
 Site-White_Male                    | Val  Loss: 2.1673 | Val  Acc: 0.1154
 Site-White_Female                  | Val  Loss: 2.1302 | Val  Acc: 0.1026
 Site-White_Male                    | Val  Loss: 2.1753 | Val  Acc: 0.1897
 Site-White_Female                  | Val  Loss: 2.1259 | Val  Acc: 0.2471
 Site-White_Male                    | Val  Loss: 2.1581 | Val  Acc: 0.1840
 Site-White_Female                  | Val  Loss: 2.1247 | Val  Acc: 0.2826
 Site-White_Male                    | Val  Loss: 2.1472 | Val  Acc: 0.2177
 Site-White_Female                  | Val  Loss: 2.1272 | Val  Acc: 0.2313
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1552 | Val  Acc: 0.1786
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1476 | Val  Acc: 0.1951
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1236 | Val  Acc: 0.2333
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1387 | Val  Acc: 0.2135
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1015 | Val  Acc: 0.2137
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1457 | Val  Acc: 0.1813
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1411 | Val  Acc: 0.2302
 Site-Black_Female                  | Val  Loss: 2.1511 | Val  Acc: 0.2667
 Site-Black_Male                    | Val  Loss: 2.1550 | Val  Acc: 0.1515
 Site-Black_Female                  | Val  Loss: 2.1574 | Val  Acc: 0.1753
 Site-Black_Male                    | Val  Loss: 2.1206 | Val  Acc: 0.2098
 Site-Black_Female                  | Val  Loss: 2.1529 | Val  Acc: 0.1896
 Site-East_Asian_Male               | Val  Loss: 2.1393 | Val  Acc: 0.1463
 Site-East_Asian_Female             | Val  Loss: 2.1204 | Val  Acc: 0.2314
 Site-East_Asian_Male               | Val  Loss: 2.1454 | Val  Acc: 0.1742
 Site-Indian_Female                 | Val  Loss: 2.1577 | Val  Acc: 0.2095
 Site-Indian_Male                   | Val  Loss: 2.1635 | Val  Acc: 0.1484
 Site-Southeast_Asian_Female        | Val  Loss: 2.1558 | Val  Acc: 0.1695
 Site-Middle_Eastern_Male           | Val  Loss: 2.1719 | Val  Acc: 0.1833
Average Valid Accuracy: 0.1952
 Best site-White_Male                | Epoch:1 | Val Acc: 0.1667
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2222
 Best site-White_Male                | Epoch:1 | Val Acc: 0.1154
 Best site-White_Female              | Epoch:1 | Val Acc: 0.1026
 Best site-White_Male                | Epoch:1 | Val Acc: 0.1897
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2471
 Best site-White_Male                | Epoch:1 | Val Acc: 0.1840
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2826
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2177
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2313
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.1786
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.1951
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2333
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.2135
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2137
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.1813
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2302
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.2667
 Best site-Black_Male                | Epoch:1 | Val Acc: 0.1515
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.1753
