===2023-06-03 21:00:47===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Site-White                    | Train Loss: 2.1064 | Train Acc: 0.2778
 Site-White                    | Train Loss: 2.1540 | Train Acc: 0.2692
 Site-White                    | Train Loss: 2.1211 | Train Acc: 0.3333
 Site-White                    | Train Loss: 2.1167 | Train Acc: 0.2632
 Site-White                    | Train Loss: 2.1350 | Train Acc: 0.2235
 Site-White                    | Train Loss: 2.1297 | Train Acc: 0.2320
 Site-White                    | Train Loss: 2.1319 | Train Acc: 0.2514
 Site-White                    | Train Loss: 2.1276 | Train Acc: 0.2519
 Site-White                    | Train Loss: 2.1276 | Train Acc: 0.2872
 Site-White                    | Train Loss: 2.1279 | Train Acc: 0.2945
 Site-Latino_Hispanic          | Train Loss: 2.1409 | Train Acc: 0.2683
 Site-Latino_Hispanic          | Train Loss: 2.1590 | Train Acc: 0.2167
 Site-Latino_Hispanic          | Train Loss: 2.1428 | Train Acc: 0.2135
 Site-Latino_Hispanic          | Train Loss: 2.1104 | Train Acc: 0.2061
 Site-Latino_Hispanic          | Train Loss: 2.1514 | Train Acc: 0.2188
 Site-Latino_Hispanic          | Train Loss: 2.1434 | Train Acc: 0.2438
 Site-Latino_Hispanic          | Train Loss: 2.1469 | Train Acc: 0.2163
 Site-Black                    | Train Loss: 2.1350 | Train Acc: 0.1667
 Site-Black                    | Train Loss: 2.1593 | Train Acc: 0.1237
 Site-Black                    | Train Loss: 2.1754 | Train Acc: 0.1678
 Site-Black                    | Train Loss: 2.1693 | Train Acc: 0.1429
 Site-Black                    | Train Loss: 2.1755 | Train Acc: 0.1618
 Site-East_Asian               | Train Loss: 2.1315 | Train Acc: 0.1901
 Site-East_Asian               | Train Loss: 2.1181 | Train Acc: 0.2921
 Site-East_Asian               | Train Loss: 2.1260 | Train Acc: 0.2405
 Site-Indian                   | Train Loss: 2.1421 | Train Acc: 0.2143
 Site-Indian                   | Train Loss: 2.1506 | Train Acc: 0.2203
 Site-Southeast_Asian          | Train Loss: 2.1476 | Train Acc: 0.2355
 Site-Middle_Eastern           | Train Loss: 2.1446 | Train Acc: 0.2500
 Site-White                         | Val  Loss: 2.1899 | Val  Acc: 0.0833
 Site-White                         | Val  Loss: 2.1387 | Val  Acc: 0.2941
 Site-White                         | Val  Loss: 2.1302 | Val  Acc: 0.3077
 Site-White                         | Val  Loss: 2.1446 | Val  Acc: 0.2632
 Site-White                         | Val  Loss: 2.1136 | Val  Acc: 0.3036
 Site-White                         | Val  Loss: 2.1213 | Val  Acc: 0.3012
 Site-White                         | Val  Loss: 2.1317 | Val  Acc: 0.2951
 Site-White                         | Val  Loss: 2.1295 | Val  Acc: 0.2611
 Site-White                         | Val  Loss: 2.1391 | Val  Acc: 0.2841
 Site-White                         | Val  Loss: 2.1375 | Val  Acc: 0.2776
 Site-Latino_Hispanic               | Val  Loss: 2.1288 | Val  Acc: 0.4074
 Site-Latino_Hispanic               | Val  Loss: 2.1076 | Val  Acc: 0.2000
 Site-Latino_Hispanic               | Val  Loss: 2.1671 | Val  Acc: 0.1356
 Site-Latino_Hispanic               | Val  Loss: 2.1509 | Val  Acc: 0.1609
