===2023-06-14 17:28:12===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,27,40,59,86,127,187,276,43,64,94,139,205,55,81,119,50,74,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,419,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1023 | Train Acc: 0.0833
 Site-White_utk                     | Train Loss: 2.1804 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2257 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.2720 | Train Acc: 0.1053
 Site-White_utk                     | Train Loss: 2.2371 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.2174 | Train Acc: 0.1098
 Site-White_utk                     | Train Loss: 2.2117 | Train Acc: 0.0992
 Site-White_utk                     | Train Loss: 2.2360 | Train Acc: 0.1117
 Site-White_utk                     | Train Loss: 2.2292 | Train Acc: 0.1103
 Site-White_utk                     | Train Loss: 2.2208 | Train Acc: 0.1189
 Site-East_Asian                    | Train Loss: 1.9265 | Train Acc: 0.4074
 Site-East_Asian                    | Train Loss: 1.8857 | Train Acc: 0.4750
 Site-East_Asian                    | Train Loss: 1.9099 | Train Acc: 0.3729
 Site-East_Asian                    | Train Loss: 1.9719 | Train Acc: 0.3605
 Site-East_Asian                    | Train Loss: 1.9396 | Train Acc: 0.3858
 Site-East_Asian                    | Train Loss: 1.9480 | Train Acc: 0.3690
 Site-East_Asian                    | Train Loss: 1.9281 | Train Acc: 0.4022
 Site-Indian_utk                    | Train Loss: 1.9873 | Train Acc: 0.3488
 Site-Indian_utk                    | Train Loss: 1.9406 | Train Acc: 0.3906
 Site-Indian_utk                    | Train Loss: 2.0183 | Train Acc: 0.3404
 Site-Indian_utk                    | Train Loss: 1.9936 | Train Acc: 0.3597
 Site-Indian_utk                    | Train Loss: 1.9715 | Train Acc: 0.3512
 Site-Black_utk                     | Train Loss: 1.9223 | Train Acc: 0.3818
 Site-Black_utk                     | Train Loss: 2.0175 | Train Acc: 0.2593
 Site-Black_utk                     | Train Loss: 2.0109 | Train Acc: 0.3193
 Site-Middle_Eastern_gan            | Train Loss: 1.5693 | Train Acc: 0.8200
 Site-Middle_Eastern_gan            | Train Loss: 1.8238 | Train Acc: 0.5000
 Site-White_gan                     | Train Loss: 1.4643 | Train Acc: 0.9767
 Site-White                         | Train Loss: 1.9706 | Train Acc: 0.3419
Average Train Accuracy: 0.3187
 Site-White_utk                     | Val  Loss: 2.2297 | Val  Acc: 0.1250
 Site-White_utk                     | Val  Loss: 2.2210 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2127 | Val  Acc: 0.1765
 Site-White_utk                     | Val  Loss: 2.2601 | Val  Acc: 0.1200
 Site-White_utk                     | Val  Loss: 2.2468 | Val  Acc: 0.0541
 Site-White_utk                     | Val  Loss: 2.1688 | Val  Acc: 0.1091
 Site-White_utk                     | Val  Loss: 2.2327 | Val  Acc: 0.0988
 Site-White_utk                     | Val  Loss: 2.2421 | Val  Acc: 0.1092
 Site-White_utk                     | Val  Loss: 2.2203 | Val  Acc: 0.1143
 Site-White_utk                     | Val  Loss: 2.2911 | Val  Acc: 0.1124
 Site-East_Asian                    | Val  Loss: 2.0951 | Val  Acc: 0.2222
 Site-East_Asian                    | Val  Loss: 1.9638 | Val  Acc: 0.3846
 Site-East_Asian                    | Val  Loss: 1.9706 | Val  Acc: 0.4103
 Site-East_Asian                    | Val  Loss: 1.9042 | Val  Acc: 0.4211
 Site-East_Asian                    | Val  Loss: 1.9501 | Val  Acc: 0.4000
 Site-East_Asian                    | Val  Loss: 1.9071 | Val  Acc: 0.3920
 Site-East_Asian                    | Val  Loss: 1.9310 | Val  Acc: 0.3804
 Site-Indian_utk                    | Val  Loss: 1.9509 | Val  Acc: 0.3448
 Site-Indian_utk                    | Val  Loss: 1.9600 | Val  Acc: 0.3256
 Site-Indian_utk                    | Val  Loss: 1.9665 | Val  Acc: 0.3651
 Site-Indian_utk                    | Val  Loss: 1.9755 | Val  Acc: 0.3478
 Site-Indian_utk                    | Val  Loss: 1.8915 | Val  Acc: 0.3676
 Site-Black_utk                     | Val  Loss: 1.9379 | Val  Acc: 0.3333
 Site-Black_utk                     | Val  Loss: 2.0091 | Val  Acc: 0.3519
 Site-Black_utk                     | Val  Loss: 1.9726 | Val  Acc: 0.3418
 Site-Middle_Eastern_gan            | Val  Loss: 1.4886 | Val  Acc: 0.9091
 Site-Middle_Eastern_gan            | Val  Loss: 1.9753 | Val  Acc: 0.3061
 Site-White_gan                     | Val  Loss: 1.4393 | Val  Acc: 0.9913
 Site-White                         | Val  Loss: 1.8713 | Val  Acc: 0.3590
Average Valid Accuracy: 0.3126
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1250
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1765
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1200
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0541
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1091
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0988
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1092
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1143
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1124
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.2222
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3846
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4103
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4211
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4000
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3920
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3804
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.3448
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.3256
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.3651
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.3478
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.3676
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.3333
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.3519
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.3418
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.9091
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.3061
 Best site-White_gan                 | Epoch:0 | Val Acc: 0.9913
 Best site-White                     | Epoch:0 | Val Acc: 0.3590
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_-1_weak_white/CoCoOP...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.0597 | Train Acc: 0.0833
 Site-White_utk                     | Train Loss: 2.1262 | Train Acc: 0.1765
 Site-White_utk                     | Train Loss: 2.1912 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.2435 | Train Acc: 0.1053
 Site-White_utk                     | Train Loss: 2.1981 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.1813 | Train Acc: 0.1098
 Site-White_utk                     | Train Loss: 2.1895 | Train Acc: 0.1074
 Site-White_utk                     | Train Loss: 2.1866 | Train Acc: 0.1173
 Site-White_utk                     | Train Loss: 2.1771 | Train Acc: 0.0989
 Site-White_utk                     | Train Loss: 2.1373 | Train Acc: 0.1266
 Site-East_Asian                    | Train Loss: 1.8300 | Train Acc: 0.3704
 Site-East_Asian                    | Train Loss: 1.8199 | Train Acc: 0.4750
 Site-East_Asian                    | Train Loss: 1.8465 | Train Acc: 0.3220
 Site-East_Asian                    | Train Loss: 1.8992 | Train Acc: 0.3488
 Site-East_Asian                    | Train Loss: 1.8516 | Train Acc: 0.3858
