===2023-06-15 01:24:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,27,40,59,86,127,187,276,43,64,94,139,205,55,81,119,102,150,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1827 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.2122 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2198 | Train Acc: 0.0769
 Site-White_utk                     | Train Loss: 2.2081 | Train Acc: 0.1316
 Site-White_utk                     | Train Loss: 2.1966 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.2008 | Train Acc: 0.1220
 Site-White_utk                     | Train Loss: 2.2117 | Train Acc: 0.0661
 Site-White_utk                     | Train Loss: 2.2119 | Train Acc: 0.0726
 Site-White_utk                     | Train Loss: 2.1987 | Train Acc: 0.0951
 Site-White_utk                     | Train Loss: 2.2078 | Train Acc: 0.0956
 Site-East_Asian                    | Train Loss: 2.1937 | Train Acc: 0.1111
 Site-East_Asian                    | Train Loss: 2.1706 | Train Acc: 0.1000
 Site-East_Asian                    | Train Loss: 2.1689 | Train Acc: 0.1017
 Site-East_Asian                    | Train Loss: 2.1875 | Train Acc: 0.1163
 Site-East_Asian                    | Train Loss: 2.1812 | Train Acc: 0.1024
 Site-East_Asian                    | Train Loss: 2.1851 | Train Acc: 0.1283
 Site-East_Asian                    | Train Loss: 2.1793 | Train Acc: 0.1341
 Site-Indian_utk                    | Train Loss: 2.2311 | Train Acc: 0.0465
 Site-Indian_utk                    | Train Loss: 2.2250 | Train Acc: 0.0625
 Site-Indian_utk                    | Train Loss: 2.2158 | Train Acc: 0.0638
 Site-Indian_utk                    | Train Loss: 2.2078 | Train Acc: 0.0647
 Site-Indian_utk                    | Train Loss: 2.1980 | Train Acc: 0.0976
 Site-Black_utk                     | Train Loss: 2.2061 | Train Acc: 0.1091
 Site-Black_utk                     | Train Loss: 2.2107 | Train Acc: 0.1235
 Site-Black_utk                     | Train Loss: 2.2016 | Train Acc: 0.1008
 Site-Southeast_Asian               | Train Loss: 2.1921 | Train Acc: 0.0980
 Site-Southeast_Asian               | Train Loss: 2.1985 | Train Acc: 0.0733
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.1723 | Train Acc: 0.2267
 Site-White_ffhq                    | Train Loss: 2.2569 | Train Acc: 0.0171
Average Train Accuracy: 0.1010
 Site-White_utk                     | Val  Loss: 2.2167 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2350 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2245 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2199 | Val  Acc: 0.0400
 Site-White_utk                     | Val  Loss: 2.2028 | Val  Acc: 0.1081
 Site-White_utk                     | Val  Loss: 2.1882 | Val  Acc: 0.1455
 Site-White_utk                     | Val  Loss: 2.1957 | Val  Acc: 0.1235
 Site-White_utk                     | Val  Loss: 2.1873 | Val  Acc: 0.0924
 Site-White_utk                     | Val  Loss: 2.2109 | Val  Acc: 0.0971
 Site-White_utk                     | Val  Loss: 2.1983 | Val  Acc: 0.1008
 Site-East_Asian                    | Val  Loss: 2.1736 | Val  Acc: 0.1667
 Site-East_Asian                    | Val  Loss: 2.1657 | Val  Acc: 0.1538
 Site-East_Asian                    | Val  Loss: 2.1905 | Val  Acc: 0.0769
 Site-East_Asian                    | Val  Loss: 2.1957 | Val  Acc: 0.0526
 Site-East_Asian                    | Val  Loss: 2.1964 | Val  Acc: 0.0941
 Site-East_Asian                    | Val  Loss: 2.1845 | Val  Acc: 0.1440
 Site-East_Asian                    | Val  Loss: 2.1847 | Val  Acc: 0.1033
 Site-Indian_utk                    | Val  Loss: 2.1964 | Val  Acc: 0.0690
 Site-Indian_utk                    | Val  Loss: 2.2065 | Val  Acc: 0.0698
 Site-Indian_utk                    | Val  Loss: 2.2009 | Val  Acc: 0.0635
 Site-Indian_utk                    | Val  Loss: 2.2131 | Val  Acc: 0.0761
 Site-Indian_utk                    | Val  Loss: 2.2098 | Val  Acc: 0.0735
 Site-Black_utk                     | Val  Loss: 2.2150 | Val  Acc: 0.1111
 Site-Black_utk                     | Val  Loss: 2.2036 | Val  Acc: 0.0741
 Site-Black_utk                     | Val  Loss: 2.2011 | Val  Acc: 0.1266
 Site-Southeast_Asian               | Val  Loss: 2.2096 | Val  Acc: 0.1471
 Site-Southeast_Asian               | Val  Loss: 2.1885 | Val  Acc: 0.1000
 Site-Latino_Hispanic_ffhq          | Val  Loss: 2.1709 | Val  Acc: 0.1565
 Site-White_ffhq                    | Val  Loss: 2.2531 | Val  Acc: 0.0256
Average Valid Accuracy: 0.0945
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0000
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0588
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0400
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1081
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1455
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1235
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0924
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0971
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1008
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1667
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1538
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0769
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0526
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0941
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1440
