===2023-06-14 14:45:18===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,8,12,18,27,40,59,87,43,64,94,139,205,80,118,174,50,74,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,856,1828,1244,419,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1746 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.1992 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2167 | Train Acc: 0.0769
 Site-White_utk                     | Train Loss: 2.1962 | Train Acc: 0.1316
 Site-White_utk                     | Train Loss: 2.2110 | Train Acc: 0.0714
 Site-White_utk                     | Train Loss: 2.1958 | Train Acc: 0.1220
 Site-White_utk                     | Train Loss: 2.2167 | Train Acc: 0.0579
 Site-White_utk                     | Train Loss: 2.2037 | Train Acc: 0.1006
 Site-White_utk                     | Train Loss: 2.1933 | Train Acc: 0.1141
 Site-White_utk                     | Train Loss: 2.2003 | Train Acc: 0.1085
 Site-Black_utk                     | Train Loss: 2.1870 | Train Acc: 0.0000
 Site-Black_utk                     | Train Loss: 2.2235 | Train Acc: 0.0833
 Site-Black_utk                     | Train Loss: 2.2237 | Train Acc: 0.1111
 Site-Black_utk                     | Train Loss: 2.1859 | Train Acc: 0.0741
 Site-Black_utk                     | Train Loss: 2.2130 | Train Acc: 0.1000
 Site-Black_utk                     | Train Loss: 2.1948 | Train Acc: 0.1356
 Site-Black_utk                     | Train Loss: 2.1758 | Train Acc: 0.1494
 Site-Southeast_Asian               | Train Loss: 2.1963 | Train Acc: 0.0465
 Site-Southeast_Asian               | Train Loss: 2.1914 | Train Acc: 0.1406
 Site-Southeast_Asian               | Train Loss: 2.1916 | Train Acc: 0.1170
 Site-Southeast_Asian               | Train Loss: 2.2020 | Train Acc: 0.1223
 Site-Southeast_Asian               | Train Loss: 2.2077 | Train Acc: 0.1024
 Site-Indian_utk                    | Train Loss: 2.2206 | Train Acc: 0.0375
