===2023-05-25 05:03:24===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White                    | Train Loss: 1.7055 | Train Acc: 0.3889
 Site-White                    | Train Loss: 2.0416 | Train Acc: 0.3077
 Site-White                    | Train Loss: 1.9000 | Train Acc: 0.2821
 Site-White                    | Train Loss: 1.7780 | Train Acc: 0.3509
 Site-White                    | Train Loss: 1.8378 | Train Acc: 0.3529
 Site-White                    | Train Loss: 1.8272 | Train Acc: 0.3600
 Site-White                    | Train Loss: 1.8185 | Train Acc: 0.3552
 Site-White                    | Train Loss: 1.7902 | Train Acc: 0.3296
 Site-White                    | Train Loss: 1.8369 | Train Acc: 0.3401
 Site-White                    | Train Loss: 1.8588 | Train Acc: 0.3425
 Site-Latino_Hispanic          | Train Loss: 1.9790 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9292 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 1.9467 | Train Acc: 0.2472
 Site-Latino_Hispanic          | Train Loss: 1.9707 | Train Acc: 0.2977
 Site-Latino_Hispanic          | Train Loss: 1.9991 | Train Acc: 0.2500
 Site-Latino_Hispanic          | Train Loss: 1.9260 | Train Acc: 0.2686
 Site-Latino_Hispanic          | Train Loss: 1.9621 | Train Acc: 0.2428
 Site-Black                    | Train Loss: 1.9127 | Train Acc: 0.1970
 Site-Black                    | Train Loss: 1.9974 | Train Acc: 0.2784
 Site-Black                    | Train Loss: 2.1278 | Train Acc: 0.1958
 Site-Black                    | Train Loss: 1.9574 | Train Acc: 0.2429
 Site-Black                    | Train Loss: 2.0081 | Train Acc: 0.2168
 Site-East_Asian               | Train Loss: 1.8213 | Train Acc: 0.4132
 Site-East_Asian               | Train Loss: 1.8527 | Train Acc: 0.3820
 Site-East_Asian               | Train Loss: 1.8253 | Train Acc: 0.4008
 Site-Indian                   | Train Loss: 2.0316 | Train Acc: 0.2403
 Site-Indian                   | Train Loss: 2.1028 | Train Acc: 0.2379
 Site-Southeast_Asian          | Train Loss: 1.8892 | Train Acc: 0.2934
 Site-Middle_Eastern           | Train Loss: 1.9912 | Train Acc: 0.2500
 Site-White                         | Val  Loss: 2.2531 | Val  Acc: 0.1667
 Site-White                         | Val  Loss: 1.6278 | Val  Acc: 0.4118
 Site-White                         | Val  Loss: 1.7111 | Val  Acc: 0.4615
 Site-White                         | Val  Loss: 1.7969 | Val  Acc: 0.3947
 Site-White                         | Val  Loss: 1.8336 | Val  Acc: 0.3571
 Site-White                         | Val  Loss: 1.8279 | Val  Acc: 0.3735
 Site-White                         | Val  Loss: 1.9142 | Val  Acc: 0.3197
 Site-White                         | Val  Loss: 1.8527 | Val  Acc: 0.3333
 Site-White                         | Val  Loss: 1.9692 | Val  Acc: 0.3182
 Site-White                         | Val  Loss: 1.9760 | Val  Acc: 0.3342
 Site-Latino_Hispanic               | Val  Loss: 1.8431 | Val  Acc: 0.3333
 Site-Latino_Hispanic               | Val  Loss: 1.8877 | Val  Acc: 0.3250
 Site-Latino_Hispanic               | Val  Loss: 1.9446 | Val  Acc: 0.2881
 Site-Latino_Hispanic               | Val  Loss: 1.9172 | Val  Acc: 0.3103
 Site-Latino_Hispanic               | Val  Loss: 1.9862 | Val  Acc: 0.2812
 Site-Latino_Hispanic               | Val  Loss: 1.9593 | Val  Acc: 0.2500
 Site-Latino_Hispanic               | Val  Loss: 1.9344 | Val  Acc: 0.2491
 Site-Black                         | Val  Loss: 2.1057 | Val  Acc: 0.1591
 Site-Black                         | Val  Loss: 1.9719 | Val  Acc: 0.2344
 Site-Black                         | Val  Loss: 1.9894 | Val  Acc: 0.2316
 Site-Black                         | Val  Loss: 1.8162 | Val  Acc: 0.2143
 Site-Black                         | Val  Loss: 1.9270 | Val  Acc: 0.2476
 Site-East_Asian                    | Val  Loss: 1.9396 | Val  Acc: 0.3875
 Site-East_Asian                    | Val  Loss: 1.7427 | Val  Acc: 0.4322
 Site-East_Asian                    | Val  Loss: 1.8465 | Val  Acc: 0.3851
 Site-Indian                        | Val  Loss: 2.1130 | Val  Acc: 0.2353
 Site-Indian                        | Val  Loss: 2.1590 | Val  Acc: 0.2119
 Site-Southeast_Asian               | Val  Loss: 2.0182 | Val  Acc: 0.3237
 Site-Middle_Eastern                | Val  Loss: 1.9378 | Val  Acc: 0.2650
Average Valid Accuracy: 0.3047
 Best site-White                     | Epoch:0 | Val Acc: 0.1667
 Best site-White                     | Epoch:0 | Val Acc: 0.4118
 Best site-White                     | Epoch:0 | Val Acc: 0.4615
 Best site-White                     | Epoch:0 | Val Acc: 0.3947
 Best site-White                     | Epoch:0 | Val Acc: 0.3571
 Best site-White                     | Epoch:0 | Val Acc: 0.3735
 Best site-White                     | Epoch:0 | Val Acc: 0.3197
 Best site-White                     | Epoch:0 | Val Acc: 0.3333
 Best site-White                     | Epoch:0 | Val Acc: 0.3182
 Best site-White                     | Epoch:0 | Val Acc: 0.3342
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.3333
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.3250
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2881
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.3103
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2812
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2500
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2491
 Best site-Black                     | Epoch:0 | Val Acc: 0.1591
 Best site-Black                     | Epoch:0 | Val Acc: 0.2344
 Best site-Black                     | Epoch:0 | Val Acc: 0.2316
 Best site-Black                     | Epoch:0 | Val Acc: 0.2143
 Best site-Black                     | Epoch:0 | Val Acc: 0.2476
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3875
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4322
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3851
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2353
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2119
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.3237
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.2650
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_7/CoCoOP...
============ Train epoch 1 ============
 Site-White                    | Train Loss: 1.6665 | Train Acc: 0.3889
 Site-White                    | Train Loss: 1.9258 | Train Acc: 0.3462
 Site-White                    | Train Loss: 1.8509 | Train Acc: 0.2821
 Site-White                    | Train Loss: 1.7663 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.7382 | Train Acc: 0.3529
 Site-White                    | Train Loss: 1.7714 | Train Acc: 0.3760
 Site-White                    | Train Loss: 1.7976 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.8550 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.8067 | Train Acc: 0.3426
 Site-White                    | Train Loss: 1.7866 | Train Acc: 0.3390
 Site-Latino_Hispanic          | Train Loss: 1.9387 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9241 | Train Acc: 0.2833
 Site-Latino_Hispanic          | Train Loss: 1.9248 | Train Acc: 0.2584
 Site-Latino_Hispanic          | Train Loss: 2.0508 | Train Acc: 0.2748
 Site-Latino_Hispanic          | Train Loss: 1.9716 | Train Acc: 0.2552
 Site-Latino_Hispanic          | Train Loss: 1.9000 | Train Acc: 0.2862
 Site-Latino_Hispanic          | Train Loss: 1.9447 | Train Acc: 0.2596
 Site-Black                    | Train Loss: 1.9173 | Train Acc: 0.1667
 Site-Black                    | Train Loss: 2.0081 | Train Acc: 0.2474
 Site-Black                    | Train Loss: 2.0304 | Train Acc: 0.2098
 Site-Black                    | Train Loss: 1.9044 | Train Acc: 0.2619
 Site-Black                    | Train Loss: 1.9739 | Train Acc: 0.2298
 Site-East_Asian               | Train Loss: 1.7756 | Train Acc: 0.4132
 Site-East_Asian               | Train Loss: 1.8195 | Train Acc: 0.3764
 Site-East_Asian               | Train Loss: 1.7718 | Train Acc: 0.3855
 Site-Indian                   | Train Loss: 2.0669 | Train Acc: 0.2403
 Site-Indian                   | Train Loss: 2.0986 | Train Acc: 0.2291
 Site-Southeast_Asian          | Train Loss: 1.8742 | Train Acc: 0.3089
 Site-Middle_Eastern           | Train Loss: 1.9755 | Train Acc: 0.2330
 Site-White                         | Val  Loss: 2.3126 | Val  Acc: 0.0833
 Site-White                         | Val  Loss: 1.5976 | Val  Acc: 0.4706
 Site-White                         | Val  Loss: 1.6184 | Val  Acc: 0.5385
 Site-White                         | Val  Loss: 1.7445 | Val  Acc: 0.4474
 Site-White                         | Val  Loss: 1.7283 | Val  Acc: 0.3750
 Site-White                         | Val  Loss: 1.7937 | Val  Acc: 0.3494
