===2023-06-05 18:35:14===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 2
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
cnt=[10, 1, 3, 5, 3, 5, 2, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 2.1592 | Train Acc: 0.2778
 Site-White                    | Train Loss: 2.1412 | Train Acc: 0.3077
 Site-White                    | Train Loss: 2.1291 | Train Acc: 0.2051
 Site-White                    | Train Loss: 2.1278 | Train Acc: 0.2807
 Site-White                    | Train Loss: 2.1506 | Train Acc: 0.2235
 Site-White                    | Train Loss: 2.1382 | Train Acc: 0.2480
 Site-White                    | Train Loss: 2.1509 | Train Acc: 0.2404
 Site-White                    | Train Loss: 2.1419 | Train Acc: 0.2556
 Site-White                    | Train Loss: 2.1415 | Train Acc: 0.2821
 Site-White                    | Train Loss: 2.1390 | Train Acc: 0.2586
 Site-Latino_Hispanic          | Train Loss: 2.1797 | Train Acc: 0.2439
 Site-Latino_Hispanic          | Train Loss: 2.1449 | Train Acc: 0.2000
 Site-Latino_Hispanic          | Train Loss: 2.1652 | Train Acc: 0.1798
 Site-Latino_Hispanic          | Train Loss: 2.1498 | Train Acc: 0.2061
 Site-Latino_Hispanic          | Train Loss: 2.1532 | Train Acc: 0.2396
 Site-Latino_Hispanic          | Train Loss: 2.1549 | Train Acc: 0.2120
 Site-Latino_Hispanic          | Train Loss: 2.1533 | Train Acc: 0.2115
 Site-Black                    | Train Loss: 2.1482 | Train Acc: 0.1364
 Site-Black                    | Train Loss: 2.1384 | Train Acc: 0.1237
 Site-Black                    | Train Loss: 2.1602 | Train Acc: 0.1748
 Site-Black                    | Train Loss: 2.1768 | Train Acc: 0.1571
 Site-Black                    | Train Loss: 2.1723 | Train Acc: 0.1715
 Site-East_Asian               | Train Loss: 2.1846 | Train Acc: 0.1074
 Site-East_Asian               | Train Loss: 2.1734 | Train Acc: 0.1910
 Site-East_Asian               | Train Loss: 2.1724 | Train Acc: 0.1603
 Site-Indian                   | Train Loss: 2.1589 | Train Acc: 0.2078
 Site-Indian                   | Train Loss: 2.1625 | Train Acc: 0.2026
 Site-Southeast_Asian          | Train Loss: 2.1699 | Train Acc: 0.1622
 Site-Middle_Eastern           | Train Loss: 2.1498 | Train Acc: 0.2500
 Site-White                         | Val  Loss: 2.1880 | Val  Acc: 0.2500
 Site-White                         | Val  Loss: 2.1590 | Val  Acc: 0.2353
 Site-White                         | Val  Loss: 2.1458 | Val  Acc: 0.3077
 Site-White                         | Val  Loss: 2.1275 | Val  Acc: 0.1579
 Site-White                         | Val  Loss: 2.1368 | Val  Acc: 0.3036
 Site-White                         | Val  Loss: 2.1412 | Val  Acc: 0.2892
 Site-White                         | Val  Loss: 2.1330 | Val  Acc: 0.2951
 Site-White                         | Val  Loss: 2.1459 | Val  Acc: 0.2167
 Site-White                         | Val  Loss: 2.1533 | Val  Acc: 0.2652
 Site-White                         | Val  Loss: 2.1544 | Val  Acc: 0.2314
 Site-Latino_Hispanic               | Val  Loss: 2.1312 | Val  Acc: 0.2593
 Site-Latino_Hispanic               | Val  Loss: 2.1643 | Val  Acc: 0.1000
 Site-Latino_Hispanic               | Val  Loss: 2.1614 | Val  Acc: 0.2373
 Site-Latino_Hispanic               | Val  Loss: 2.1577 | Val  Acc: 0.2184
 Site-Latino_Hispanic               | Val  Loss: 2.1501 | Val  Acc: 0.2656
 Site-Latino_Hispanic               | Val  Loss: 2.1478 | Val  Acc: 0.2553
 Site-Latino_Hispanic               | Val  Loss: 2.1518 | Val  Acc: 0.2419
 Site-Black                         | Val  Loss: 2.1783 | Val  Acc: 0.1136
 Site-Black                         | Val  Loss: 2.1784 | Val  Acc: 0.1250
 Site-Black                         | Val  Loss: 2.1678 | Val  Acc: 0.1895
 Site-Black                         | Val  Loss: 2.1544 | Val  Acc: 0.1500
 Site-Black                         | Val  Loss: 2.1639 | Val  Acc: 0.1311
 Site-East_Asian                    | Val  Loss: 2.1597 | Val  Acc: 0.1875
 Site-East_Asian                    | Val  Loss: 2.1634 | Val  Acc: 0.1780
 Site-East_Asian                    | Val  Loss: 2.1778 | Val  Acc: 0.1724
 Site-Indian                        | Val  Loss: 2.1731 | Val  Acc: 0.2059
 Site-Indian                        | Val  Loss: 2.1602 | Val  Acc: 0.1987
 Site-Southeast_Asian               | Val  Loss: 2.1725 | Val  Acc: 0.1792
 Site-Middle_Eastern                | Val  Loss: 2.1443 | Val  Acc: 0.2393
