===2023-05-25 01:52:52===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[2, 7, 1, 8, 9, 1, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.7050 | Train Acc: 0.3889
 Site-White                    | Train Loss: 2.0618 | Train Acc: 0.3462
 Site-White                    | Train Loss: 1.8452 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.8024 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.9581 | Train Acc: 0.3647
 Site-White                    | Train Loss: 1.8154 | Train Acc: 0.3840
 Site-White                    | Train Loss: 1.8376 | Train Acc: 0.3552
 Site-White                    | Train Loss: 1.9006 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.7922 | Train Acc: 0.3577
 Site-White                    | Train Loss: 1.8468 | Train Acc: 0.3493
 Site-Latino_Hispanic          | Train Loss: 2.0102 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9681 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 1.9136 | Train Acc: 0.2809
 Site-Latino_Hispanic          | Train Loss: 2.1040 | Train Acc: 0.2519
 Site-Latino_Hispanic          | Train Loss: 1.9984 | Train Acc: 0.2500
 Site-Latino_Hispanic          | Train Loss: 1.9660 | Train Acc: 0.2756
 Site-Latino_Hispanic          | Train Loss: 1.9767 | Train Acc: 0.2452
 Site-Black                    | Train Loss: 2.5463 | Train Acc: 0.2424
 Site-Black                    | Train Loss: 2.0275 | Train Acc: 0.2474
 Site-Black                    | Train Loss: 2.0743 | Train Acc: 0.2028
 Site-Black                    | Train Loss: 2.0421 | Train Acc: 0.2857
 Site-Black                    | Train Loss: 2.0192 | Train Acc: 0.2492
 Site-East_Asian               | Train Loss: 1.7907 | Train Acc: 0.4132
 Site-East_Asian               | Train Loss: 1.8390 | Train Acc: 0.3708
 Site-East_Asian               | Train Loss: 1.8442 | Train Acc: 0.3893
 Site-Indian                   | Train Loss: 2.1958 | Train Acc: 0.2273
 Site-Indian                   | Train Loss: 2.1415 | Train Acc: 0.2555
 Site-Southeast_Asian          | Train Loss: 2.0389 | Train Acc: 0.3089
 Site-Middle_Eastern           | Train Loss: 2.0575 | Train Acc: 0.2500
 Site-White                     (0) | Val  Loss: 2.2960 | Val  Acc: 0.0833
 Site-White                     (0) | Val  Loss: 1.5620 | Val  Acc: 0.4118
 Site-White                     (5) | Val  Loss: 1.6696 | Val  Acc: 0.5000
 Site-White                     (3) | Val  Loss: 1.8107 | Val  Acc: 0.3684
 Site-White                     (3) | Val  Loss: 1.7690 | Val  Acc: 0.3929
 Site-White                     (3) | Val  Loss: 1.8317 | Val  Acc: 0.3614
 Site-White                     (3) | Val  Loss: 1.8615 | Val  Acc: 0.3689
 Site-White                     (3) | Val  Loss: 1.8397 | Val  Acc: 0.3389
 Site-White                     (3) | Val  Loss: 1.9910 | Val  Acc: 0.3371
 Site-White                     (3) | Val  Loss: 2.0254 | Val  Acc: 0.3316
 Site-Latino_Hispanic           (2) | Val  Loss: 1.8443 | Val  Acc: 0.3333
 Site-Latino_Hispanic           (6) | Val  Loss: 1.9399 | Val  Acc: 0.3750
