===2023-06-09 12:58:15===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[2, 7, 1, 8, 9, 1, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
 Site-White                    | Train Loss: 1.7702 | Train Acc: 0.3333
 Site-White                    | Train Loss: 2.0461 | Train Acc: 0.2692
 Site-White                    | Train Loss: 1.8566 | Train Acc: 0.2821
 Site-White                    | Train Loss: 1.8497 | Train Acc: 0.2632
 Site-White                    | Train Loss: 1.9396 | Train Acc: 0.3412
 Site-White                    | Train Loss: 1.8403 | Train Acc: 0.3440
 Site-White                    | Train Loss: 1.8600 | Train Acc: 0.3443
 Site-White                    | Train Loss: 1.9208 | Train Acc: 0.2889
 Site-White                    | Train Loss: 1.8405 | Train Acc: 0.3501
 Site-White                    | Train Loss: 1.8777 | Train Acc: 0.3253
 Site-Latino_Hispanic          | Train Loss: 1.9944 | Train Acc: 0.2195
 Site-Latino_Hispanic          | Train Loss: 1.9534 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 1.9183 | Train Acc: 0.2921
 Site-Latino_Hispanic          | Train Loss: 2.0470 | Train Acc: 0.2366
 Site-Latino_Hispanic          | Train Loss: 1.9826 | Train Acc: 0.2656
 Site-Latino_Hispanic          | Train Loss: 1.9687 | Train Acc: 0.2898
 Site-Latino_Hispanic          | Train Loss: 1.9748 | Train Acc: 0.2428
 Site-Black                    | Train Loss: 2.3752 | Train Acc: 0.2424
 Site-Black                    | Train Loss: 2.0348 | Train Acc: 0.2268
 Site-Black                    | Train Loss: 2.0631 | Train Acc: 0.2028
 Site-Black                    | Train Loss: 2.0447 | Train Acc: 0.2619
 Site-Black                    | Train Loss: 2.0140 | Train Acc: 0.2330
 Site-East_Asian               | Train Loss: 1.8460 | Train Acc: 0.3554
 Site-East_Asian               | Train Loss: 1.8915 | Train Acc: 0.3090
 Site-East_Asian               | Train Loss: 1.8616 | Train Acc: 0.3550
 Site-Indian                   | Train Loss: 2.1230 | Train Acc: 0.2013
 Site-Indian                   | Train Loss: 2.0964 | Train Acc: 0.2467
 Site-Southeast_Asian          | Train Loss: 2.0203 | Train Acc: 0.2548
 Site-Middle_Eastern           | Train Loss: 2.0261 | Train Acc: 0.2727
 Site-White                     (0) | Val  Loss: 2.1284 | Val  Acc: 0.1667
 Site-White                     (0) | Val  Loss: 1.6416 | Val  Acc: 0.4118
 Site-White                     (5) | Val  Loss: 1.7664 | Val  Acc: 0.4615
 Site-White                     (3) | Val  Loss: 1.8383 | Val  Acc: 0.3947
 Site-White                     (3) | Val  Loss: 1.8182 | Val  Acc: 0.3036
 Site-White                     (3) | Val  Loss: 1.8541 | Val  Acc: 0.3253
 Site-White                     (3) | Val  Loss: 1.8859 | Val  Acc: 0.2705
 Site-White                     (3) | Val  Loss: 1.8712 | Val  Acc: 0.3389
 Site-White                     (3) | Val  Loss: 1.9781 | Val  Acc: 0.3258
 Site-White                     (3) | Val  Loss: 2.0042 | Val  Acc: 0.3136
 Site-Latino_Hispanic           (2) | Val  Loss: 1.8697 | Val  Acc: 0.2963
 Site-Latino_Hispanic           (6) | Val  Loss: 1.9856 | Val  Acc: 0.3750
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9667 | Val  Acc: 0.2712
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9412 | Val  Acc: 0.2989
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9956 | Val  Acc: 0.2969
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9615 | Val  Acc: 0.2872
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9576 | Val  Acc: 0.2599
 Site-Black                     (1) | Val  Loss: 2.0473 | Val  Acc: 0.2273
 Site-Black                     (1) | Val  Loss: 2.0487 | Val  Acc: 0.1875
 Site-Black                     (1) | Val  Loss: 2.0621 | Val  Acc: 0.2526
 Site-Black                     (1) | Val  Loss: 1.8528 | Val  Acc: 0.2714
 Site-Black                     (1) | Val  Loss: 1.9548 | Val  Acc: 0.2718
 Site-East_Asian                (4) | Val  Loss: 1.9606 | Val  Acc: 0.3500
 Site-East_Asian                (4) | Val  Loss: 1.8138 | Val  Acc: 0.3644
 Site-East_Asian                (4) | Val  Loss: 1.9057 | Val  Acc: 0.3678
 Site-Indian                    (1) | Val  Loss: 2.0935 | Val  Acc: 0.1961
 Site-Indian                    (1) | Val  Loss: 2.1170 | Val  Acc: 0.2119
 Site-Southeast_Asian           (4) | Val  Loss: 2.0519 | Val  Acc: 0.2948
 Site-Middle_Eastern            (3) | Val  Loss: 1.9738 | Val  Acc: 0.3162
Average Valid Accuracy: 0.3003
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.1667
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.4118
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.4615
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3947
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3036
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3253
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.2705
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3389
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3258
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3136
 Best site-Latino_Hispanic          (2)  | Epoch:0 | Val Acc: 0.2963
 Best site-Latino_Hispanic          (6)  | Epoch:0 | Val Acc: 0.3750
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2712
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2989
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2969
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2872
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.2599
 Best site-Black                    (1)  | Epoch:0 | Val Acc: 0.2273
 Best site-Black                    (1)  | Epoch:0 | Val Acc: 0.1875
 Best site-Black                    (1)  | Epoch:0 | Val Acc: 0.2526
 Best site-Black                    (1)  | Epoch:0 | Val Acc: 0.2714
 Best site-Black                    (1)  | Epoch:0 | Val Acc: 0.2718
 Best site-East_Asian               (4)  | Epoch:0 | Val Acc: 0.3500
 Best site-East_Asian               (4)  | Epoch:0 | Val Acc: 0.3644
 Best site-East_Asian               (4)  | Epoch:0 | Val Acc: 0.3678
 Best site-Indian                   (1)  | Epoch:0 | Val Acc: 0.1961
 Best site-Indian                   (1)  | Epoch:0 | Val Acc: 0.2119
 Best site-Southeast_Asian          (4)  | Epoch:0 | Val Acc: 0.2948
 Best site-Middle_Eastern           (3)  | Epoch:0 | Val Acc: 0.3162
 Saving the gmap checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_7_cb/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_7_cb/ccop_q=1...
============ Train epoch 1 ============
cnt=[1, 4, 3, 5, 11, 4, 1, ]
power_decay: 0.9, powerI: 0.9050, powerC: 0.0950
 Site-White                    | Train Loss: 1.6610 | Train Acc: 0.3889
 Site-White                    | Train Loss: 2.0319 | Train Acc: 0.3077
 Site-White                    | Train Loss: 1.8219 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.8295 | Train Acc: 0.3684
 Site-White                    | Train Loss: 1.8925 | Train Acc: 0.3765
 Site-White                    | Train Loss: 1.8226 | Train Acc: 0.3840
 Site-White                    | Train Loss: 1.8569 | Train Acc: 0.3497
 Site-White                    | Train Loss: 1.9043 | Train Acc: 0.3296
 Site-White                    | Train Loss: 1.8214 | Train Acc: 0.3501
 Site-White                    | Train Loss: 1.8312 | Train Acc: 0.3408
 Site-Latino_Hispanic          | Train Loss: 1.9492 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9611 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 1.8682 | Train Acc: 0.2584
 Site-Latino_Hispanic          | Train Loss: 1.9703 | Train Acc: 0.2824
 Site-Latino_Hispanic          | Train Loss: 1.9714 | Train Acc: 0.2552
 Site-Latino_Hispanic          | Train Loss: 1.9485 | Train Acc: 0.2792
 Site-Latino_Hispanic          | Train Loss: 1.9332 | Train Acc: 0.2524
 Site-Black                    | Train Loss: 2.0584 | Train Acc: 0.2121
 Site-Black                    | Train Loss: 1.9452 | Train Acc: 0.2474
 Site-Black                    | Train Loss: 2.0329 | Train Acc: 0.2238
 Site-Black                    | Train Loss: 1.9673 | Train Acc: 0.2667
 Site-Black                    | Train Loss: 1.9820 | Train Acc: 0.2362
 Site-East_Asian               | Train Loss: 1.7979 | Train Acc: 0.4132
 Site-East_Asian               | Train Loss: 1.8181 | Train Acc: 0.3820
 Site-East_Asian               | Train Loss: 1.7876 | Train Acc: 0.3893
 Site-Indian                   | Train Loss: 2.0815 | Train Acc: 0.2338
 Site-Indian                   | Train Loss: 2.0841 | Train Acc: 0.2335
 Site-Southeast_Asian          | Train Loss: 2.1673 | Train Acc: 0.3166
 Site-Middle_Eastern           | Train Loss: 2.0285 | Train Acc: 0.2386
 Site-White                     (0) | Val  Loss: 2.2190 | Val  Acc: 0.0833
 Site-White                     (1) | Val  Loss: 1.5819 | Val  Acc: 0.4118
 Site-White                     (6) | Val  Loss: 1.6713 | Val  Acc: 0.5000
 Site-White                     (5) | Val  Loss: 1.8487 | Val  Acc: 0.3684
 Site-White                     (4) | Val  Loss: 1.7533 | Val  Acc: 0.3750
 Site-White                     (4) | Val  Loss: 1.8275 | Val  Acc: 0.3614
 Site-White                     (5) | Val  Loss: 1.8571 | Val  Acc: 0.3525
 Site-White                     (5) | Val  Loss: 1.8253 | Val  Acc: 0.3444
 Site-White                     (5) | Val  Loss: 1.9851 | Val  Acc: 0.3295
 Site-White                     (4) | Val  Loss: 1.9758 | Val  Acc: 0.3470
 Site-Latino_Hispanic           (2) | Val  Loss: 1.8301 | Val  Acc: 0.3333
 Site-Latino_Hispanic           (2) | Val  Loss: 1.8840 | Val  Acc: 0.3750
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9297 | Val  Acc: 0.3220
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9291 | Val  Acc: 0.2989
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9873 | Val  Acc: 0.2422
 Site-Latino_Hispanic           (2) | Val  Loss: 1.9340 | Val  Acc: 0.2606
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9260 | Val  Acc: 0.2744
 Site-Black                     (3) | Val  Loss: 2.0404 | Val  Acc: 0.2045
 Site-Black                     (3) | Val  Loss: 1.9839 | Val  Acc: 0.2500
 Site-Black                     (3) | Val  Loss: 2.0501 | Val  Acc: 0.2211
 Site-Black                     (3) | Val  Loss: 1.8332 | Val  Acc: 0.2571
 Site-Black                     (3) | Val  Loss: 1.8874 | Val  Acc: 0.2718
 Site-East_Asian                (1) | Val  Loss: 1.8787 | Val  Acc: 0.4000
 Site-East_Asian                (1) | Val  Loss: 1.7485 | Val  Acc: 0.4068
 Site-East_Asian                (1) | Val  Loss: 1.8254 | Val  Acc: 0.3678
 Site-Indian                    (4) | Val  Loss: 2.1209 | Val  Acc: 0.2157
 Site-Indian                    (4) | Val  Loss: 2.1070 | Val  Acc: 0.2384
 Site-Southeast_Asian           (4) | Val  Loss: 2.0231 | Val  Acc: 0.3006
 Site-Middle_Eastern            (4) | Val  Loss: 1.9460 | Val  Acc: 0.2564
Average Valid Accuracy: 0.3093
 Best site-White                    (0)  | Epoch:1 | Val Acc: 0.0833
 Best site-White                    (1)  | Epoch:1 | Val Acc: 0.4118
 Best site-White                    (6)  | Epoch:1 | Val Acc: 0.5000
 Best site-White                    (5)  | Epoch:1 | Val Acc: 0.3684
 Best site-White                    (4)  | Epoch:1 | Val Acc: 0.3750
 Best site-White                    (4)  | Epoch:1 | Val Acc: 0.3614
 Best site-White                    (5)  | Epoch:1 | Val Acc: 0.3525
 Best site-White                    (5)  | Epoch:1 | Val Acc: 0.3444
 Best site-White                    (5)  | Epoch:1 | Val Acc: 0.3295
 Best site-White                    (4)  | Epoch:1 | Val Acc: 0.3470
 Best site-Latino_Hispanic          (2)  | Epoch:1 | Val Acc: 0.3333
 Best site-Latino_Hispanic          (2)  | Epoch:1 | Val Acc: 0.3750
 Best site-Latino_Hispanic          (4)  | Epoch:1 | Val Acc: 0.3220
 Best site-Latino_Hispanic          (4)  | Epoch:1 | Val Acc: 0.2989
 Best site-Latino_Hispanic          (4)  | Epoch:1 | Val Acc: 0.2422
 Best site-Latino_Hispanic          (2)  | Epoch:1 | Val Acc: 0.2606
 Best site-Latino_Hispanic          (4)  | Epoch:1 | Val Acc: 0.2744
 Best site-Black                    (3)  | Epoch:1 | Val Acc: 0.2045
 Best site-Black                    (3)  | Epoch:1 | Val Acc: 0.2500
 Best site-Black                    (3)  | Epoch:1 | Val Acc: 0.2211
 Best site-Black                    (3)  | Epoch:1 | Val Acc: 0.2571
 Best site-Black                    (3)  | Epoch:1 | Val Acc: 0.2718
 Best site-East_Asian               (1)  | Epoch:1 | Val Acc: 0.4000
 Best site-East_Asian               (1)  | Epoch:1 | Val Acc: 0.4068
 Best site-East_Asian               (1)  | Epoch:1 | Val Acc: 0.3678
 Best site-Indian                   (4)  | Epoch:1 | Val Acc: 0.2157
 Best site-Indian                   (4)  | Epoch:1 | Val Acc: 0.2384
 Best site-Southeast_Asian          (4)  | Epoch:1 | Val Acc: 0.3006
 Best site-Middle_Eastern           (4)  | Epoch:1 | Val Acc: 0.2564
