===2023-05-25 01:25:27===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
data_number=[9,13,19,29,42,62,92,136,199,293,20,30,44,66,97,142,209,33,48,71,105,155,60,89,131,77,114,130,88,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[1500,1020,693,471,320,217,147,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[1, 8, 10, 1, 1, 1, 7, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.9093 | Train Acc: 0.4444
 Site-White                    | Train Loss: 2.2120 | Train Acc: 0.2308
 Site-White                    | Train Loss: 2.0054 | Train Acc: 0.2632
 Site-White                    | Train Loss: 1.8591 | Train Acc: 0.2759
 Site-White                    | Train Loss: 1.9378 | Train Acc: 0.3095
 Site-White                    | Train Loss: 1.9839 | Train Acc: 0.3226
 Site-White                    | Train Loss: 2.0287 | Train Acc: 0.2717
 Site-White                    | Train Loss: 1.9870 | Train Acc: 0.1912
 Site-White                    | Train Loss: 2.0348 | Train Acc: 0.3015
 Site-White                    | Train Loss: 1.9659 | Train Acc: 0.2799
 Site-Latino_Hispanic          | Train Loss: 2.1058 | Train Acc: 0.1500
 Site-Latino_Hispanic          | Train Loss: 1.9769 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 1.8660 | Train Acc: 0.3636
 Site-Latino_Hispanic          | Train Loss: 1.9316 | Train Acc: 0.1667
 Site-Latino_Hispanic          | Train Loss: 1.9626 | Train Acc: 0.2474
 Site-Latino_Hispanic          | Train Loss: 1.9613 | Train Acc: 0.2887
 Site-Latino_Hispanic          | Train Loss: 1.9785 | Train Acc: 0.2105
 Site-Black                    | Train Loss: 1.9243 | Train Acc: 0.3030
 Site-Black                    | Train Loss: 2.0511 | Train Acc: 0.1875
 Site-Black                    | Train Loss: 1.8453 | Train Acc: 0.2394
 Site-Black                    | Train Loss: 2.0246 | Train Acc: 0.1905
 Site-Black                    | Train Loss: 2.0179 | Train Acc: 0.2323
