===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-0                       | Train Loss: 1.8768 | Train Acc: 0.3704
 Site-White-1                       | Train Loss: 1.7636 | Train Acc: 0.4103
 Site-White-2                       | Train Loss: 1.8789 | Train Acc: 0.3103
 Site-White-3                       | Train Loss: 1.8470 | Train Acc: 0.3023
 Site-White-4                       | Train Loss: 1.8313 | Train Acc: 0.3750
 Site-White-5                       | Train Loss: 1.8096 | Train Acc: 0.3404
 Site-White-6                       | Train Loss: 1.8485 | Train Acc: 0.3394
 Site-White-7                       | Train Loss: 1.7959 | Train Acc: 0.3661
 Site-White-8                       | Train Loss: 1.8111 | Train Acc: 0.3623
 Site-White-9                       | Train Loss: 1.7841 | Train Acc: 0.3507
 Site-Indian-0                      | Train Loss: 2.0071 | Train Acc: 0.2833
 Site-Indian-1                      | Train Loss: 2.0827 | Train Acc: 0.2584
 Site-Indian-2                      | Train Loss: 2.1698 | Train Acc: 0.2500
 Site-Indian-3                      | Train Loss: 2.1303 | Train Acc: 0.2577
 Site-Indian-4                      | Train Loss: 2.0773 | Train Acc: 0.2351
 Site-Middle_Eastern-0              | Train Loss: 1.9617 | Train Acc: 0.2383
 Site-Middle_Eastern-1              | Train Loss: 1.9494 | Train Acc: 0.2565
 Site-Black_utk-0                   | Train Loss: 1.9731 | Train Acc: 0.3148
Average Train Accuracy: 0.3123
 Site-White-0                       | Val  Loss: 2.3545 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 1.7886 | Val  Acc: 0.2000
 Site-White-2                       | Val  Loss: 1.8806 | Val  Acc: 0.3750
 Site-White-3                       | Val  Loss: 1.9559 | Val  Acc: 0.1667
 Site-White-4                       | Val  Loss: 1.6913 | Val  Acc: 0.4444
 Site-White-5                       | Val  Loss: 1.8391 | Val  Acc: 0.3462
 Site-White-6                       | Val  Loss: 1.9242 | Val  Acc: 0.2821
 Site-White-7                       | Val  Loss: 1.8773 | Val  Acc: 0.3448
 Site-White-8                       | Val  Loss: 1.9305 | Val  Acc: 0.3294
 Site-White-9                       | Val  Loss: 1.7617 | Val  Acc: 0.3200
 Site-Indian-0                      | Val  Loss: 2.7835 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.6049 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1300 | Val  Acc: 0.2778
 Site-Indian-3                      | Val  Loss: 2.1904 | Val  Acc: 0.2963
 Site-Indian-4                      | Val  Loss: 2.2238 | Val  Acc: 0.1750
 Site-Middle_Eastern-0              | Val  Loss: 2.1066 | Val  Acc: 0.2424
 Site-Middle_Eastern-1              | Val  Loss: 2.1428 | Val  Acc: 0.2041
 Site-Black_utk-0                   | Val  Loss: 1.8842 | Val  Acc: 0.2895
Average Valid Accuracy: 0.2385
 Best site-White-0                   | Epoch:0 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:0 | Val Acc: 0.2000
 Best site-White-2                   | Epoch:0 | Val Acc: 0.3750
 Best site-White-3                   | Epoch:0 | Val Acc: 0.1667
 Best site-White-4                   | Epoch:0 | Val Acc: 0.4444
 Best site-White-5                   | Epoch:0 | Val Acc: 0.3462
 Best site-White-6                   | Epoch:0 | Val Acc: 0.2821
 Best site-White-7                   | Epoch:0 | Val Acc: 0.3448
 Best site-White-8                   | Epoch:0 | Val Acc: 0.3294
 Best site-White-9                   | Epoch:0 | Val Acc: 0.3200
 Best site-Indian-0                  | Epoch:0 | Val Acc: 0.0000
 Best site-Indian-1                  | Epoch:0 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:0 | Val Acc: 0.2778
 Best site-Indian-3                  | Epoch:0 | Val Acc: 0.2963
 Best site-Indian-4                  | Epoch:0 | Val Acc: 0.1750
 Best site-Middle_Eastern-0          | Epoch:0 | Val Acc: 0.2424
 Best site-Middle_Eastern-1          | Epoch:0 | Val Acc: 0.2041
 Best site-Black_utk-0               | Epoch:0 | Val Acc: 0.2895
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/CoCoOP...
============ Train epoch 1 ============
 Site-White-0                       | Train Loss: 1.8203 | Train Acc: 0.3333
 Site-White-1                       | Train Loss: 1.7240 | Train Acc: 0.4359
 Site-White-2                       | Train Loss: 1.8338 | Train Acc: 0.2586
 Site-White-3                       | Train Loss: 1.6751 | Train Acc: 0.3372
 Site-White-4                       | Train Loss: 1.8014 | Train Acc: 0.3203
 Site-White-5                       | Train Loss: 1.7901 | Train Acc: 0.3245
 Site-White-6                       | Train Loss: 1.7957 | Train Acc: 0.3430
 Site-White-7                       | Train Loss: 1.7546 | Train Acc: 0.3956
 Site-White-8                       | Train Loss: 1.7512 | Train Acc: 0.3689
 Site-White-9                       | Train Loss: 1.7353 | Train Acc: 0.3485
 Site-Indian-0                      | Train Loss: 1.9966 | Train Acc: 0.2833
 Site-Indian-1                      | Train Loss: 2.1308 | Train Acc: 0.2697
 Site-Indian-2                      | Train Loss: 1.8229 | Train Acc: 0.2500
 Site-Indian-3                      | Train Loss: 1.8283 | Train Acc: 0.2732
 Site-Indian-4                      | Train Loss: 2.0289 | Train Acc: 0.2772
 Site-Middle_Eastern-0              | Train Loss: 1.9033 | Train Acc: 0.2809
 Site-Middle_Eastern-1              | Train Loss: 1.9248 | Train Acc: 0.2622
 Site-Black_utk-0                   | Train Loss: 1.9523 | Train Acc: 0.2889
Average Train Accuracy: 0.3140
 Site-White-0                       | Val  Loss: 2.3055 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 1.6778 | Val  Acc: 0.4000
 Site-White-2                       | Val  Loss: 1.8450 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.8840 | Val  Acc: 0.2500
 Site-White-4                       | Val  Loss: 1.6377 | Val  Acc: 0.3889
 Site-White-5                       | Val  Loss: 1.7865 | Val  Acc: 0.3077
 Site-White-6                       | Val  Loss: 1.9289 | Val  Acc: 0.3590
 Site-White-7                       | Val  Loss: 1.8763 | Val  Acc: 0.3103
 Site-White-8                       | Val  Loss: 1.8608 | Val  Acc: 0.3765
 Site-White-9                       | Val  Loss: 1.7131 | Val  Acc: 0.3040
 Site-Indian-0                      | Val  Loss: 2.8135 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.5931 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1027 | Val  Acc: 0.3333
 Site-Indian-3                      | Val  Loss: 2.1266 | Val  Acc: 0.2963
 Site-Indian-4                      | Val  Loss: 2.1508 | Val  Acc: 0.2500
 Site-Middle_Eastern-0              | Val  Loss: 2.0500 | Val  Acc: 0.2121
 Site-Middle_Eastern-1              | Val  Loss: 2.0860 | Val  Acc: 0.2857
 Site-Black_utk-0                   | Val  Loss: 1.8024 | Val  Acc: 0.3158
Average Valid Accuracy: 0.2647
 Best site-White-0                   | Epoch:1 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:1 | Val Acc: 0.4000
 Best site-White-2                   | Epoch:1 | Val Acc: 0.2500
