===2023-06-16 12:56:37===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-0                       | Train Loss: 2.1718 | Train Acc: 0.0370
 Site-White-1                       | Train Loss: 2.2060 | Train Acc: 0.0513
 Site-White-2                       | Train Loss: 2.1565 | Train Acc: 0.1379
 Site-White-3                       | Train Loss: 2.1672 | Train Acc: 0.1163
 Site-White-4                       | Train Loss: 2.1722 | Train Acc: 0.1328
 Site-White-5                       | Train Loss: 2.1782 | Train Acc: 0.1223
 Site-White-6                       | Train Loss: 2.1727 | Train Acc: 0.1300
 Site-White-7                       | Train Loss: 2.1790 | Train Acc: 0.1327
 Site-White-8                       | Train Loss: 2.1776 | Train Acc: 0.1285
 Site-White-9                       | Train Loss: 2.1701 | Train Acc: 0.1283
 Site-Indian-0                      | Train Loss: 2.2110 | Train Acc: 0.1167
 Site-Indian-1                      | Train Loss: 2.1938 | Train Acc: 0.0674
 Site-Indian-2                      | Train Loss: 2.1878 | Train Acc: 0.1439
 Site-Indian-3                      | Train Loss: 2.1668 | Train Acc: 0.1082
 Site-Indian-4                      | Train Loss: 2.2036 | Train Acc: 0.1053
 Site-Middle_Eastern-0              | Train Loss: 2.1764 | Train Acc: 0.1277
 Site-Middle_Eastern-1              | Train Loss: 2.1738 | Train Acc: 0.1383
 Site-Black_utk-0                   | Train Loss: 2.1955 | Train Acc: 0.0778
Average Train Accuracy: 0.1112
 Site-White-0                       | Val  Loss: 2.1103 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 2.1683 | Val  Acc: 0.2000
 Site-White-2                       | Val  Loss: 2.1566 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 2.1407 | Val  Acc: 0.3333
 Site-White-4                       | Val  Loss: 2.1666 | Val  Acc: 0.1111
 Site-White-5                       | Val  Loss: 2.2050 | Val  Acc: 0.0769
 Site-White-6                       | Val  Loss: 2.1830 | Val  Acc: 0.1538
 Site-White-7                       | Val  Loss: 2.1751 | Val  Acc: 0.1724
 Site-White-8                       | Val  Loss: 2.1708 | Val  Acc: 0.1176
 Site-White-9                       | Val  Loss: 2.1692 | Val  Acc: 0.1600
 Site-Indian-0                      | Val  Loss: 2.2536 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.1928 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1913 | Val  Acc: 0.1667
 Site-Indian-3                      | Val  Loss: 2.2012 | Val  Acc: 0.1481
 Site-Indian-4                      | Val  Loss: 2.1955 | Val  Acc: 0.1000
 Site-Middle_Eastern-0              | Val  Loss: 2.1808 | Val  Acc: 0.2121
 Site-Middle_Eastern-1              | Val  Loss: 2.2215 | Val  Acc: 0.0612
 Site-Black_utk-0                   | Val  Loss: 2.1982 | Val  Acc: 0.1842
Average Valid Accuracy: 0.1614
 Best site-White-0                   | Epoch:0 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:0 | Val Acc: 0.2000
 Best site-White-2                   | Epoch:0 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:0 | Val Acc: 0.3333
 Best site-White-4                   | Epoch:0 | Val Acc: 0.1111
 Best site-White-5                   | Epoch:0 | Val Acc: 0.0769
 Best site-White-6                   | Epoch:0 | Val Acc: 0.1538
 Best site-White-7                   | Epoch:0 | Val Acc: 0.1724
 Best site-White-8                   | Epoch:0 | Val Acc: 0.1176
 Best site-White-9                   | Epoch:0 | Val Acc: 0.1600
 Best site-Indian-0                  | Epoch:0 | Val Acc: 0.1250
 Best site-Indian-1                  | Epoch:0 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:0 | Val Acc: 0.1667
 Best site-Indian-3                  | Epoch:0 | Val Acc: 0.1481
 Best site-Indian-4                  | Epoch:0 | Val Acc: 0.1000
 Best site-Middle_Eastern-0          | Epoch:0 | Val Acc: 0.2121
 Best site-Middle_Eastern-1          | Epoch:0 | Val Acc: 0.0612
 Best site-Black_utk-0               | Epoch:0 | Val Acc: 0.1842
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/fedavg...
============ Train epoch 1 ============
 Site-White-0                       | Train Loss: 2.1165 | Train Acc: 0.2593
 Site-White-1                       | Train Loss: 2.1402 | Train Acc: 0.2051
 Site-White-2                       | Train Loss: 2.1035 | Train Acc: 0.2931
 Site-White-3                       | Train Loss: 2.1107 | Train Acc: 0.2907
 Site-White-4                       | Train Loss: 2.1123 | Train Acc: 0.2422
 Site-White-5                       | Train Loss: 2.1131 | Train Acc: 0.2340
 Site-White-6                       | Train Loss: 2.1072 | Train Acc: 0.2310
 Site-White-7                       | Train Loss: 2.1210 | Train Acc: 0.2776
 Site-White-8                       | Train Loss: 2.1104 | Train Acc: 0.2755
 Site-White-9                       | Train Loss: 2.1058 | Train Acc: 0.2815
 Site-Indian-0                      | Train Loss: 2.1736 | Train Acc: 0.1833
 Site-Indian-1                      | Train Loss: 2.1658 | Train Acc: 0.2360
 Site-Indian-2                      | Train Loss: 2.1760 | Train Acc: 0.2197
 Site-Indian-3                      | Train Loss: 2.1496 | Train Acc: 0.2062
 Site-Indian-4                      | Train Loss: 2.1646 | Train Acc: 0.1930
 Site-Middle_Eastern-0              | Train Loss: 2.1315 | Train Acc: 0.1957
 Site-Middle_Eastern-1              | Train Loss: 2.1316 | Train Acc: 0.2507
 Site-Black_utk-0                   | Train Loss: 2.1747 | Train Acc: 0.1370
Average Train Accuracy: 0.2340
 Site-White-0                       | Val  Loss: 2.0734 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 2.0625 | Val  Acc: 0.6000
 Site-White-2                       | Val  Loss: 2.1172 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 2.1077 | Val  Acc: 0.2500
 Site-White-4                       | Val  Loss: 2.1009 | Val  Acc: 0.1111
 Site-White-5                       | Val  Loss: 2.1356 | Val  Acc: 0.1154
 Site-White-6                       | Val  Loss: 2.1272 | Val  Acc: 0.1538
