===2023-06-16 15:02:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
denominator: 40193.75
 Site-White-0                       | Train Loss: 2.1974 | Train Acc: 0.0741
 Site-White-1                       | Train Loss: 2.2394 | Train Acc: 0.0256
 Site-White-2                       | Train Loss: 2.1846 | Train Acc: 0.1379
 Site-White-3                       | Train Loss: 2.1997 | Train Acc: 0.1047
 Site-White-4                       | Train Loss: 2.2041 | Train Acc: 0.0781
 Site-White-5                       | Train Loss: 2.2091 | Train Acc: 0.0745
 Site-White-6                       | Train Loss: 2.2039 | Train Acc: 0.0866
 Site-White-7                       | Train Loss: 2.2112 | Train Acc: 0.0983
 Site-White-8                       | Train Loss: 2.2088 | Train Acc: 0.0768
 Site-White-9                       | Train Loss: 2.2020 | Train Acc: 0.0851
 Site-Indian-0                      | Train Loss: 2.2320 | Train Acc: 0.1167
 Site-Indian-1                      | Train Loss: 2.2135 | Train Acc: 0.0449
 Site-Indian-2                      | Train Loss: 2.2128 | Train Acc: 0.0758
 Site-Indian-3                      | Train Loss: 2.1846 | Train Acc: 0.0928
 Site-Indian-4                      | Train Loss: 2.2230 | Train Acc: 0.0667
 Site-Middle_Eastern-0              | Train Loss: 2.1999 | Train Acc: 0.0851
 Site-Middle_Eastern-1              | Train Loss: 2.1972 | Train Acc: 0.0922
 Site-Black_utk-0                   | Train Loss: 2.2103 | Train Acc: 0.0741
Average Train Accuracy: 0.0828
 Site-White-0                       | Val  Loss: 2.1193 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 2.2051 | Val  Acc: 0.0000
 Site-White-2                       | Val  Loss: 2.1858 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 2.1608 | Val  Acc: 0.2500
 Site-White-4                       | Val  Loss: 2.2071 | Val  Acc: 0.0556
 Site-White-5                       | Val  Loss: 2.2315 | Val  Acc: 0.0385
 Site-White-6                       | Val  Loss: 2.2113 | Val  Acc: 0.0256
 Site-White-7                       | Val  Loss: 2.2025 | Val  Acc: 0.1379
 Site-White-8                       | Val  Loss: 2.1956 | Val  Acc: 0.0941
 Site-White-9                       | Val  Loss: 2.2032 | Val  Acc: 0.1040
 Site-Indian-0                      | Val  Loss: 2.2487 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.1903 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.2095 | Val  Acc: 0.1667
 Site-Indian-3                      | Val  Loss: 2.2194 | Val  Acc: 0.0741
 Site-Indian-4                      | Val  Loss: 2.2074 | Val  Acc: 0.0500
 Site-Middle_Eastern-0              | Val  Loss: 2.2022 | Val  Acc: 0.2121
 Site-Middle_Eastern-1              | Val  Loss: 2.2378 | Val  Acc: 0.0408
