===2023-08-04 11:59:30===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 3.3592 | Train Acc: 0.1786
 Site-amazon                        | Train Loss: 3.3026 | Train Acc: 0.4865
 Site-amazon                        | Train Loss: 3.3432 | Train Acc: 0.2340
 Site-amazon                        | Train Loss: 3.3382 | Train Acc: 0.1639
 Site-amazon                        | Train Loss: 3.3402 | Train Acc: 0.2152
 Site-amazon                        | Train Loss: 3.3348 | Train Acc: 0.2524
 Site-amazon                        | Train Loss: 3.3824 | Train Acc: 0.2481
 Site-amazon                        | Train Loss: 3.3351 | Train Acc: 0.1744
 Site-amazon                        | Train Loss: 3.3431 | Train Acc: 0.1937
 Site-amazon                        | Train Loss: 3.3355 | Train Acc: 0.2474
 Site-webcam                        | Train Loss: 3.2970 | Train Acc: 0.2917
 Site-webcam                        | Train Loss: 3.3331 | Train Acc: 0.1351
 Site-webcam                        | Train Loss: 3.3327 | Train Acc: 0.2364
 Site-webcam                        | Train Loss: 3.3662 | Train Acc: 0.1928
 Site-webcam                        | Train Loss: 3.3399 | Train Acc: 0.2339
 Site-dslr                          | Train Loss: 3.3478 | Train Acc: 0.1200
 Site-dslr                          | Train Loss: 3.3377 | Train Acc: 0.1500
 Site-synthetic                     | Train Loss: 3.3937 | Train Acc: 0.1594
Average Train Accuracy: 0.2174
 Site-amazon                        | Val  Loss: 3.3119 | Val  Acc: 0.3158
 Site-amazon                        | Val  Loss: 3.3290 | Val  Acc: 0.3750
 Site-amazon                        | Val  Loss: 3.3541 | Val  Acc: 0.1935
 Site-amazon                        | Val  Loss: 3.3633 | Val  Acc: 0.1951
 Site-amazon                        | Val  Loss: 3.3346 | Val  Acc: 0.2642
 Site-amazon                        | Val  Loss: 3.3248 | Val  Acc: 0.3088
 Site-amazon                        | Val  Loss: 3.3337 | Val  Acc: 0.2045
 Site-amazon                        | Val  Loss: 3.3344 | Val  Acc: 0.2544
 Site-amazon                        | Val  Loss: 3.3295 | Val  Acc: 0.2973
 Site-amazon                        | Val  Loss: 3.3405 | Val  Acc: 0.2356
 Site-webcam                        | Val  Loss: 3.2918 | Val  Acc: 0.3125
 Site-webcam                        | Val  Loss: 3.2834 | Val  Acc: 0.3333
 Site-webcam                        | Val  Loss: 3.3435 | Val  Acc: 0.2432
 Site-webcam                        | Val  Loss: 3.3430 | Val  Acc: 0.1273
 Site-webcam                        | Val  Loss: 3.3463 | Val  Acc: 0.1829
 Site-dslr                          | Val  Loss: 3.3759 | Val  Acc: 0.0606
 Site-dslr                          | Val  Loss: 3.3577 | Val  Acc: 0.1818
 Site-synthetic                     | Val  Loss: 3.4295 | Val  Acc: 0.0870
Average Valid Accuracy: 0.2318
 Best site-amazon                    | Epoch:0 | Val Acc: 0.3158
 Best site-amazon                    | Epoch:0 | Val Acc: 0.3750
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1935
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1951
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2642
 Best site-amazon                    | Epoch:0 | Val Acc: 0.3088
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2045
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2544
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2973
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2356
 Best site-webcam                    | Epoch:0 | Val Acc: 0.3125
 Best site-webcam                    | Epoch:0 | Val Acc: 0.3333
 Best site-webcam                    | Epoch:0 | Val Acc: 0.2432
 Best site-webcam                    | Epoch:0 | Val Acc: 0.1273
 Best site-webcam                    | Epoch:0 | Val Acc: 0.1829
