===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 3.3934 | Train Acc: 0.1429
 Site-amazon                        | Train Loss: 3.3424 | Train Acc: 0.2973
 Site-amazon                        | Train Loss: 3.3431 | Train Acc: 0.1702
 Site-amazon                        | Train Loss: 3.3286 | Train Acc: 0.2623
 Site-amazon                        | Train Loss: 3.3396 | Train Acc: 0.2278
 Site-amazon                        | Train Loss: 3.3461 | Train Acc: 0.2427
 Site-amazon                        | Train Loss: 3.3314 | Train Acc: 0.2105
 Site-amazon                        | Train Loss: 3.3338 | Train Acc: 0.2209
 Site-amazon                        | Train Loss: 3.3369 | Train Acc: 0.2252
 Site-amazon                        | Train Loss: 3.3412 | Train Acc: 0.2056
 Site-webcam                        | Train Loss: 3.3720 | Train Acc: 0.1667
 Site-webcam                        | Train Loss: 3.3917 | Train Acc: 0.1081
 Site-webcam                        | Train Loss: 3.3531 | Train Acc: 0.2000
 Site-webcam                        | Train Loss: 3.3456 | Train Acc: 0.2892
 Site-webcam                        | Train Loss: 3.3635 | Train Acc: 0.1532
 Site-dslr                          | Train Loss: 3.3654 | Train Acc: 0.1200
 Site-dslr                          | Train Loss: 3.3461 | Train Acc: 0.2300
 Site-synthetic                     | Train Loss: 3.3993 | Train Acc: 0.0870
Average Train Accuracy: 0.1978
 Site-amazon                        | Val  Loss: 3.3338 | Val  Acc: 0.3158
 Site-amazon                        | Val  Loss: 3.3208 | Val  Acc: 0.2500
 Site-amazon                        | Val  Loss: 3.3358 | Val  Acc: 0.2258
 Site-amazon                        | Val  Loss: 3.3405 | Val  Acc: 0.1707
 Site-amazon                        | Val  Loss: 3.3619 | Val  Acc: 0.1509
 Site-amazon                        | Val  Loss: 3.3060 | Val  Acc: 0.2059
 Site-amazon                        | Val  Loss: 3.3384 | Val  Acc: 0.2159
 Site-amazon                        | Val  Loss: 3.3519 | Val  Acc: 0.1930
 Site-amazon                        | Val  Loss: 3.3557 | Val  Acc: 0.1486
 Site-amazon                        | Val  Loss: 3.3454 | Val  Acc: 0.2147
 Site-webcam                        | Val  Loss: 3.3544 | Val  Acc: 0.1875
 Site-webcam                        | Val  Loss: 3.3762 | Val  Acc: 0.0417
 Site-webcam                        | Val  Loss: 3.3435 | Val  Acc: 0.2432
 Site-webcam                        | Val  Loss: 3.3606 | Val  Acc: 0.1818
 Site-webcam                        | Val  Loss: 3.3465 | Val  Acc: 0.2195
 Site-dslr                          | Val  Loss: 3.3369 | Val  Acc: 0.2727
 Site-dslr                          | Val  Loss: 3.3492 | Val  Acc: 0.1667
 Site-synthetic                     | Val  Loss: 3.3645 | Val  Acc: 0.0870
