===2023-08-04 10:40:24===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 2.5705 | Train Acc: 0.7857
 Site-amazon                        | Train Loss: 2.5277 | Train Acc: 0.8919
 Site-amazon                        | Train Loss: 2.4399 | Train Acc: 0.9149
 Site-amazon                        | Train Loss: 2.4840 | Train Acc: 0.8852
 Site-amazon                        | Train Loss: 2.4561 | Train Acc: 0.8608
 Site-amazon                        | Train Loss: 2.4524 | Train Acc: 0.9126
 Site-amazon                        | Train Loss: 2.4313 | Train Acc: 0.9098
 Site-amazon                        | Train Loss: 2.4763 | Train Acc: 0.8779
 Site-amazon                        | Train Loss: 2.4800 | Train Acc: 0.8784
 Site-amazon                        | Train Loss: 2.4886 | Train Acc: 0.9024
 Site-webcam                        | Train Loss: 2.6198 | Train Acc: 0.7500
 Site-webcam                        | Train Loss: 2.6820 | Train Acc: 0.7027
 Site-webcam                        | Train Loss: 2.5637 | Train Acc: 0.8727
 Site-webcam                        | Train Loss: 2.5575 | Train Acc: 0.8434
 Site-webcam                        | Train Loss: 2.6227 | Train Acc: 0.8468
 Site-dslr                          | Train Loss: 2.7094 | Train Acc: 0.8200
 Site-dslr                          | Train Loss: 2.5803 | Train Acc: 0.8400
 Site-synthetic                     | Train Loss: 3.1129 | Train Acc: 0.3768
Average Train Accuracy: 0.8262
 Site-amazon                        | Val  Loss: 2.3816 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 2.4451 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 2.5311 | Val  Acc: 0.8387
 Site-amazon                        | Val  Loss: 2.5586 | Val  Acc: 0.7805
 Site-amazon                        | Val  Loss: 2.4935 | Val  Acc: 0.8868
 Site-amazon                        | Val  Loss: 2.4176 | Val  Acc: 0.9265
 Site-amazon                        | Val  Loss: 2.4651 | Val  Acc: 0.9205
 Site-amazon                        | Val  Loss: 2.4961 | Val  Acc: 0.8246
 Site-amazon                        | Val  Loss: 2.4462 | Val  Acc: 0.8581
 Site-amazon                        | Val  Loss: 2.4680 | Val  Acc: 0.9005
 Site-webcam                        | Val  Loss: 2.6420 | Val  Acc: 0.8125
 Site-webcam                        | Val  Loss: 2.6196 | Val  Acc: 0.9167
 Site-webcam                        | Val  Loss: 2.5756 | Val  Acc: 0.9189
 Site-webcam                        | Val  Loss: 2.5915 | Val  Acc: 0.8545
