===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 2.6404 | Train Acc: 0.8500
 Site-amazon                        | Train Loss: 2.6997 | Train Acc: 0.8077
 Site-amazon                        | Train Loss: 2.7784 | Train Acc: 0.7941
 Site-amazon                        | Train Loss: 2.7036 | Train Acc: 0.7727
 Site-amazon                        | Train Loss: 2.7433 | Train Acc: 0.8596
 Site-amazon                        | Train Loss: 2.7714 | Train Acc: 0.7397
 Site-amazon                        | Train Loss: 2.6936 | Train Acc: 0.8000
 Site-amazon                        | Train Loss: 2.7056 | Train Acc: 0.8049
 Site-amazon                        | Train Loss: 2.6625 | Train Acc: 0.8868
 Site-amazon                        | Train Loss: 2.6260 | Train Acc: 0.8878
 Site-synthetic                     | Train Loss: 3.0691 | Train Acc: 0.3333
 Site-synthetic                     | Train Loss: 3.0438 | Train Acc: 0.4375
 Site-synthetic                     | Train Loss: 3.1153 | Train Acc: 0.2456
 Site-synthetic                     | Train Loss: 3.0418 | Train Acc: 0.3267
 Site-synthetic                     | Train Loss: 2.9851 | Train Acc: 0.4056
 Site-dslr                          | Train Loss: 2.7486 | Train Acc: 0.8462
 Site-dslr                          | Train Loss: 2.7613 | Train Acc: 0.8321
 Site-webcam                        | Train Loss: 2.5166 | Train Acc: 0.7463
Average Train Accuracy: 0.6876
 Site-amazon                        | Val  Loss: 2.6586 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 2.6634 | Val  Acc: 0.8824
 Site-amazon                        | Val  Loss: 2.6588 | Val  Acc: 0.8182
 Site-amazon                        | Val  Loss: 2.6583 | Val  Acc: 0.8621
 Site-amazon                        | Val  Loss: 2.6959 | Val  Acc: 0.8947
 Site-amazon                        | Val  Loss: 2.7153 | Val  Acc: 0.8367
 Site-amazon                        | Val  Loss: 2.6549 | Val  Acc: 0.8889
 Site-amazon                        | Val  Loss: 2.6827 | Val  Acc: 0.8537
 Site-amazon                        | Val  Loss: 2.7058 | Val  Acc: 0.7830
 Site-amazon                        | Val  Loss: 2.7367 | Val  Acc: 0.8102
 Site-synthetic                     | Val  Loss: 3.0787 | Val  Acc: 0.3333
 Site-synthetic                     | Val  Loss: 3.0863 | Val  Acc: 0.1905
 Site-synthetic                     | Val  Loss: 2.9870 | Val  Acc: 0.4595
 Site-synthetic                     | Val  Loss: 3.0517 | Val  Acc: 0.3881
 Site-synthetic                     | Val  Loss: 3.0256 | Val  Acc: 0.4083
 Site-dslr                          | Val  Loss: 2.8055 | Val  Acc: 0.6250
 Site-dslr                          | Val  Loss: 2.8111 | Val  Acc: 0.8182
 Site-webcam                        | Val  Loss: 2.8429 | Val  Acc: 0.7955
Average Valid Accuracy: 0.7027
 Best site-amazon                    | Epoch:0 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8824
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8182
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8621
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8947
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8367
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8889
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8537
 Best site-amazon                    | Epoch:0 | Val Acc: 0.7830
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8102
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.3333
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.1905
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.4595
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.3881
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.4083
 Best site-dslr                      | Epoch:0 | Val Acc: 0.6250
 Best site-dslr                      | Epoch:0 | Val Acc: 0.8182
 Best site-webcam                    | Epoch:0 | Val Acc: 0.7955
