===2023-08-04 15:28:11===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 3.3846 | Train Acc: 0.0714
 Site-amazon                        | Train Loss: 3.3414 | Train Acc: 0.1622
 Site-amazon                        | Train Loss: 3.3392 | Train Acc: 0.1915
 Site-amazon                        | Train Loss: 3.3383 | Train Acc: 0.1967
 Site-amazon                        | Train Loss: 3.3616 | Train Acc: 0.2278
 Site-amazon                        | Train Loss: 3.3476 | Train Acc: 0.1845
 Site-amazon                        | Train Loss: 3.3625 | Train Acc: 0.1654
 Site-amazon                        | Train Loss: 3.3366 | Train Acc: 0.2035
 Site-amazon                        | Train Loss: 3.3345 | Train Acc: 0.1712
 Site-amazon                        | Train Loss: 3.3476 | Train Acc: 0.1812
 Site-webcam                        | Train Loss: 3.3700 | Train Acc: 0.1667
 Site-webcam                        | Train Loss: 3.3879 | Train Acc: 0.1351
 Site-webcam                        | Train Loss: 3.3583 | Train Acc: 0.2182
 Site-webcam                        | Train Loss: 3.3409 | Train Acc: 0.2289
 Site-webcam                        | Train Loss: 3.3745 | Train Acc: 0.1290
 Site-dslr                          | Train Loss: 3.3700 | Train Acc: 0.1000
 Site-dslr                          | Train Loss: 3.3512 | Train Acc: 0.1800
 Site-synthetic                     | Train Loss: 3.4115 | Train Acc: 0.0290
Average Train Accuracy: 0.1635
 Site-amazon                        | Val  Loss: 3.3093 | Val  Acc: 0.4211
 Site-amazon                        | Val  Loss: 3.3416 | Val  Acc: 0.1250
 Site-amazon                        | Val  Loss: 3.3411 | Val  Acc: 0.1290
 Site-amazon                        | Val  Loss: 3.3448 | Val  Acc: 0.1220
 Site-amazon                        | Val  Loss: 3.3584 | Val  Acc: 0.1132
 Site-amazon                        | Val  Loss: 3.3200 | Val  Acc: 0.1176
 Site-amazon                        | Val  Loss: 3.3405 | Val  Acc: 0.2273
 Site-amazon                        | Val  Loss: 3.3470 | Val  Acc: 0.2281
 Site-amazon                        | Val  Loss: 3.3590 | Val  Acc: 0.1419
 Site-amazon                        | Val  Loss: 3.3490 | Val  Acc: 0.2199
 Site-webcam                        | Val  Loss: 3.3529 | Val  Acc: 0.1250
 Site-webcam                        | Val  Loss: 3.3838 | Val  Acc: 0.0833
 Site-webcam                        | Val  Loss: 3.3602 | Val  Acc: 0.1622
 Site-webcam                        | Val  Loss: 3.3673 | Val  Acc: 0.1455
 Site-webcam                        | Val  Loss: 3.3579 | Val  Acc: 0.2439
 Site-dslr                          | Val  Loss: 3.3583 | Val  Acc: 0.2121
 Site-dslr                          | Val  Loss: 3.3640 | Val  Acc: 0.1970
 Site-synthetic                     | Val  Loss: 3.3564 | Val  Acc: 0.0870
Average Valid Accuracy: 0.1723
 Best site-amazon                    | Epoch:0 | Val Acc: 0.4211
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1250
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1290
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1220
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1132
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1176
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2273
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2281
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1419
 Best site-amazon                    | Epoch:0 | Val Acc: 0.2199
 Best site-webcam                    | Epoch:0 | Val Acc: 0.1250
 Best site-webcam                    | Epoch:0 | Val Acc: 0.0833
 Best site-webcam                    | Epoch:0 | Val Acc: 0.1622
 Best site-webcam                    | Epoch:0 | Val Acc: 0.1455
 Best site-webcam                    | Epoch:0 | Val Acc: 0.2439
 Best site-dslr                      | Epoch:0 | Val Acc: 0.2121
 Best site-dslr                      | Epoch:0 | Val Acc: 0.1970
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.0870
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/term...
============ Train epoch 1 ============
 Site-amazon                        | Train Loss: 3.2910 | Train Acc: 0.4286
 Site-amazon                        | Train Loss: 3.2191 | Train Acc: 0.5405
 Site-amazon                        | Train Loss: 3.2403 | Train Acc: 0.4894
 Site-amazon                        | Train Loss: 3.2303 | Train Acc: 0.5410
 Site-amazon                        | Train Loss: 3.2533 | Train Acc: 0.4684
 Site-amazon                        | Train Loss: 3.2380 | Train Acc: 0.4660
 Site-amazon                        | Train Loss: 3.2770 | Train Acc: 0.4286
 Site-amazon                        | Train Loss: 3.2439 | Train Acc: 0.4593
 Site-amazon                        | Train Loss: 3.2413 | Train Acc: 0.4910
 Site-amazon                        | Train Loss: 3.2491 | Train Acc: 0.4599
 Site-webcam                        | Train Loss: 3.2797 | Train Acc: 0.4583
 Site-webcam                        | Train Loss: 3.3031 | Train Acc: 0.2703
 Site-webcam                        | Train Loss: 3.2702 | Train Acc: 0.4727
 Site-webcam                        | Train Loss: 3.2509 | Train Acc: 0.4699
 Site-webcam                        | Train Loss: 3.2731 | Train Acc: 0.4032
 Site-dslr                          | Train Loss: 3.2781 | Train Acc: 0.3400
 Site-dslr                          | Train Loss: 3.2589 | Train Acc: 0.4000
 Site-synthetic                     | Train Loss: 3.3437 | Train Acc: 0.1014
Average Train Accuracy: 0.4271
 Site-amazon                        | Val  Loss: 3.1972 | Val  Acc: 0.6316
 Site-amazon                        | Val  Loss: 3.2265 | Val  Acc: 0.5833
 Site-amazon                        | Val  Loss: 3.2403 | Val  Acc: 0.3871
 Site-amazon                        | Val  Loss: 3.2556 | Val  Acc: 0.4634
 Site-amazon                        | Val  Loss: 3.2678 | Val  Acc: 0.4528
 Site-amazon                        | Val  Loss: 3.1916 | Val  Acc: 0.5294
 Site-amazon                        | Val  Loss: 3.2402 | Val  Acc: 0.5227
 Site-amazon                        | Val  Loss: 3.2461 | Val  Acc: 0.4561
 Site-amazon                        | Val  Loss: 3.2546 | Val  Acc: 0.4459
 Site-amazon                        | Val  Loss: 3.2382 | Val  Acc: 0.4660
 Site-webcam                        | Val  Loss: 3.2836 | Val  Acc: 0.2500
 Site-webcam                        | Val  Loss: 3.2745 | Val  Acc: 0.4167
 Site-webcam                        | Val  Loss: 3.2707 | Val  Acc: 0.4324
 Site-webcam                        | Val  Loss: 3.2721 | Val  Acc: 0.4000
 Site-webcam                        | Val  Loss: 3.2542 | Val  Acc: 0.5000
 Site-dslr                          | Val  Loss: 3.2505 | Val  Acc: 0.4848
 Site-dslr                          | Val  Loss: 3.3186 | Val  Acc: 0.3788
 Site-synthetic                     | Val  Loss: 3.3170 | Val  Acc: 0.1957
Average Valid Accuracy: 0.4443
 Best site-amazon                    | Epoch:1 | Val Acc: 0.6316
