===2023-08-05 14:14:16===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[25,38,56,85,127,20,33,52,83,25,43,75,34,68,26,52,60,45,
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[555,317,241,173,132,100,76,]
domain number = 7
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 1.8183 | Train Acc: 0.6000
 Site-amazon                        | Train Loss: 1.7689 | Train Acc: 0.8421
 Site-amazon                        | Train Loss: 1.7568 | Train Acc: 0.7679
 Site-amazon                        | Train Loss: 1.7052 | Train Acc: 0.8000
 Site-amazon                        | Train Loss: 1.7087 | Train Acc: 0.8268
 Site-Art                           | Train Loss: 1.8966 | Train Acc: 0.7000
 Site-Art                           | Train Loss: 1.9545 | Train Acc: 0.6667
 Site-Art                           | Train Loss: 1.9325 | Train Acc: 0.7692
 Site-Art                           | Train Loss: 1.9539 | Train Acc: 0.6627
 Site-RealWorld                     | Train Loss: 1.7927 | Train Acc: 0.8800
 Site-RealWorld                     | Train Loss: 1.7613 | Train Acc: 0.8605
 Site-RealWorld                     | Train Loss: 1.7771 | Train Acc: 0.8667
 Site-webcam                        | Train Loss: 1.6695 | Train Acc: 0.9706
 Site-webcam                        | Train Loss: 1.7307 | Train Acc: 0.8382
 Site-Clipart                       | Train Loss: 1.9092 | Train Acc: 0.6538
 Site-Clipart                       | Train Loss: 1.8436 | Train Acc: 0.7308
 Site-dslr                          | Train Loss: 1.7522 | Train Acc: 0.8333
 Site-Product                       | Train Loss: 1.7587 | Train Acc: 0.8000
Average Train Accuracy: 0.7816
 Site-amazon                        | Val  Loss: 1.7324 | Val  Acc: 0.8125
 Site-amazon                        | Val  Loss: 1.7158 | Val  Acc: 0.8000
 Site-amazon                        | Val  Loss: 1.7006 | Val  Acc: 0.8378
 Site-amazon                        | Val  Loss: 1.7439 | Val  Acc: 0.7857
 Site-amazon                        | Val  Loss: 1.7241 | Val  Acc: 0.8452
 Site-Art                           | Val  Loss: 1.8715 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 1.9259 | Val  Acc: 0.7619
 Site-Art                           | Val  Loss: 1.9995 | Val  Acc: 0.6765
 Site-Art                           | Val  Loss: 1.9414 | Val  Acc: 0.7273
 Site-RealWorld                     | Val  Loss: 1.7720 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 1.7431 | Val  Acc: 0.8621
 Site-RealWorld                     | Val  Loss: 1.7614 | Val  Acc: 0.8200
 Site-webcam                        | Val  Loss: 1.8666 | Val  Acc: 0.5652
 Site-webcam                        | Val  Loss: 1.7877 | Val  Acc: 0.7826
 Site-Clipart                       | Val  Loss: 1.8815 | Val  Acc: 0.7059
 Site-Clipart                       | Val  Loss: 1.8378 | Val  Acc: 0.7647
 Site-dslr                          | Val  Loss: 1.8060 | Val  Acc: 0.7250
 Site-Product                       | Val  Loss: 1.7289 | Val  Acc: 0.8667
Average Valid Accuracy: 0.7769
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8125
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8000
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8378
 Best site-amazon                    | Epoch:0 | Val Acc: 0.7857
 Best site-amazon                    | Epoch:0 | Val Acc: 0.8452
 Best site-Art                       | Epoch:0 | Val Acc: 0.7692
 Best site-Art                       | Epoch:0 | Val Acc: 0.7619
 Best site-Art                       | Epoch:0 | Val Acc: 0.6765
 Best site-Art                       | Epoch:0 | Val Acc: 0.7273
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8621
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8200
 Best site-webcam                    | Epoch:0 | Val Acc: 0.5652
 Best site-webcam                    | Epoch:0 | Val Acc: 0.7826
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7059
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7647
 Best site-dslr                      | Epoch:0 | Val Acc: 0.7250
 Best site-Product                   | Epoch:0 | Val Acc: 0.8667
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 1 ============
 Site-amazon                        | Train Loss: 1.4453 | Train Acc: 0.6400
 Site-amazon                        | Train Loss: 1.3200 | Train Acc: 0.8421
 Site-amazon                        | Train Loss: 1.3298 | Train Acc: 0.8393
 Site-amazon                        | Train Loss: 1.2939 | Train Acc: 0.8824
 Site-amazon                        | Train Loss: 1.2823 | Train Acc: 0.8425
 Site-Art                           | Train Loss: 1.5649 | Train Acc: 0.7500
 Site-Art                           | Train Loss: 1.6497 | Train Acc: 0.7879
 Site-Art                           | Train Loss: 1.5945 | Train Acc: 0.8462
 Site-Art                           | Train Loss: 1.6460 | Train Acc: 0.7590
 Site-RealWorld                     | Train Loss: 1.4410 | Train Acc: 0.8800
 Site-RealWorld                     | Train Loss: 1.3307 | Train Acc: 0.8605
 Site-RealWorld                     | Train Loss: 1.3562 | Train Acc: 0.8800
 Site-webcam                        | Train Loss: 1.1900 | Train Acc: 0.9412
 Site-webcam                        | Train Loss: 1.3493 | Train Acc: 0.9853
 Site-Clipart                       | Train Loss: 1.6171 | Train Acc: 0.7308
 Site-Clipart                       | Train Loss: 1.4858 | Train Acc: 0.8269
 Site-dslr                          | Train Loss: 1.3278 | Train Acc: 0.9833
 Site-Product                       | Train Loss: 1.2878 | Train Acc: 0.8667
Average Train Accuracy: 0.8413
 Site-amazon                        | Val  Loss: 1.2763 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 1.2677 | Val  Acc: 0.8400
 Site-amazon                        | Val  Loss: 1.2630 | Val  Acc: 0.8378
 Site-amazon                        | Val  Loss: 1.3107 | Val  Acc: 0.8214
 Site-amazon                        | Val  Loss: 1.2840 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.5876 | Val  Acc: 0.6923
 Site-Art                           | Val  Loss: 1.5936 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.7298 | Val  Acc: 0.7647
 Site-Art                           | Val  Loss: 1.6244 | Val  Acc: 0.8000
 Site-RealWorld                     | Val  Loss: 1.3964 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 1.2829 | Val  Acc: 0.9655
