===2023-08-06 10:31:55===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,51,67,86,111,144,17,24,33,46,64,89,124,20,31,46,69,104,32,56,97,42,84,85,58,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[986,670,456,310,211,143,97,]
domain number = 7
============ Train epoch 0 ============
 Site-RealWorld                     | Train Loss: 2.9414 | Train Acc: 0.1429
 Site-RealWorld                     | Train Loss: 2.9559 | Train Acc: 0.1111
 Site-RealWorld                     | Train Loss: 2.9950 | Train Acc: 0.0417
 Site-RealWorld                     | Train Loss: 2.9917 | Train Acc: 0.0645
 Site-RealWorld                     | Train Loss: 2.9681 | Train Acc: 0.1250
 Site-RealWorld                     | Train Loss: 2.9753 | Train Acc: 0.0392
 Site-RealWorld                     | Train Loss: 2.9804 | Train Acc: 0.0746
 Site-RealWorld                     | Train Loss: 2.9743 | Train Acc: 0.0698
 Site-RealWorld                     | Train Loss: 2.9560 | Train Acc: 0.0721
 Site-RealWorld                     | Train Loss: 2.9509 | Train Acc: 0.0903
 Site-Product                       | Train Loss: 2.9671 | Train Acc: 0.0588
 Site-Product                       | Train Loss: 2.9349 | Train Acc: 0.1250
 Site-Product                       | Train Loss: 2.9413 | Train Acc: 0.1212
 Site-Product                       | Train Loss: 2.9383 | Train Acc: 0.1522
 Site-Product                       | Train Loss: 2.9584 | Train Acc: 0.1094
 Site-Product                       | Train Loss: 2.9525 | Train Acc: 0.0899
 Site-Product                       | Train Loss: 2.9451 | Train Acc: 0.1129
 Site-amazon                        | Train Loss: 2.9745 | Train Acc: 0.1500
 Site-amazon                        | Train Loss: 2.9589 | Train Acc: 0.0968
 Site-amazon                        | Train Loss: 2.9598 | Train Acc: 0.0217
 Site-amazon                        | Train Loss: 2.9549 | Train Acc: 0.1014
 Site-amazon                        | Train Loss: 2.9688 | Train Acc: 0.1154
 Site-webcam                        | Train Loss: 2.9352 | Train Acc: 0.2188
 Site-webcam                        | Train Loss: 2.9787 | Train Acc: 0.0893
 Site-webcam                        | Train Loss: 2.9588 | Train Acc: 0.0722
 Site-Art                           | Train Loss: 2.9883 | Train Acc: 0.0476
 Site-Art                           | Train Loss: 2.9662 | Train Acc: 0.0714
 Site-Clipart                       | Train Loss: 2.9597 | Train Acc: 0.0941
 Site-dslr                          | Train Loss: 2.9441 | Train Acc: 0.1552
Average Train Accuracy: 0.0977
 Site-RealWorld                     | Val  Loss: 2.9879 | Val  Acc: 0.0000
 Site-RealWorld                     | Val  Loss: 2.9330 | Val  Acc: 0.1667
 Site-RealWorld                     | Val  Loss: 2.9607 | Val  Acc: 0.1250
 Site-RealWorld                     | Val  Loss: 2.9861 | Val  Acc: 0.0000
 Site-RealWorld                     | Val  Loss: 2.9865 | Val  Acc: 0.0385
 Site-RealWorld                     | Val  Loss: 2.9815 | Val  Acc: 0.0882
 Site-RealWorld                     | Val  Loss: 2.9525 | Val  Acc: 0.0909
 Site-RealWorld                     | Val  Loss: 2.9699 | Val  Acc: 0.0702
 Site-RealWorld                     | Val  Loss: 2.9735 | Val  Acc: 0.0405
 Site-RealWorld                     | Val  Loss: 2.9675 | Val  Acc: 0.0521
 Site-Product                       | Val  Loss: 2.9343 | Val  Acc: 0.0000
 Site-Product                       | Val  Loss: 2.9739 | Val  Acc: 0.0625
 Site-Product                       | Val  Loss: 3.0003 | Val  Acc: 0.0000
 Site-Product                       | Val  Loss: 2.9868 | Val  Acc: 0.0323
 Site-Product                       | Val  Loss: 2.9463 | Val  Acc: 0.0930
 Site-Product                       | Val  Loss: 2.9710 | Val  Acc: 0.0678
 Site-Product                       | Val  Loss: 2.9513 | Val  Acc: 0.1463
 Site-amazon                        | Val  Loss: 2.9827 | Val  Acc: 0.0000
 Site-amazon                        | Val  Loss: 2.9912 | Val  Acc: 0.0000
 Site-amazon                        | Val  Loss: 2.9634 | Val  Acc: 0.0968
 Site-amazon                        | Val  Loss: 2.9472 | Val  Acc: 0.1304
 Site-amazon                        | Val  Loss: 2.9572 | Val  Acc: 0.0580
 Site-webcam                        | Val  Loss: 2.9563 | Val  Acc: 0.0476
 Site-webcam                        | Val  Loss: 2.9663 | Val  Acc: 0.0270
 Site-webcam                        | Val  Loss: 2.9635 | Val  Acc: 0.0469
 Site-Art                           | Val  Loss: 2.9724 | Val  Acc: 0.0714
 Site-Art                           | Val  Loss: 2.9814 | Val  Acc: 0.1071
 Site-Clipart                       | Val  Loss: 2.9397 | Val  Acc: 0.1228
