===2023-08-06 11:58:56===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 20
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,51,67,86,111,144,17,24,33,46,64,89,124,20,31,46,69,104,32,56,97,42,84,85,58,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[986,670,456,310,211,143,97,]
domain number = 7
============ Train epoch 0 ============
 Site-RealWorld                     | Train Loss: 2.9538 | Train Acc: 0.0714
 Site-RealWorld                     | Train Loss: 3.0033 | Train Acc: 0.1111
 Site-RealWorld                     | Train Loss: 2.9649 | Train Acc: 0.0833
 Site-RealWorld                     | Train Loss: 2.9218 | Train Acc: 0.1613
 Site-RealWorld                     | Train Loss: 2.9437 | Train Acc: 0.1500
 Site-RealWorld                     | Train Loss: 2.9534 | Train Acc: 0.2745
 Site-RealWorld                     | Train Loss: 2.9832 | Train Acc: 0.1940
 Site-RealWorld                     | Train Loss: 2.9359 | Train Acc: 0.1860
 Site-RealWorld                     | Train Loss: 2.9473 | Train Acc: 0.1802
 Site-RealWorld                     | Train Loss: 2.9439 | Train Acc: 0.1528
 Site-Product                       | Train Loss: 2.9223 | Train Acc: 0.3529
 Site-Product                       | Train Loss: 2.9382 | Train Acc: 0.0833
 Site-Product                       | Train Loss: 2.9394 | Train Acc: 0.2121
 Site-Product                       | Train Loss: 2.9183 | Train Acc: 0.1739
 Site-Product                       | Train Loss: 2.9340 | Train Acc: 0.2969
 Site-Product                       | Train Loss: 2.9166 | Train Acc: 0.3146
 Site-Product                       | Train Loss: 2.9275 | Train Acc: 0.1774
 Site-amazon                        | Train Loss: 2.9301 | Train Acc: 0.1500
 Site-amazon                        | Train Loss: 2.9592 | Train Acc: 0.1290
 Site-amazon                        | Train Loss: 2.9332 | Train Acc: 0.2174
 Site-amazon                        | Train Loss: 2.9605 | Train Acc: 0.1739
 Site-amazon                        | Train Loss: 2.9574 | Train Acc: 0.1154
 Site-webcam                        | Train Loss: 2.9561 | Train Acc: 0.1250
 Site-webcam                        | Train Loss: 2.9285 | Train Acc: 0.2679
 Site-webcam                        | Train Loss: 2.9372 | Train Acc: 0.2680
 Site-Art                           | Train Loss: 2.9349 | Train Acc: 0.2619
 Site-Art                           | Train Loss: 2.9512 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.9440 | Train Acc: 0.1882
 Site-dslr                          | Train Loss: 2.9348 | Train Acc: 0.2241
Average Train Accuracy: 0.1884
 Site-RealWorld                     | Val  Loss: 2.9078 | Val  Acc: 0.4444
 Site-RealWorld                     | Val  Loss: 2.9137 | Val  Acc: 0.2500
 Site-RealWorld                     | Val  Loss: 2.9717 | Val  Acc: 0.1875
 Site-RealWorld                     | Val  Loss: 2.9361 | Val  Acc: 0.2000
 Site-RealWorld                     | Val  Loss: 2.9280 | Val  Acc: 0.1538
 Site-RealWorld                     | Val  Loss: 2.9301 | Val  Acc: 0.2059
 Site-RealWorld                     | Val  Loss: 2.9465 | Val  Acc: 0.0682
 Site-RealWorld                     | Val  Loss: 2.9536 | Val  Acc: 0.1754
 Site-RealWorld                     | Val  Loss: 2.9583 | Val  Acc: 0.1892
 Site-RealWorld                     | Val  Loss: 2.9405 | Val  Acc: 0.2083
