===2023-08-06 12:40:52===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 20
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[9,12,15,20,25,33,43,55,72,93,11,15,21,30,41,57,79,13,20,29,44,66,20,35,62,27,54,55,37,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[635,431,293,199,135,92,62,]
domain number = 7
============ Train epoch 0 ============
 Site-RealWorld                     | Train Loss: 2.1121 | Train Acc: 0.7778
 Site-RealWorld                     | Train Loss: 2.0606 | Train Acc: 0.9167
 Site-RealWorld                     | Train Loss: 2.0528 | Train Acc: 0.8667
 Site-RealWorld                     | Train Loss: 2.0535 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 2.0375 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 2.0327 | Train Acc: 0.8788
 Site-RealWorld                     | Train Loss: 2.0129 | Train Acc: 0.8837
 Site-RealWorld                     | Train Loss: 2.0210 | Train Acc: 0.8909
 Site-RealWorld                     | Train Loss: 2.0647 | Train Acc: 0.8750
 Site-RealWorld                     | Train Loss: 2.0038 | Train Acc: 0.9462
 Site-caltech                       | Train Loss: 2.1384 | Train Acc: 0.8182
 Site-caltech                       | Train Loss: 2.0801 | Train Acc: 0.8000
 Site-caltech                       | Train Loss: 2.0483 | Train Acc: 0.9524
 Site-caltech                       | Train Loss: 2.0774 | Train Acc: 0.8333
 Site-caltech                       | Train Loss: 2.0600 | Train Acc: 0.8293
 Site-caltech                       | Train Loss: 2.0355 | Train Acc: 0.9298
 Site-caltech                       | Train Loss: 2.0213 | Train Acc: 0.8608
 Site-Product                       | Train Loss: 1.9620 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 1.9917 | Train Acc: 0.9500
 Site-Product                       | Train Loss: 2.0962 | Train Acc: 0.7931
 Site-Product                       | Train Loss: 2.0165 | Train Acc: 0.8409
 Site-Product                       | Train Loss: 1.9317 | Train Acc: 0.9545
 Site-amazon                        | Train Loss: 1.9698 | Train Acc: 0.8500
 Site-amazon                        | Train Loss: 2.0865 | Train Acc: 0.7429
 Site-amazon                        | Train Loss: 2.0501 | Train Acc: 0.8226
 Site-webcam                        | Train Loss: 2.0132 | Train Acc: 0.9630
 Site-webcam                        | Train Loss: 2.0460 | Train Acc: 0.8333
 Site-Art                           | Train Loss: 2.1270 | Train Acc: 0.7818
 Site-Clipart                       | Train Loss: 2.1789 | Train Acc: 0.6486
Average Train Accuracy: 0.8566
 Site-RealWorld                     | Val  Loss: 1.9070 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.9109 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 2.0092 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 2.0302 | Val  Acc: 0.7692
 Site-RealWorld                     | Val  Loss: 2.1016 | Val  Acc: 0.8235
 Site-RealWorld                     | Val  Loss: 2.0133 | Val  Acc: 0.9091
 Site-RealWorld                     | Val  Loss: 2.0234 | Val  Acc: 0.8929
 Site-RealWorld                     | Val  Loss: 2.0136 | Val  Acc: 0.8919
 Site-RealWorld                     | Val  Loss: 2.0028 | Val  Acc: 0.8958
 Site-RealWorld                     | Val  Loss: 2.0473 | Val  Acc: 0.8065
 Site-caltech                       | Val  Loss: 2.0424 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 2.0580 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 2.1001 | Val  Acc: 0.7857
 Site-caltech                       | Val  Loss: 2.0911 | Val  Acc: 0.8500
 Site-caltech                       | Val  Loss: 2.0298 | Val  Acc: 0.8889
 Site-caltech                       | Val  Loss: 2.0329 | Val  Acc: 0.9211
 Site-caltech                       | Val  Loss: 2.0852 | Val  Acc: 0.8302
 Site-Product                       | Val  Loss: 1.9840 | Val  Acc: 0.8750
 Site-Product                       | Val  Loss: 1.9327 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.9335 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.9877 | Val  Acc: 0.9310
 Site-Product                       | Val  Loss: 2.0376 | Val  Acc: 0.7727
 Site-amazon                        | Val  Loss: 2.0108 | Val  Acc: 0.7692
 Site-amazon                        | Val  Loss: 2.0780 | Val  Acc: 0.7826
 Site-amazon                        | Val  Loss: 2.1001 | Val  Acc: 0.7805
 Site-webcam                        | Val  Loss: 2.0318 | Val  Acc: 0.7778
 Site-webcam                        | Val  Loss: 2.0307 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 2.1972 | Val  Acc: 0.7222
 Site-Clipart                       | Val  Loss: 2.1454 | Val  Acc: 0.6667
Average Valid Accuracy: 0.8681
 Best site-RealWorld                 | Epoch:0 | Val Acc: 1.0000
