===2023-08-05 13:36:43===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,10,13,17,22,29,37,48,63,81,8,11,16,22,30,42,58,9,14,22,32,49,15,26,45,19,39,40,27,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[555,317,215,146,99,67,45,]
domain number = 7
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 1.9681 | Train Acc: 0.3750
 Site-amazon                        | Train Loss: 1.9108 | Train Acc: 0.7000
 Site-amazon                        | Train Loss: 1.9054 | Train Acc: 0.6923
 Site-amazon                        | Train Loss: 1.8981 | Train Acc: 0.8235
 Site-amazon                        | Train Loss: 1.8726 | Train Acc: 0.8636
 Site-amazon                        | Train Loss: 1.8899 | Train Acc: 0.6897
 Site-amazon                        | Train Loss: 1.8617 | Train Acc: 0.8378
 Site-amazon                        | Train Loss: 1.8904 | Train Acc: 0.7292
 Site-amazon                        | Train Loss: 1.8802 | Train Acc: 0.7143
 Site-amazon                        | Train Loss: 1.8543 | Train Acc: 0.7654
 Site-Art                           | Train Loss: 2.0665 | Train Acc: 0.6250
 Site-Art                           | Train Loss: 1.9575 | Train Acc: 0.6364
 Site-Art                           | Train Loss: 2.0685 | Train Acc: 0.4375
 Site-Art                           | Train Loss: 2.0798 | Train Acc: 0.5909
 Site-Art                           | Train Loss: 1.9985 | Train Acc: 0.7667
 Site-Art                           | Train Loss: 2.0729 | Train Acc: 0.5476
 Site-Art                           | Train Loss: 2.0070 | Train Acc: 0.6724
 Site-RealWorld                     | Train Loss: 1.8661 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 1.9254 | Train Acc: 0.7143
 Site-RealWorld                     | Train Loss: 1.9178 | Train Acc: 0.8182
 Site-RealWorld                     | Train Loss: 1.9133 | Train Acc: 0.7500
 Site-RealWorld                     | Train Loss: 1.9072 | Train Acc: 0.7755
