===2023-08-05 09:38:02===
===Setting===
    dataset: officehome
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[21,27,35,45,58,75,97,126,163,210,30,45,68,101,152,61,122,85,
client_nums=[10,5,2,1,]
len_dataset=[1435,664,307,142,]
domain number = 4
============ Train epoch 0 ============
 Site-Art                           | Train Loss: 3.6917 | Train Acc: 0.6190
 Site-Art                           | Train Loss: 3.7381 | Train Acc: 0.5556
 Site-Art                           | Train Loss: 3.7532 | Train Acc: 0.5429
 Site-Art                           | Train Loss: 3.7810 | Train Acc: 0.4889
 Site-Art                           | Train Loss: 3.7264 | Train Acc: 0.5517
 Site-Art                           | Train Loss: 3.7700 | Train Acc: 0.4933
 Site-Art                           | Train Loss: 3.6993 | Train Acc: 0.6392
 Site-Art                           | Train Loss: 3.7205 | Train Acc: 0.6190
 Site-Art                           | Train Loss: 3.7727 | Train Acc: 0.5031
 Site-Art                           | Train Loss: 3.6647 | Train Acc: 0.5810
 Site-RealWorld                     | Train Loss: 3.7715 | Train Acc: 0.6000
 Site-RealWorld                     | Train Loss: 3.7175 | Train Acc: 0.6000
 Site-RealWorld                     | Train Loss: 3.6894 | Train Acc: 0.5735
 Site-RealWorld                     | Train Loss: 3.7438 | Train Acc: 0.5347
 Site-RealWorld                     | Train Loss: 3.7181 | Train Acc: 0.5658
 Site-Clipart                       | Train Loss: 3.8217 | Train Acc: 0.4262
 Site-Clipart                       | Train Loss: 3.8775 | Train Acc: 0.3115
 Site-Product                       | Train Loss: 3.8122 | Train Acc: 0.4235
Average Train Accuracy: 0.5349
 Site-Art                           | Val  Loss: 3.8373 | Val  Acc: 0.3571
 Site-Art                           | Val  Loss: 3.8723 | Val  Acc: 0.3333
 Site-Art                           | Val  Loss: 3.7438 | Val  Acc: 0.5652
 Site-Art                           | Val  Loss: 3.7295 | Val  Acc: 0.5333
 Site-Art                           | Val  Loss: 3.8532 | Val  Acc: 0.2051
 Site-Art                           | Val  Loss: 3.7391 | Val  Acc: 0.5400
 Site-Art                           | Val  Loss: 3.9104 | Val  Acc: 0.6154
 Site-Art                           | Val  Loss: 3.7261 | Val  Acc: 0.5595
 Site-Art                           | Val  Loss: 3.7119 | Val  Acc: 0.6111
 Site-Art                           | Val  Loss: 3.7394 | Val  Acc: 0.5429
 Site-RealWorld                     | Val  Loss: 3.5977 | Val  Acc: 0.7500
 Site-RealWorld                     | Val  Loss: 3.7156 | Val  Acc: 0.6000
