===2023-08-10 17:21:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8716 | Train Acc: 0.2143
 Site-photo                         | Train Loss: 1.9019 | Train Acc: 0.1111
 Site-photo                         | Train Loss: 1.9453 | Train Acc: 0.0417
 Site-photo                         | Train Loss: 1.9228 | Train Acc: 0.0968
 Site-photo                         | Train Loss: 1.8996 | Train Acc: 0.2500
 Site-photo                         | Train Loss: 1.9252 | Train Acc: 0.0962
 Site-photo                         | Train Loss: 1.8798 | Train Acc: 0.2059
 Site-photo                         | Train Loss: 1.8950 | Train Acc: 0.1818
 Site-photo                         | Train Loss: 1.9103 | Train Acc: 0.1858
 Site-photo                         | Train Loss: 1.9054 | Train Acc: 0.1849
 Site-art_painting                  | Train Loss: 1.9741 | Train Acc: 0.0000
 Site-art_painting                  | Train Loss: 1.9570 | Train Acc: 0.1364
 Site-art_painting                  | Train Loss: 1.9695 | Train Acc: 0.0750
 Site-art_painting                  | Train Loss: 1.9785 | Train Acc: 0.0694
 Site-art_painting                  | Train Loss: 1.9545 | Train Acc: 0.1250
 Site-cartoon                       | Train Loss: 1.9090 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.9394 | Train Acc: 0.1565
 Site-sketch                        | Train Loss: 1.9740 | Train Acc: 0.1207
Average Train Accuracy: 0.1402
 Site-photo                         | Val  Loss: 1.9811 | Val  Acc: 0.1111
 Site-photo                         | Val  Loss: 1.9354 | Val  Acc: 0.1667
 Site-photo                         | Val  Loss: 1.9147 | Val  Acc: 0.1875
 Site-photo                         | Val  Loss: 1.8895 | Val  Acc: 0.2857
 Site-photo                         | Val  Loss: 1.9169 | Val  Acc: 0.1852
 Site-photo                         | Val  Loss: 1.8945 | Val  Acc: 0.2857
 Site-photo                         | Val  Loss: 1.8824 | Val  Acc: 0.1556
 Site-photo                         | Val  Loss: 1.8870 | Val  Acc: 0.2241
 Site-photo                         | Val  Loss: 1.9005 | Val  Acc: 0.2267
 Site-photo                         | Val  Loss: 1.9096 | Val  Acc: 0.1237
 Site-art_painting                  | Val  Loss: 1.9521 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.9698 | Val  Acc: 0.0667
 Site-art_painting                  | Val  Loss: 1.9706 | Val  Acc: 0.0385
 Site-art_painting                  | Val  Loss: 1.9538 | Val  Acc: 0.0638
 Site-art_painting                  | Val  Loss: 1.9905 | Val  Acc: 0.0706
 Site-cartoon                       | Val  Loss: 1.9075 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.9514 | Val  Acc: 0.1429
 Site-sketch                        | Val  Loss: 1.9584 | Val  Acc: 0.0513
Average Valid Accuracy: 0.1554
 Best site-photo                     | Epoch:0 | Val Acc: 0.1111
 Best site-photo                     | Epoch:0 | Val Acc: 0.1667
 Best site-photo                     | Epoch:0 | Val Acc: 0.1875
 Best site-photo                     | Epoch:0 | Val Acc: 0.2857
 Best site-photo                     | Epoch:0 | Val Acc: 0.1852
 Best site-photo                     | Epoch:0 | Val Acc: 0.2857
 Best site-photo                     | Epoch:0 | Val Acc: 0.1556
 Best site-photo                     | Epoch:0 | Val Acc: 0.2241
 Best site-photo                     | Epoch:0 | Val Acc: 0.2267
 Best site-photo                     | Epoch:0 | Val Acc: 0.1237
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0667
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0385
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0638
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0706
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1429
 Best site-sketch                    | Epoch:0 | Val Acc: 0.0513
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedavg...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 1.8227 | Train Acc: 0.5714
 Site-photo                         | Train Loss: 1.8437 | Train Acc: 0.2778
 Site-photo                         | Train Loss: 1.8564 | Train Acc: 0.2917
 Site-photo                         | Train Loss: 1.8423 | Train Acc: 0.3226
 Site-photo                         | Train Loss: 1.8349 | Train Acc: 0.4250
