===2023-08-17 02:56:02===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:04===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 03:28:34===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.8573 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8878 | Train Acc: 0.6087
 Site-art_painting                  | Train Loss: 1.8833 | Train Acc: 0.4000
 Site-art_painting                  | Train Loss: 1.8461 | Train Acc: 0.5263
 Site-art_painting                  | Train Loss: 1.9106 | Train Acc: 0.3000
 Site-art_painting                  | Train Loss: 1.8535 | Train Acc: 0.4062
 Site-art_painting                  | Train Loss: 1.8731 | Train Acc: 0.4819
 Site-art_painting                  | Train Loss: 1.8791 | Train Acc: 0.3645
 Site-art_painting                  | Train Loss: 1.8693 | Train Acc: 0.4676
 Site-art_painting                  | Train Loss: 1.8498 | Train Acc: 0.4889
 Site-photo                         | Train Loss: 1.8086 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.8324 | Train Acc: 0.6071
 Site-photo                         | Train Loss: 1.8177 | Train Acc: 0.6735
 Site-photo                         | Train Loss: 1.8622 | Train Acc: 0.4659
 Site-photo                         | Train Loss: 1.8210 | Train Acc: 0.6369
 Site-sketch                        | Train Loss: 1.9445 | Train Acc: 0.0000
 Site-sketch                        | Train Loss: 1.9367 | Train Acc: 0.1972
 Site-cartoon                       | Train Loss: 1.8958 | Train Acc: 0.2361
Average Train Accuracy: 0.4460
 Best site-art_painting              | Epoch:0 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.5263
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4062
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4819
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3645
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4676
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4889
 Best site-photo                     | Epoch:0 | Val Acc: 0.6667
 Best site-photo                     | Epoch:0 | Val Acc: 0.6071
 Best site-photo                     | Epoch:0 | Val Acc: 0.6735
 Best site-photo                     | Epoch:0 | Val Acc: 0.4659
 Best site-photo                     | Epoch:0 | Val Acc: 0.6369
 Best site-sketch                    | Epoch:0 | Val Acc: 0.0000
