===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.3436 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.4573 | Train Acc: 0.6087
 Site-art_painting                  | Train Loss: 1.4502 | Train Acc: 0.7000
 Site-art_painting                  | Train Loss: 1.2842 | Train Acc: 0.8684
 Site-art_painting                  | Train Loss: 1.4333 | Train Acc: 0.6200
 Site-art_painting                  | Train Loss: 1.2989 | Train Acc: 0.8438
 Site-art_painting                  | Train Loss: 1.3824 | Train Acc: 0.7470
 Site-art_painting                  | Train Loss: 1.3764 | Train Acc: 0.7664
 Site-art_painting                  | Train Loss: 1.3637 | Train Acc: 0.7698
 Site-art_painting                  | Train Loss: 1.3462 | Train Acc: 0.7944
 Site-photo                         | Train Loss: 1.0931 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1909 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1150 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 1.2135 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 1.1122 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.7591 | Train Acc: 0.2857
 Site-sketch                        | Train Loss: 1.7828 | Train Acc: 0.3380
 Site-cartoon                       | Train Loss: 1.5773 | Train Acc: 0.5139
Average Train Accuracy: 0.7554
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8684
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6200
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8438
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7470
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7664
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7698
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7944
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9592
 Best site-photo                     | Epoch:0 | Val Acc: 0.9545
 Best site-photo                     | Epoch:0 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:0 | Val Acc: 0.2857
 Best site-sketch                    | Epoch:0 | Val Acc: 0.3380
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.5139
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 1 ============
 Site-art_painting                  | Train Loss: 0.9583 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.0987 | Train Acc: 0.6957
 Site-art_painting                  | Train Loss: 1.1022 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.8653 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 1.0571 | Train Acc: 0.7800
 Site-art_painting                  | Train Loss: 0.8813 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.9903 | Train Acc: 0.8193
 Site-art_painting                  | Train Loss: 1.0147 | Train Acc: 0.8692
 Site-art_painting                  | Train Loss: 0.9984 | Train Acc: 0.8273
 Site-art_painting                  | Train Loss: 0.9650 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 0.5770 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6863 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6729 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.6779 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 0.5935 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.4023 | Train Acc: 0.7857
 Site-sketch                        | Train Loss: 1.5819 | Train Acc: 0.5070
 Site-cartoon                       | Train Loss: 1.3988 | Train Acc: 0.5833
Average Train Accuracy: 0.8420
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6957
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9474
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7800
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8193
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8692
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8273
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8333
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9796
 Best site-photo                     | Epoch:1 | Val Acc: 0.9545
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:1 | Val Acc: 0.7857
 Best site-sketch                    | Epoch:1 | Val Acc: 0.5070
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.5833
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 2 ============
 Site-art_painting                  | Train Loss: 0.7387 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.8860 | Train Acc: 0.7391
 Site-art_painting                  | Train Loss: 0.8349 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.5146 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 0.8306 | Train Acc: 0.7800
 Site-art_painting                  | Train Loss: 0.6475 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.7420 | Train Acc: 0.8675
 Site-art_painting                  | Train Loss: 0.6924 | Train Acc: 0.9159
 Site-art_painting                  | Train Loss: 0.7331 | Train Acc: 0.8489
 Site-art_painting                  | Train Loss: 0.7180 | Train Acc: 0.8833
 Site-photo                         | Train Loss: 0.2944 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4062 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3845 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.4188 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.3164 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.3375 | Train Acc: 0.5714
 Site-sketch                        | Train Loss: 1.4443 | Train Acc: 0.5211
 Site-cartoon                       | Train Loss: 1.2470 | Train Acc: 0.6389
Average Train Accuracy: 0.8490
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8889
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7391
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9474
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7800
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8675
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9159
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8489
