===2023-08-17 02:56:14===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:16===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:42:02===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.3586 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.4391 | Train Acc: 0.6522
 Site-art_painting                  | Train Loss: 1.4305 | Train Acc: 0.6333
 Site-art_painting                  | Train Loss: 1.3335 | Train Acc: 0.8421
 Site-art_painting                  | Train Loss: 1.4408 | Train Acc: 0.6400
 Site-art_painting                  | Train Loss: 1.2821 | Train Acc: 0.8438
 Site-art_painting                  | Train Loss: 1.3635 | Train Acc: 0.7590
 Site-art_painting                  | Train Loss: 1.3650 | Train Acc: 0.7850
 Site-art_painting                  | Train Loss: 1.3580 | Train Acc: 0.7698
 Site-art_painting                  | Train Loss: 1.3499 | Train Acc: 0.7889
 Site-photo                         | Train Loss: 1.0976 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1948 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1146 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 1.2096 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 1.1076 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.7525 | Train Acc: 0.3571
 Site-sketch                        | Train Loss: 1.7711 | Train Acc: 0.3873
 Site-cartoon                       | Train Loss: 1.5561 | Train Acc: 0.5139
Average Train Accuracy: 0.7630
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6522
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8421
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6400
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8438
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7590
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7850
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7698
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7889
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9796
 Best site-photo                     | Epoch:0 | Val Acc: 0.9545
 Best site-photo                     | Epoch:0 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:0 | Val Acc: 0.3571
 Best site-sketch                    | Epoch:0 | Val Acc: 0.3873
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.5139
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 1 ============
 Site-art_painting                  | Train Loss: 0.9503 | Train Acc: 0.8333
