===2023-08-17 02:56:06===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 03:52:50===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
denominator: 39468.0703125
 Site-art_painting                  | Train Loss: 1.8998 | Train Acc: 0.2222
 Site-art_painting                  | Train Loss: 1.9369 | Train Acc: 0.2609
 Site-art_painting                  | Train Loss: 1.8981 | Train Acc: 0.2667
 Site-art_painting                  | Train Loss: 1.9255 | Train Acc: 0.2632
 Site-art_painting                  | Train Loss: 1.9107 | Train Acc: 0.2000
 Site-art_painting                  | Train Loss: 1.9065 | Train Acc: 0.2188
 Site-art_painting                  | Train Loss: 1.9290 | Train Acc: 0.1928
 Site-art_painting                  | Train Loss: 1.8939 | Train Acc: 0.2430
 Site-art_painting                  | Train Loss: 1.8960 | Train Acc: 0.2446
 Site-art_painting                  | Train Loss: 1.9119 | Train Acc: 0.1833
 Site-photo                         | Train Loss: 1.8740 | Train Acc: 0.3333
 Site-photo                         | Train Loss: 1.8983 | Train Acc: 0.2857
 Site-photo                         | Train Loss: 1.8814 | Train Acc: 0.4082
 Site-photo                         | Train Loss: 1.8914 | Train Acc: 0.3977
 Site-photo                         | Train Loss: 1.8820 | Train Acc: 0.4013
 Site-sketch                        | Train Loss: 1.9156 | Train Acc: 0.1429
 Site-sketch                        | Train Loss: 1.9248 | Train Acc: 0.1620
 Site-cartoon                       | Train Loss: 1.9477 | Train Acc: 0.1111
Average Train Accuracy: 0.2521
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2222
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2609
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2667
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2632
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2188
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1928
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2430
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2446
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1833
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.2857
 Best site-photo                     | Epoch:0 | Val Acc: 0.4082
 Best site-photo                     | Epoch:0 | Val Acc: 0.3977
 Best site-photo                     | Epoch:0 | Val Acc: 0.4013
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1429
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1620
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1111
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/q-ffl...
============ Train epoch 1 ============
denominator: 38731.796875
 Site-art_painting                  | Train Loss: 1.8615 | Train Acc: 0.3889
 Site-art_painting                  | Train Loss: 1.8912 | Train Acc: 0.2174
 Site-art_painting                  | Train Loss: 1.8601 | Train Acc: 0.3000
 Site-art_painting                  | Train Loss: 1.8412 | Train Acc: 0.4737
 Site-art_painting                  | Train Loss: 1.8760 | Train Acc: 0.2400
 Site-art_painting                  | Train Loss: 1.8682 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.8873 | Train Acc: 0.2530
 Site-art_painting                  | Train Loss: 1.8629 | Train Acc: 0.3645
 Site-art_painting                  | Train Loss: 1.8645 | Train Acc: 0.3165
 Site-art_painting                  | Train Loss: 1.8751 | Train Acc: 0.2667
 Site-photo                         | Train Loss: 1.8275 | Train Acc: 0.4667
 Site-photo                         | Train Loss: 1.8251 | Train Acc: 0.5714
 Site-photo                         | Train Loss: 1.8317 | Train Acc: 0.5918
 Site-photo                         | Train Loss: 1.8443 | Train Acc: 0.4886
 Site-photo                         | Train Loss: 1.8269 | Train Acc: 0.5669
 Site-sketch                        | Train Loss: 1.8893 | Train Acc: 0.2143
 Site-sketch                        | Train Loss: 1.9044 | Train Acc: 0.1690
 Site-cartoon                       | Train Loss: 1.9115 | Train Acc: 0.3056
Average Train Accuracy: 0.3581
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3889
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2174
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3000
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4737
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2400
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2530
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3645
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3165
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2667
 Best site-photo                     | Epoch:1 | Val Acc: 0.4667
 Best site-photo                     | Epoch:1 | Val Acc: 0.5714
 Best site-photo                     | Epoch:1 | Val Acc: 0.5918
 Best site-photo                     | Epoch:1 | Val Acc: 0.4886
 Best site-photo                     | Epoch:1 | Val Acc: 0.5669
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2143
 Best site-sketch                    | Epoch:1 | Val Acc: 0.1690
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.3056
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/q-ffl...
============ Train epoch 2 ============
denominator: 37908.7734375
 Site-art_painting                  | Train Loss: 1.8190 | Train Acc: 0.4444
 Site-art_painting                  | Train Loss: 1.8636 | Train Acc: 0.3913
