===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.8562 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8866 | Train Acc: 0.6087
 Site-art_painting                  | Train Loss: 1.8819 | Train Acc: 0.4000
 Site-art_painting                  | Train Loss: 1.8447 | Train Acc: 0.5526
 Site-art_painting                  | Train Loss: 1.9094 | Train Acc: 0.3000
 Site-art_painting                  | Train Loss: 1.8521 | Train Acc: 0.4062
 Site-art_painting                  | Train Loss: 1.8720 | Train Acc: 0.4819
 Site-art_painting                  | Train Loss: 1.8778 | Train Acc: 0.3738
 Site-art_painting                  | Train Loss: 1.8678 | Train Acc: 0.4676
 Site-art_painting                  | Train Loss: 1.8486 | Train Acc: 0.4889
 Site-photo                         | Train Loss: 1.8049 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.8292 | Train Acc: 0.6071
 Site-photo                         | Train Loss: 1.8140 | Train Acc: 0.6735
 Site-photo                         | Train Loss: 1.8591 | Train Acc: 0.4773
 Site-photo                         | Train Loss: 1.8172 | Train Acc: 0.6433
 Site-sketch                        | Train Loss: 1.9453 | Train Acc: 0.0000
 Site-sketch                        | Train Loss: 1.9369 | Train Acc: 0.1972
 Site-cartoon                       | Train Loss: 1.8956 | Train Acc: 0.2361
Average Train Accuracy: 0.4489
 Best site-art_painting              | Epoch:0 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.5526
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4062
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4819
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3738
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4676
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4889
 Best site-photo                     | Epoch:0 | Val Acc: 0.6667
 Best site-photo                     | Epoch:0 | Val Acc: 0.6071
 Best site-photo                     | Epoch:0 | Val Acc: 0.6735
 Best site-photo                     | Epoch:0 | Val Acc: 0.4773
 Best site-photo                     | Epoch:0 | Val Acc: 0.6433
 Best site-sketch                    | Epoch:0 | Val Acc: 0.0000
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1972
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.2361
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 1 ============
 Site-art_painting                  | Train Loss: 1.7703 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.8306 | Train Acc: 0.5217
 Site-art_painting                  | Train Loss: 1.8146 | Train Acc: 0.4667
 Site-art_painting                  | Train Loss: 1.7602 | Train Acc: 0.6316
 Site-art_painting                  | Train Loss: 1.8503 | Train Acc: 0.4800
 Site-art_painting                  | Train Loss: 1.7572 | Train Acc: 0.5938
 Site-art_painting                  | Train Loss: 1.7990 | Train Acc: 0.5663
 Site-art_painting                  | Train Loss: 1.8179 | Train Acc: 0.4953
 Site-art_painting                  | Train Loss: 1.8063 | Train Acc: 0.5899
 Site-art_painting                  | Train Loss: 1.7847 | Train Acc: 0.5889
 Site-photo                         | Train Loss: 1.7229 | Train Acc: 0.7333
 Site-photo                         | Train Loss: 1.7478 | Train Acc: 0.7857
 Site-photo                         | Train Loss: 1.7378 | Train Acc: 0.8367
 Site-photo                         | Train Loss: 1.7616 | Train Acc: 0.6705
 Site-photo                         | Train Loss: 1.7270 | Train Acc: 0.7898
 Site-sketch                        | Train Loss: 1.9152 | Train Acc: 0.0000
 Site-sketch                        | Train Loss: 1.9107 | Train Acc: 0.2676
 Site-cartoon                       | Train Loss: 1.8710 | Train Acc: 0.3194
Average Train Accuracy: 0.5619
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5217
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4667
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6316
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4800
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5938
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5663
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4953
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5899
