===2023-08-07 13:33:56===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8356 | Train Acc: 0.4286
 Site-photo                         | Train Loss: 1.8482 | Train Acc: 0.5556
 Site-photo                         | Train Loss: 1.8600 | Train Acc: 0.4167
 Site-photo                         | Train Loss: 1.8203 | Train Acc: 0.6452
 Site-photo                         | Train Loss: 1.8808 | Train Acc: 0.3750
 Site-photo                         | Train Loss: 1.8662 | Train Acc: 0.5769
 Site-photo                         | Train Loss: 1.8862 | Train Acc: 0.5294
 Site-photo                         | Train Loss: 1.8435 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8452 | Train Acc: 0.4690
 Site-photo                         | Train Loss: 1.8631 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8983 | Train Acc: 0.0833
 Site-art_painting                  | Train Loss: 1.8923 | Train Acc: 0.3636
 Site-art_painting                  | Train Loss: 1.8999 | Train Acc: 0.4000
 Site-art_painting                  | Train Loss: 1.8877 | Train Acc: 0.4028
 Site-art_painting                  | Train Loss: 1.8984 | Train Acc: 0.3203
 Site-cartoon                       | Train Loss: 1.9190 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9286 | Train Acc: 0.2348
 Site-sketch                        | Train Loss: 1.9494 | Train Acc: 0.1552
Average Train Accuracy: 0.3966
 Site-photo                         | Val  Loss: 1.8684 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8742 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.8303 | Val  Acc: 0.4375
 Site-photo                         | Val  Loss: 1.8546 | Val  Acc: 0.5238
 Site-photo                         | Val  Loss: 1.8448 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8309 | Val  Acc: 0.5143
 Site-photo                         | Val  Loss: 1.8387 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8531 | Val  Acc: 0.4828
 Site-photo                         | Val  Loss: 1.8611 | Val  Acc: 0.4933
 Site-photo                         | Val  Loss: 1.8733 | Val  Acc: 0.4845
 Site-art_painting                  | Val  Loss: 1.8264 | Val  Acc: 0.3750
 Site-art_painting                  | Val  Loss: 1.8719 | Val  Acc: 0.4000
 Site-art_painting                  | Val  Loss: 1.8702 | Val  Acc: 0.3462
 Site-art_painting                  | Val  Loss: 1.9032 | Val  Acc: 0.2340
 Site-art_painting                  | Val  Loss: 1.9149 | Val  Acc: 0.2235
 Site-cartoon                       | Val  Loss: 1.8904 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.9244 | Val  Acc: 0.2208
 Site-sketch                        | Val  Loss: 1.9441 | Val  Acc: 0.1538
Average Valid Accuracy: 0.3911
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.5000
 Best site-photo                     | Epoch:0 | Val Acc: 0.4375
 Best site-photo                     | Epoch:0 | Val Acc: 0.5238
 Best site-photo                     | Epoch:0 | Val Acc: 0.4444
 Best site-photo                     | Epoch:0 | Val Acc: 0.5143
 Best site-photo                     | Epoch:0 | Val Acc: 0.4444
 Best site-photo                     | Epoch:0 | Val Acc: 0.4828
 Best site-photo                     | Epoch:0 | Val Acc: 0.4933
 Best site-photo                     | Epoch:0 | Val Acc: 0.4845
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3750
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3462
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2340
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2235
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.2208
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/afl...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 1.7923 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8027 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.8048 | Train Acc: 0.5833
 Site-photo                         | Train Loss: 1.7452 | Train Acc: 0.8710
 Site-photo                         | Train Loss: 1.8025 | Train Acc: 0.6500
 Site-photo                         | Train Loss: 1.8126 | Train Acc: 0.6346
 Site-photo                         | Train Loss: 1.7722 | Train Acc: 0.6765
 Site-photo                         | Train Loss: 1.7686 | Train Acc: 0.6932
 Site-photo                         | Train Loss: 1.7826 | Train Acc: 0.6549
 Site-photo                         | Train Loss: 1.7821 | Train Acc: 0.6849
 Site-art_painting                  | Train Loss: 1.8783 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.8675 | Train Acc: 0.5909
 Site-art_painting                  | Train Loss: 1.8687 | Train Acc: 0.3750
 Site-art_painting                  | Train Loss: 1.8123 | Train Acc: 0.4306
 Site-art_painting                  | Train Loss: 1.8626 | Train Acc: 0.4062
 Site-cartoon                       | Train Loss: 1.8903 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.9084 | Train Acc: 0.2522
 Site-sketch                        | Train Loss: 1.9391 | Train Acc: 0.2414
Average Train Accuracy: 0.5287
 Site-photo                         | Val  Loss: 1.8216 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8140 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.7601 | Val  Acc: 0.6250
 Site-photo                         | Val  Loss: 1.7969 | Val  Acc: 0.5714
 Site-photo                         | Val  Loss: 1.7841 | Val  Acc: 0.6296
 Site-photo                         | Val  Loss: 1.7656 | Val  Acc: 0.7714
 Site-photo                         | Val  Loss: 1.7734 | Val  Acc: 0.7111
 Site-photo                         | Val  Loss: 1.7776 | Val  Acc: 0.6207
 Site-photo                         | Val  Loss: 1.7990 | Val  Acc: 0.6400
 Site-photo                         | Val  Loss: 1.8053 | Val  Acc: 0.6186
 Site-art_painting                  | Val  Loss: 1.7865 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.8432 | Val  Acc: 0.5333
 Site-art_painting                  | Val  Loss: 1.8216 | Val  Acc: 0.5385
 Site-art_painting                  | Val  Loss: 1.8776 | Val  Acc: 0.2766
 Site-art_painting                  | Val  Loss: 1.8681 | Val  Acc: 0.4353
 Site-cartoon                       | Val  Loss: 1.8673 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.9099 | Val  Acc: 0.2597
 Site-sketch                        | Val  Loss: 1.9320 | Val  Acc: 0.2051
Average Valid Accuracy: 0.5334
 Best site-photo                     | Epoch:1 | Val Acc: 0.4444
 Best site-photo                     | Epoch:1 | Val Acc: 0.6667
 Best site-photo                     | Epoch:1 | Val Acc: 0.6250
 Best site-photo                     | Epoch:1 | Val Acc: 0.5714
 Best site-photo                     | Epoch:1 | Val Acc: 0.6296
 Best site-photo                     | Epoch:1 | Val Acc: 0.7714
 Best site-photo                     | Epoch:1 | Val Acc: 0.7111
 Best site-photo                     | Epoch:1 | Val Acc: 0.6207
 Best site-photo                     | Epoch:1 | Val Acc: 0.6400
 Best site-photo                     | Epoch:1 | Val Acc: 0.6186
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6250
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5385
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2766
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4353
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.2597
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2051
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/afl...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 1.7164 | Train Acc: 0.6429
 Site-photo                         | Train Loss: 1.7374 | Train Acc: 0.7222
 Site-photo                         | Train Loss: 1.7501 | Train Acc: 0.7917
 Site-photo                         | Train Loss: 1.6870 | Train Acc: 0.9032
 Site-photo                         | Train Loss: 1.7379 | Train Acc: 0.7250
 Site-photo                         | Train Loss: 1.7369 | Train Acc: 0.7308
 Site-photo                         | Train Loss: 1.7080 | Train Acc: 0.8088
 Site-photo                         | Train Loss: 1.7068 | Train Acc: 0.8182
 Site-photo                         | Train Loss: 1.7135 | Train Acc: 0.7434
 Site-photo                         | Train Loss: 1.7165 | Train Acc: 0.7603
 Site-art_painting                  | Train Loss: 1.8352 | Train Acc: 0.4167
 Site-art_painting                  | Train Loss: 1.8542 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8484 | Train Acc: 0.4750
 Site-art_painting                  | Train Loss: 1.8113 | Train Acc: 0.5833
 Site-art_painting                  | Train Loss: 1.8277 | Train Acc: 0.5469
 Site-cartoon                       | Train Loss: 1.8860 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8888 | Train Acc: 0.3652
 Site-sketch                        | Train Loss: 1.9322 | Train Acc: 0.2414
Average Train Accuracy: 0.6138
 Site-photo                         | Val  Loss: 1.7537 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.7673 | Val  Acc: 0.5833
 Site-photo                         | Val  Loss: 1.6863 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.7236 | Val  Acc: 0.7143
 Site-photo                         | Val  Loss: 1.7220 | Val  Acc: 0.7407
 Site-photo                         | Val  Loss: 1.7019 | Val  Acc: 0.8857
 Site-photo                         | Val  Loss: 1.7049 | Val  Acc: 0.8222
 Site-photo                         | Val  Loss: 1.7076 | Val  Acc: 0.7414
 Site-photo                         | Val  Loss: 1.7285 | Val  Acc: 0.7600
 Site-photo                         | Val  Loss: 1.7406 | Val  Acc: 0.7320
 Site-art_painting                  | Val  Loss: 1.7882 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.8048 | Val  Acc: 0.4667
 Site-art_painting                  | Val  Loss: 1.7944 | Val  Acc: 0.6154
 Site-art_painting                  | Val  Loss: 1.8443 | Val  Acc: 0.4043
 Site-art_painting                  | Val  Loss: 1.8351 | Val  Acc: 0.4706
 Site-cartoon                       | Val  Loss: 1.8541 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.8721 | Val  Acc: 0.4026
