===2023-08-07 12:58:49===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.2794 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3249 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.3796 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.2140 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3180 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 1.3304 | Train Acc: 0.9423
 Site-photo                         | Train Loss: 1.3450 | Train Acc: 0.9853
 Site-photo                         | Train Loss: 1.2813 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 1.2667 | Train Acc: 0.9735
 Site-photo                         | Train Loss: 1.2886 | Train Acc: 0.9863
 Site-art_painting                  | Train Loss: 1.5840 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.6227 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 1.6631 | Train Acc: 0.6500
 Site-art_painting                  | Train Loss: 1.6187 | Train Acc: 0.7222
 Site-art_painting                  | Train Loss: 1.5954 | Train Acc: 0.7344
 Site-cartoon                       | Train Loss: 1.7357 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.7390 | Train Acc: 0.4870
 Site-sketch                        | Train Loss: 1.9001 | Train Acc: 0.2241
Average Train Accuracy: 0.8163
 Site-photo                         | Val  Loss: 1.3823 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3925 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 1.2500 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3039 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.2884 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.2722 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 1.2323 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2694 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3099 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3000 | Val  Acc: 0.9485
 Site-art_painting                  | Val  Loss: 1.4595 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.5702 | Val  Acc: 0.8000
 Site-art_painting                  | Val  Loss: 1.5577 | Val  Acc: 0.7308
 Site-art_painting                  | Val  Loss: 1.6143 | Val  Acc: 0.6170
 Site-art_painting                  | Val  Loss: 1.6189 | Val  Acc: 0.6588
 Site-cartoon                       | Val  Loss: 1.6397 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.7173 | Val  Acc: 0.5584
 Site-sketch                        | Val  Loss: 1.8927 | Val  Acc: 0.2308
Average Valid Accuracy: 0.8298
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9167
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9524
 Best site-photo                     | Epoch:0 | Val Acc: 0.9630
 Best site-photo                     | Epoch:0 | Val Acc: 0.9714
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9485
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7308
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6170
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6588
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.5584
 Best site-sketch                    | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/fedsam...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 0.7970 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8848 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.9708 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 0.7088 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8213 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.8714 | Train Acc: 0.9615
 Site-photo                         | Train Loss: 0.7681 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7675 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7934 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.8113 | Train Acc: 0.9932
 Site-art_painting                  | Train Loss: 1.4096 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.4354 | Train Acc: 0.6818
 Site-art_painting                  | Train Loss: 1.4573 | Train Acc: 0.7000
 Site-art_painting                  | Train Loss: 1.1922 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.3299 | Train Acc: 0.7812
 Site-cartoon                       | Train Loss: 1.5470 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.5461 | Train Acc: 0.6261
 Site-sketch                        | Train Loss: 1.8016 | Train Acc: 0.3448
Average Train Accuracy: 0.8464
 Site-photo                         | Val  Loss: 0.9319 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 0.9283 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7876 | Val  Acc: 1.0000
