===2023-08-07 09:20:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.2842 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3516 | Train Acc: 0.8889
 Site-photo                         | Train Loss: 1.3629 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.2142 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3142 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 1.3195 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 1.3360 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.2792 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 1.2724 | Train Acc: 0.9646
 Site-photo                         | Train Loss: 1.2883 | Train Acc: 0.9726
 Site-art_painting                  | Train Loss: 1.6073 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.6360 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 1.6716 | Train Acc: 0.6000
 Site-art_painting                  | Train Loss: 1.6057 | Train Acc: 0.7361
 Site-art_painting                  | Train Loss: 1.6057 | Train Acc: 0.7109
 Site-cartoon                       | Train Loss: 1.7604 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.7224 | Train Acc: 0.5478
 Site-sketch                        | Train Loss: 1.8619 | Train Acc: 0.3103
Average Train Accuracy: 0.8154
 Site-photo                         | Val  Loss: 1.4071 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.3901 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 1.2413 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3102 | Val  Acc: 0.9048
 Site-photo                         | Val  Loss: 1.2778 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.2689 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 1.2247 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2734 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.3194 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2975 | Val  Acc: 0.9485
 Site-art_painting                  | Val  Loss: 1.4498 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.5527 | Val  Acc: 0.8000
 Site-art_painting                  | Val  Loss: 1.5726 | Val  Acc: 0.6538
 Site-art_painting                  | Val  Loss: 1.6431 | Val  Acc: 0.6383
 Site-art_painting                  | Val  Loss: 1.6315 | Val  Acc: 0.6235
 Site-cartoon                       | Val  Loss: 1.6127 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 1.7128 | Val  Acc: 0.6104
 Site-sketch                        | Val  Loss: 1.8653 | Val  Acc: 0.1538
Average Valid Accuracy: 0.8225
 Best site-photo                     | Epoch:0 | Val Acc: 0.8889
 Best site-photo                     | Epoch:0 | Val Acc: 0.9167
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9048
 Best site-photo                     | Epoch:0 | Val Acc: 0.9630
 Best site-photo                     | Epoch:0 | Val Acc: 0.9714
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9485
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6538
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6383
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6235
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.6104
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/harmo-fl...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 0.8068 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.9141 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.9531 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 0.7098 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8180 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.8767 | Train Acc: 0.9615
