===2023-08-07 13:58:30===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8341 | Train Acc: 0.4286
 Site-photo                         | Train Loss: 1.8468 | Train Acc: 0.5556
 Site-photo                         | Train Loss: 1.8587 | Train Acc: 0.4583
 Site-photo                         | Train Loss: 1.8184 | Train Acc: 0.6774
 Site-photo                         | Train Loss: 1.8793 | Train Acc: 0.4250
 Site-photo                         | Train Loss: 1.8647 | Train Acc: 0.5769
 Site-photo                         | Train Loss: 1.8848 | Train Acc: 0.5441
 Site-photo                         | Train Loss: 1.8419 | Train Acc: 0.5227
 Site-photo                         | Train Loss: 1.8435 | Train Acc: 0.4690
 Site-photo                         | Train Loss: 1.8616 | Train Acc: 0.5068
 Site-art_painting                  | Train Loss: 1.8980 | Train Acc: 0.0833
 Site-art_painting                  | Train Loss: 1.8921 | Train Acc: 0.3636
 Site-art_painting                  | Train Loss: 1.8997 | Train Acc: 0.4000
 Site-art_painting                  | Train Loss: 1.8873 | Train Acc: 0.4028
 Site-art_painting                  | Train Loss: 1.8982 | Train Acc: 0.3203
 Site-cartoon                       | Train Loss: 1.9192 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9287 | Train Acc: 0.2348
 Site-sketch                        | Train Loss: 1.9498 | Train Acc: 0.1552
Average Train Accuracy: 0.4059
 Site-photo                         | Val  Loss: 1.8671 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8729 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.8285 | Val  Acc: 0.4375
 Site-photo                         | Val  Loss: 1.8531 | Val  Acc: 0.5238
 Site-photo                         | Val  Loss: 1.8433 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8294 | Val  Acc: 0.5143
 Site-photo                         | Val  Loss: 1.8369 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8515 | Val  Acc: 0.4828
 Site-photo                         | Val  Loss: 1.8597 | Val  Acc: 0.5200
 Site-photo                         | Val  Loss: 1.8717 | Val  Acc: 0.4845
 Site-art_painting                  | Val  Loss: 1.8259 | Val  Acc: 0.3750
 Site-art_painting                  | Val  Loss: 1.8716 | Val  Acc: 0.4000
 Site-art_painting                  | Val  Loss: 1.8698 | Val  Acc: 0.3462
 Site-art_painting                  | Val  Loss: 1.9030 | Val  Acc: 0.2340
 Site-art_painting                  | Val  Loss: 1.9146 | Val  Acc: 0.2235
 Site-cartoon                       | Val  Loss: 1.8904 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.9245 | Val  Acc: 0.2208
 Site-sketch                        | Val  Loss: 1.9444 | Val  Acc: 0.1538
Average Valid Accuracy: 0.3926
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.5000
 Best site-photo                     | Epoch:0 | Val Acc: 0.4375
 Best site-photo                     | Epoch:0 | Val Acc: 0.5238
 Best site-photo                     | Epoch:0 | Val Acc: 0.4444
 Best site-photo                     | Epoch:0 | Val Acc: 0.5143
 Best site-photo                     | Epoch:0 | Val Acc: 0.4444
 Best site-photo                     | Epoch:0 | Val Acc: 0.4828
 Best site-photo                     | Epoch:0 | Val Acc: 0.5200
 Best site-photo                     | Epoch:0 | Val Acc: 0.4845
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3750
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3462
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2340
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2235
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.2208
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/term...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 1.7873 | Train Acc: 0.5714
 Site-photo                         | Train Loss: 1.7988 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.8013 | Train Acc: 0.5833
 Site-photo                         | Train Loss: 1.7405 | Train Acc: 0.8710
 Site-photo                         | Train Loss: 1.7980 | Train Acc: 0.6500
 Site-photo                         | Train Loss: 1.8086 | Train Acc: 0.6538
 Site-photo                         | Train Loss: 1.7676 | Train Acc: 0.6912
 Site-photo                         | Train Loss: 1.7641 | Train Acc: 0.7045
 Site-photo                         | Train Loss: 1.7782 | Train Acc: 0.6460
 Site-photo                         | Train Loss: 1.7778 | Train Acc: 0.7055
 Site-art_painting                  | Train Loss: 1.8810 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.8655 | Train Acc: 0.6364
 Site-art_painting                  | Train Loss: 1.8681 | Train Acc: 0.3750
 Site-art_painting                  | Train Loss: 1.8110 | Train Acc: 0.4028
 Site-art_painting                  | Train Loss: 1.8621 | Train Acc: 0.3984
 Site-cartoon                       | Train Loss: 1.8910 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.9088 | Train Acc: 0.2609
 Site-sketch                        | Train Loss: 1.9404 | Train Acc: 0.2414
Average Train Accuracy: 0.5369
 Site-photo                         | Val  Loss: 1.8180 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8101 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.7552 | Val  Acc: 0.6875
 Site-photo                         | Val  Loss: 1.7924 | Val  Acc: 0.5714
 Site-photo                         | Val  Loss: 1.7804 | Val  Acc: 0.6296
 Site-photo                         | Val  Loss: 1.7621 | Val  Acc: 0.7714
 Site-photo                         | Val  Loss: 1.7687 | Val  Acc: 0.7111
 Site-photo                         | Val  Loss: 1.7732 | Val  Acc: 0.6207
 Site-photo                         | Val  Loss: 1.7946 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.8008 | Val  Acc: 0.6186
 Site-art_painting                  | Val  Loss: 1.7849 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.8423 | Val  Acc: 0.4000
 Site-art_painting                  | Val  Loss: 1.8216 | Val  Acc: 0.5385
 Site-art_painting                  | Val  Loss: 1.8761 | Val  Acc: 0.2979
