===2023-08-10 21:19:56===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8597 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8961 | Train Acc: 0.3889
 Site-photo                         | Train Loss: 1.9110 | Train Acc: 0.2500
 Site-photo                         | Train Loss: 1.8467 | Train Acc: 0.4516
 Site-photo                         | Train Loss: 1.8843 | Train Acc: 0.4000
 Site-photo                         | Train Loss: 1.8663 | Train Acc: 0.3269
 Site-photo                         | Train Loss: 1.8919 | Train Acc: 0.3235
 Site-photo                         | Train Loss: 1.8705 | Train Acc: 0.3523
 Site-photo                         | Train Loss: 1.8893 | Train Acc: 0.3009
 Site-photo                         | Train Loss: 1.8669 | Train Acc: 0.3836
 Site-art_painting                  | Train Loss: 1.9631 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.9055 | Train Acc: 0.2273
 Site-art_painting                  | Train Loss: 1.8963 | Train Acc: 0.3500
 Site-art_painting                  | Train Loss: 1.8926 | Train Acc: 0.2361
 Site-art_painting                  | Train Loss: 1.8760 | Train Acc: 0.3281
 Site-cartoon                       | Train Loss: 1.9400 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9281 | Train Acc: 0.1739
 Site-sketch                        | Train Loss: 1.9612 | Train Acc: 0.0345
Average Train Accuracy: 0.3033
 Site-photo                         | Val  Loss: 1.8991 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.8891 | Val  Acc: 0.1667
 Site-photo                         | Val  Loss: 1.9048 | Val  Acc: 0.4375
 Site-photo                         | Val  Loss: 1.8877 | Val  Acc: 0.2857
 Site-photo                         | Val  Loss: 1.8847 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8889 | Val  Acc: 0.2286
 Site-photo                         | Val  Loss: 1.8959 | Val  Acc: 0.3111
 Site-photo                         | Val  Loss: 1.8669 | Val  Acc: 0.4483
 Site-photo                         | Val  Loss: 1.8703 | Val  Acc: 0.3200
 Site-photo                         | Val  Loss: 1.8751 | Val  Acc: 0.3711
 Site-art_painting                  | Val  Loss: 1.9141 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.9108 | Val  Acc: 0.1333
 Site-art_painting                  | Val  Loss: 1.8799 | Val  Acc: 0.4231
 Site-art_painting                  | Val  Loss: 1.8788 | Val  Acc: 0.3191
 Site-art_painting                  | Val  Loss: 1.8934 | Val  Acc: 0.2235
 Site-cartoon                       | Val  Loss: 1.9093 | Val  Acc: 0.1429
 Site-cartoon                       | Val  Loss: 1.9313 | Val  Acc: 0.1688
 Site-sketch                        | Val  Loss: 1.9614 | Val  Acc: 0.0769
Average Valid Accuracy: 0.2701
 Best site-photo                     | Epoch:0 | Val Acc: 0.2222
 Best site-photo                     | Epoch:0 | Val Acc: 0.1667
 Best site-photo                     | Epoch:0 | Val Acc: 0.4375
 Best site-photo                     | Epoch:0 | Val Acc: 0.2857
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.2286
 Best site-photo                     | Epoch:0 | Val Acc: 0.3111
 Best site-photo                     | Epoch:0 | Val Acc: 0.4483
 Best site-photo                     | Epoch:0 | Val Acc: 0.3200
 Best site-photo                     | Epoch:0 | Val Acc: 0.3711
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.4231
 Best site-art_painting              | Epoch:0 | Val Acc: 0.3191
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2235
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1429
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1688
 Best site-sketch                    | Epoch:0 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 1.7458 | Train Acc: 0.9286
