===2023-08-10 19:02:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.1801 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3585 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.2344 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.2566 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.2455 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3234 | Train Acc: 0.9615
 Site-photo                         | Train Loss: 1.1640 | Train Acc: 0.9706
 Site-photo                         | Train Loss: 1.2788 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 1.2906 | Train Acc: 0.9646
 Site-photo                         | Train Loss: 1.2788 | Train Acc: 0.9589
 Site-art_painting                  | Train Loss: 1.6027 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.6203 | Train Acc: 0.6818
 Site-art_painting                  | Train Loss: 1.6278 | Train Acc: 0.6500
 Site-art_painting                  | Train Loss: 1.5810 | Train Acc: 0.6528
 Site-art_painting                  | Train Loss: 1.5899 | Train Acc: 0.6953
 Site-cartoon                       | Train Loss: 1.6990 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.6812 | Train Acc: 0.5739
 Site-sketch                        | Train Loss: 1.8939 | Train Acc: 0.1724
Average Train Accuracy: 0.8020
 Site-photo                         | Val  Loss: 1.2934 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.3409 | Val  Acc: 0.8333
 Site-photo                         | Val  Loss: 1.3733 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.3364 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.2650 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2124 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2638 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2959 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2900 | Val  Acc: 0.9600
 Site-photo                         | Val  Loss: 1.2710 | Val  Acc: 0.9691
 Site-art_painting                  | Val  Loss: 1.6300 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.5984 | Val  Acc: 0.6667
 Site-art_painting                  | Val  Loss: 1.5814 | Val  Acc: 0.6923
 Site-art_painting                  | Val  Loss: 1.5519 | Val  Acc: 0.7660
 Site-art_painting                  | Val  Loss: 1.5928 | Val  Acc: 0.7059
 Site-cartoon                       | Val  Loss: 1.7375 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.7025 | Val  Acc: 0.5195
 Site-sketch                        | Val  Loss: 1.8727 | Val  Acc: 0.3077
Average Valid Accuracy: 0.7963
 Best site-photo                     | Epoch:0 | Val Acc: 0.8889
 Best site-photo                     | Epoch:0 | Val Acc: 0.8333
 Best site-photo                     | Epoch:0 | Val Acc: 0.8750
 Best site-photo                     | Epoch:0 | Val Acc: 0.9524
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9600
 Best site-photo                     | Epoch:0 | Val Acc: 0.9691
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6250
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6667
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6923
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7660
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7059
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.5195
 Best site-sketch                    | Epoch:0 | Val Acc: 0.3077
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/harmo-fl...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 0.6675 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.9095 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.7604 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7409 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 0.7410 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8335 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.7627 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7771 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 0.8038 | Train Acc: 0.9912
 Site-photo                         | Train Loss: 0.8465 | Train Acc: 0.9863
 Site-art_painting                  | Train Loss: 1.3179 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.3796 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 1.3287 | Train Acc: 0.7750
 Site-art_painting                  | Train Loss: 1.3358 | Train Acc: 0.7222
 Site-art_painting                  | Train Loss: 1.3313 | Train Acc: 0.7031
 Site-cartoon                       | Train Loss: 1.5559 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.4590 | Train Acc: 0.6696
 Site-sketch                        | Train Loss: 1.8232 | Train Acc: 0.2931
Average Train Accuracy: 0.8531
 Site-photo                         | Val  Loss: 0.7944 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.8839 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.9391 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 0.8464 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 0.7775 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7225 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.7790 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.8043 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.8107 | Val  Acc: 0.9867
 Site-photo                         | Val  Loss: 0.7893 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 1.4327 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.3245 | Val  Acc: 0.7333
 Site-art_painting                  | Val  Loss: 1.3161 | Val  Acc: 0.6923
 Site-art_painting                  | Val  Loss: 1.2759 | Val  Acc: 0.7872
 Site-art_painting                  | Val  Loss: 1.3277 | Val  Acc: 0.7647
 Site-cartoon                       | Val  Loss: 1.6315 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.5087 | Val  Acc: 0.6494
 Site-sketch                        | Val  Loss: 1.8027 | Val  Acc: 0.2821
Average Valid Accuracy: 0.8208
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.8750
 Best site-photo                     | Epoch:1 | Val Acc: 0.9524
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9867
 Best site-photo                     | Epoch:1 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:1 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6923
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7872
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7647
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.6494
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2821
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/harmo-fl...
============ Train epoch 2 ============
