===2023-08-13 20:12:51===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
cnt=[7, 1, 9, 1, ]
 Site-photo                         | Train Loss: 1.7018 | Train Acc: 0.3571
 Site-photo                         | Train Loss: 1.8541 | Train Acc: 0.2222
 Site-photo                         | Train Loss: 1.5636 | Train Acc: 0.4167
 Site-photo                         | Train Loss: 1.6659 | Train Acc: 0.3226
 Site-photo                         | Train Loss: 1.6925 | Train Acc: 0.3500
 Site-photo                         | Train Loss: 1.8081 | Train Acc: 0.2115
 Site-photo                         | Train Loss: 1.4273 | Train Acc: 0.3529
 Site-photo                         | Train Loss: 1.7281 | Train Acc: 0.2841
 Site-photo                         | Train Loss: 1.7300 | Train Acc: 0.2832
 Site-photo                         | Train Loss: 1.8003 | Train Acc: 0.2466
 Site-art_painting                  | Train Loss: 1.9525 | Train Acc: 0.0833
 Site-art_painting                  | Train Loss: 1.8745 | Train Acc: 0.2273
 Site-art_painting                  | Train Loss: 1.7429 | Train Acc: 0.4250
 Site-art_painting                  | Train Loss: 1.9155 | Train Acc: 0.2778
 Site-art_painting                  | Train Loss: 1.9216 | Train Acc: 0.2109
 Site-cartoon                       | Train Loss: 2.0682 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9205 | Train Acc: 0.2000
 Site-sketch                        | Train Loss: 2.0190 | Train Acc: 0.1034
Average Train Accuracy: 0.2643
 Site-photo                         | Val  Loss: 1.7947 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.6943 | Val  Acc: 0.4167
 Site-photo                         | Val  Loss: 1.8099 | Val  Acc: 0.2500
 Site-photo                         | Val  Loss: 1.8518 | Val  Acc: 0.1905
 Site-photo                         | Val  Loss: 1.6776 | Val  Acc: 0.2963
 Site-photo                         | Val  Loss: 1.5816 | Val  Acc: 0.3714
 Site-photo                         | Val  Loss: 1.6626 | Val  Acc: 0.3111
 Site-photo                         | Val  Loss: 1.8085 | Val  Acc: 0.2069
 Site-photo                         | Val  Loss: 1.7590 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.7404 | Val  Acc: 0.2680
 Site-art_painting                  | Val  Loss: 2.0775 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.9504 | Val  Acc: 0.1333
 Site-art_painting                  | Val  Loss: 1.9122 | Val  Acc: 0.2308
 Site-art_painting                  | Val  Loss: 1.9852 | Val  Acc: 0.1277
 Site-art_painting                  | Val  Loss: 1.9201 | Val  Acc: 0.2235
 Site-cartoon                       | Val  Loss: 1.7156 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8301 | Val  Acc: 0.2208
 Site-sketch                        | Val  Loss: 2.0901 | Val  Acc: 0.0769
Average Valid Accuracy: 0.2383
 Best site-photo                         | Epoch:0 | Val Acc: 0.2222
 Best site-photo                         | Epoch:0 | Val Acc: 0.4167
 Best site-photo                         | Epoch:0 | Val Acc: 0.2500
 Best site-photo                         | Epoch:0 | Val Acc: 0.1905
 Best site-photo                         | Epoch:0 | Val Acc: 0.2963
 Best site-photo                         | Epoch:0 | Val Acc: 0.3714
 Best site-photo                         | Epoch:0 | Val Acc: 0.3111
 Best site-photo                         | Epoch:0 | Val Acc: 0.2069
 Best site-photo                         | Epoch:0 | Val Acc: 0.3333
 Best site-photo                         | Epoch:0 | Val Acc: 0.2680
 Best site-art_painting                  | Epoch:0 | Val Acc: 0.1250
 Best site-art_painting                  | Epoch:0 | Val Acc: 0.1333
 Best site-art_painting                  | Epoch:0 | Val Acc: 0.2308
 Best site-art_painting                  | Epoch:0 | Val Acc: 0.1277
 Best site-art_painting                  | Epoch:0 | Val Acc: 0.2235
 Best site-cartoon                       | Epoch:0 | Val Acc: 0.2857
 Best site-cartoon                       | Epoch:0 | Val Acc: 0.2208
 Best site-sketch                        | Epoch:0 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/only_dcnet...
============ Train epoch 1 ============
cnt=[2, 10, 1, 5, ]
 Site-photo                         | Train Loss: 1.4443 | Train Acc: 0.7143
 Site-photo                         | Train Loss: 1.5424 | Train Acc: 0.6111
 Site-photo                         | Train Loss: 1.4199 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 1.4663 | Train Acc: 0.8065
 Site-photo                         | Train Loss: 1.4872 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.6329 | Train Acc: 0.5577
 Site-photo                         | Train Loss: 1.5585 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.4940 | Train Acc: 0.7045
 Site-photo                         | Train Loss: 1.5215 | Train Acc: 0.7080
 Site-photo                         | Train Loss: 1.4993 | Train Acc: 0.6986
 Site-art_painting                  | Train Loss: 1.6950 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7832 | Train Acc: 0.3636
 Site-art_painting                  | Train Loss: 1.7079 | Train Acc: 0.4250
 Site-art_painting                  | Train Loss: 1.8172 | Train Acc: 0.4028
 Site-art_painting                  | Train Loss: 1.8477 | Train Acc: 0.3125
 Site-cartoon                       | Train Loss: 2.0308 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.8322 | Train Acc: 0.2522
 Site-sketch                        | Train Loss: 1.9373 | Train Acc: 0.1724
Average Train Accuracy: 0.5363
 Site-photo                         | Val  Loss: 1.5262 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.4699 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.6398 | Val  Acc: 0.5625
 Site-photo                         | Val  Loss: 1.4564 | Val  Acc: 0.8571
 Site-photo                         | Val  Loss: 1.4221 | Val  Acc: 0.7407
 Site-photo                         | Val  Loss: 1.4064 | Val  Acc: 0.7714
 Site-photo                         | Val  Loss: 1.4903 | Val  Acc: 0.6889
 Site-photo                         | Val  Loss: 1.5471 | Val  Acc: 0.7069
 Site-photo                         | Val  Loss: 1.5033 | Val  Acc: 0.7467
 Site-photo                         | Val  Loss: 1.5459 | Val  Acc: 0.6495
 Site-art_painting                  | Val  Loss: 1.8709 | Val  Acc: 0.3750
 Site-art_painting                  | Val  Loss: 1.8058 | Val  Acc: 0.3333
 Site-art_painting                  | Val  Loss: 1.8269 | Val  Acc: 0.3077
 Site-art_painting                  | Val  Loss: 1.8454 | Val  Acc: 0.3404
 Site-art_painting                  | Val  Loss: 1.8265 | Val  Acc: 0.3529
 Site-cartoon                       | Val  Loss: 1.6506 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.7696 | Val  Acc: 0.3117
 Site-sketch                        | Val  Loss: 2.0072 | Val  Acc: 0.2051
Average Valid Accuracy: 0.5424
 Best site-photo                         | Epoch:1 | Val Acc: 0.7778
 Best site-photo                         | Epoch:1 | Val Acc: 0.7500
 Best site-photo                         | Epoch:1 | Val Acc: 0.5625
 Best site-photo                         | Epoch:1 | Val Acc: 0.8571
 Best site-photo                         | Epoch:1 | Val Acc: 0.7407
 Best site-photo                         | Epoch:1 | Val Acc: 0.7714
 Best site-photo                         | Epoch:1 | Val Acc: 0.6889
 Best site-photo                         | Epoch:1 | Val Acc: 0.7069
 Best site-photo                         | Epoch:1 | Val Acc: 0.7467
 Best site-photo                         | Epoch:1 | Val Acc: 0.6495
 Best site-art_painting                  | Epoch:1 | Val Acc: 0.3750
 Best site-art_painting                  | Epoch:1 | Val Acc: 0.3333
 Best site-art_painting                  | Epoch:1 | Val Acc: 0.3077
 Best site-art_painting                  | Epoch:1 | Val Acc: 0.3404
 Best site-art_painting                  | Epoch:1 | Val Acc: 0.3529
 Best site-cartoon                       | Epoch:1 | Val Acc: 0.2857
 Best site-cartoon                       | Epoch:1 | Val Acc: 0.3117
 Best site-sketch                        | Epoch:1 | Val Acc: 0.2051
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/only_dcnet...
============ Train epoch 2 ============
cnt=[10, 5, 1, 2, ]
 Site-photo                         | Train Loss: 1.2171 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.3605 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 1.2016 | Train Acc: 0.8750
 Site-photo                         | Train Loss: 1.2510 | Train Acc: 0.9032
 Site-photo                         | Train Loss: 1.2687 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.4081 | Train Acc: 0.6731
 Site-photo                         | Train Loss: 1.3245 | Train Acc: 0.7647
 Site-photo                         | Train Loss: 1.3189 | Train Acc: 0.7159
 Site-photo                         | Train Loss: 1.3243 | Train Acc: 0.7522
 Site-photo                         | Train Loss: 1.3791 | Train Acc: 0.7055
 Site-art_painting                  | Train Loss: 1.5413 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.6071 | Train Acc: 0.5455
 Site-art_painting                  | Train Loss: 1.6065 | Train Acc: 0.5500
 Site-art_painting                  | Train Loss: 1.6103 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7706 | Train Acc: 0.3359
 Site-cartoon                       | Train Loss: 1.8456 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.7553 | Train Acc: 0.3652
 Site-sketch                        | Train Loss: 2.0045 | Train Acc: 0.1897
Average Train Accuracy: 0.6242
 Site-photo                         | Val  Loss: 1.3422 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.2915 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.5296 | Val  Acc: 0.5625
 Site-photo                         | Val  Loss: 1.3711 | Val  Acc: 0.8095
 Site-photo                         | Val  Loss: 1.2878 | Val  Acc: 0.8148
 Site-photo                         | Val  Loss: 1.1285 | Val  Acc: 0.8571
 Site-photo                         | Val  Loss: 1.3067 | Val  Acc: 0.8444
 Site-photo                         | Val  Loss: 1.3344 | Val  Acc: 0.7414
 Site-photo                         | Val  Loss: 1.2980 | Val  Acc: 0.8133
 Site-photo                         | Val  Loss: 1.3340 | Val  Acc: 0.7113
 Site-art_painting                  | Val  Loss: 1.8478 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.8246 | Val  Acc: 0.2000
 Site-art_painting                  | Val  Loss: 1.7393 | Val  Acc: 0.3846
 Site-art_painting                  | Val  Loss: 1.8104 | Val  Acc: 0.2766
 Site-art_painting                  | Val  Loss: 1.7720 | Val  Acc: 0.3647
 Site-cartoon                       | Val  Loss: 1.6373 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.7350 | Val  Acc: 0.3377
 Site-sketch                        | Val  Loss: 2.0174 | Val  Acc: 0.2308
Average Valid Accuracy: 0.5562
 Best site-photo                         | Epoch:2 | Val Acc: 0.7778
 Best site-photo                         | Epoch:2 | Val Acc: 0.7500
 Best site-photo                         | Epoch:2 | Val Acc: 0.5625
 Best site-photo                         | Epoch:2 | Val Acc: 0.8095
 Best site-photo                         | Epoch:2 | Val Acc: 0.8148
 Best site-photo                         | Epoch:2 | Val Acc: 0.8571
 Best site-photo                         | Epoch:2 | Val Acc: 0.8444
 Best site-photo                         | Epoch:2 | Val Acc: 0.7414
 Best site-photo                         | Epoch:2 | Val Acc: 0.8133
 Best site-photo                         | Epoch:2 | Val Acc: 0.7113
 Best site-art_painting                  | Epoch:2 | Val Acc: 0.2500
 Best site-art_painting                  | Epoch:2 | Val Acc: 0.2000
 Best site-art_painting                  | Epoch:2 | Val Acc: 0.3846
 Best site-art_painting                  | Epoch:2 | Val Acc: 0.2766
 Best site-art_painting                  | Epoch:2 | Val Acc: 0.3647
 Best site-cartoon                       | Epoch:2 | Val Acc: 0.2857
 Best site-cartoon                       | Epoch:2 | Val Acc: 0.3377
 Best site-sketch                        | Epoch:2 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/only_dcnet...
============ Train epoch 3 ============
cnt=[10, 1, 2, 5, ]
 Site-photo                         | Train Loss: 1.0784 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.1617 | Train Acc: 0.7778
 Site-photo                         | Train Loss: 1.0520 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.0873 | Train Acc: 0.8710
 Site-photo                         | Train Loss: 1.1485 | Train Acc: 0.7250
 Site-photo                         | Train Loss: 1.2904 | Train Acc: 0.6731
 Site-photo                         | Train Loss: 1.1350 | Train Acc: 0.8382
 Site-photo                         | Train Loss: 1.1654 | Train Acc: 0.7955
 Site-photo                         | Train Loss: 1.1733 | Train Acc: 0.8053
 Site-photo                         | Train Loss: 1.1917 | Train Acc: 0.7397
 Site-art_painting                  | Train Loss: 1.4610 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.6306 | Train Acc: 0.4091
 Site-art_painting                  | Train Loss: 1.4744 | Train Acc: 0.5500
 Site-art_painting                  | Train Loss: 1.6404 | Train Acc: 0.5139
 Site-art_painting                  | Train Loss: 1.6917 | Train Acc: 0.3438
 Site-cartoon                       | Train Loss: 1.7574 | Train Acc: 0.4545
 Site-cartoon                       | Train Loss: 1.6888 | Train Acc: 0.3652
 Site-sketch                        | Train Loss: 1.9954 | Train Acc: 0.1897
Average Train Accuracy: 0.6424
 Site-photo                         | Val  Loss: 1.1695 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.2681 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.3326 | Val  Acc: 0.6875
 Site-photo                         | Val  Loss: 1.2122 | Val  Acc: 0.8571
 Site-photo                         | Val  Loss: 1.1282 | Val  Acc: 0.8148
 Site-photo                         | Val  Loss: 1.0024 | Val  Acc: 0.8286
 Site-photo                         | Val  Loss: 1.1120 | Val  Acc: 0.8444
 Site-photo                         | Val  Loss: 1.2125 | Val  Acc: 0.7931
 Site-photo                         | Val  Loss: 1.1614 | Val  Acc: 0.8267
 Site-photo                         | Val  Loss: 1.1679 | Val  Acc: 0.7732
 Site-art_painting                  | Val  Loss: 1.9058 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.7446 | Val  Acc: 0.3333
 Site-art_painting                  | Val  Loss: 1.6469 | Val  Acc: 0.4615
 Site-art_painting                  | Val  Loss: 1.6737 | Val  Acc: 0.3617
 Site-art_painting                  | Val  Loss: 1.6685 | Val  Acc: 0.5294
 Site-cartoon                       | Val  Loss: 1.6360 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.6428 | Val  Acc: 0.3636
 Site-sketch                        | Val  Loss: 2.0358 | Val  Acc: 0.1795
Average Valid Accuracy: 0.5885
 Best site-photo                         | Epoch:3 | Val Acc: 0.7778
 Best site-photo                         | Epoch:3 | Val Acc: 0.7500
 Best site-photo                         | Epoch:3 | Val Acc: 0.6875
 Best site-photo                         | Epoch:3 | Val Acc: 0.8571
 Best site-photo                         | Epoch:3 | Val Acc: 0.8148
 Best site-photo                         | Epoch:3 | Val Acc: 0.8286
 Best site-photo                         | Epoch:3 | Val Acc: 0.8444
 Best site-photo                         | Epoch:3 | Val Acc: 0.7931
 Best site-photo                         | Epoch:3 | Val Acc: 0.8267
 Best site-photo                         | Epoch:3 | Val Acc: 0.7732
 Best site-art_painting                  | Epoch:3 | Val Acc: 0.1250
 Best site-art_painting                  | Epoch:3 | Val Acc: 0.3333
 Best site-art_painting                  | Epoch:3 | Val Acc: 0.4615
 Best site-art_painting                  | Epoch:3 | Val Acc: 0.3617
 Best site-art_painting                  | Epoch:3 | Val Acc: 0.5294
 Best site-cartoon                       | Epoch:3 | Val Acc: 0.2857
 Best site-cartoon                       | Epoch:3 | Val Acc: 0.3636
 Best site-sketch                        | Epoch:3 | Val Acc: 0.1795
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/only_dcnet...
============ Train epoch 4 ============
cnt=[10, 2, 5, 1, ]
